"1+1 주소, 一-一住所, one plus one address",동의어 : 1+1 번지,하나의 명령어가 연산자와 데이터 주소 및 다음 명령어 주소로 구성되는 아주 단순한 명령어 체계 또는 방식. 호출 시간이 짧고 계산 속도가 빠르다.
"1, 2종 망 종단 장치, 一-二種網終端裝置, Network Terminal Type 1, 2, NT 1, 2",,"종합 정보 통신망(ISDN)의 망 종단 장치의 일종으로, 1종 망 종단 장치(NT 1)와 2종 망 종단 장치(NT 2)의 기능을 결합한 장치. 많은 국가에서 ISDN 제공자(사업자)가 가입자에게 1, 2종 망 종단 장치(NT 1, 2)를 설치해 주고 관리하며 일반 서비스를 제공한다. 미국과 같이 가입자 구내 장비의 공급 경쟁이 치열하고 독점 공급이 규제되는 국가에서 사업자는 NT 1만을 공급하고 NT 2는 제3자가 공급한다. 그러므로 NT 1, 2는 공급하지 못한다."
"10.2 채널 음향, -音響, 10.2 channel audio",,"청취자를 중심으로 독립된 스피커 10개와 저음을 전용으로 재생하는 서브우퍼(subwoofer) 2개로 구성된 음향 시스템. 독립된 스피커 10개는 각각 수평면으로 전방 중앙(C), 전방 좌측(L), 전방 우측(R), 후방 좌측(LB), 후방 우측(RB), 좌측(LS), 우측(RS), 그리고 수직면으로 후방 중앙(CH), 전방 좌측(LH), 전방 우측(RH)에 위치하며, 서브우퍼는 바닥면 좌측(LFE1)과 바닥면 우측(RFE2)에 위치한다. 이를 통해 기존 HDTV의 5.1 채널 음향보다 사실적이고 현장감 넘치는 입체 음향을 제공한다. 10.2 채널 오디오 기술은 우리나라 ETRI와 삼성전자가 공동 개발하였으며, ITU 국제 표준(BS.2051)으로 채택되었다. "
"100% 순수 자바, -純粹-, 100% pure Java",,"자바 언어로 개발된 프로그램 중에서 자바 운영 체계(OS) 자체만의 응용 프로그램 인터페이스(API) 등을 이용함으로써 자바의 목표인 하나의 프로그램으로 모든 기기에서 사용(Write Once, Run Anywhere)할 수 있는 프로그램임을 인정하는 인증 용어. 100% 순수 자바 프로그램은 운영 체계나 하드웨어 플랫폼에 상관없이 정상 동작된다."
"10M/100M 자동 인식, 十-百-自動認識, 10M/100M automatic recognition, 10M/100M AR",,"구내 정보 통신망(LAN) 스위치나 PC용 LAN 카드 등에서 접속 상대에 따라 1개의 LAN 포트를 10 BASE-T나 100 BASE-TX에 자동적으로 절체해서 통신하는 기능. IEEE 802.3 자동 연결 기능으로 정해진 표준의 한 기능으로 볼 수 있다. IEEE 802.3에서 규정되기 이전에 몇 개의 제조 회사가 같은 기능을 실현하여 ‘Nway’, ‘Auto Sense’ 등으로 부르고 있으나 호환성은 없다. IEEE 802.3 자동 연결 기능에서는 접속 상대끼리 송수신하는 신호(ring pulse)에 인터페이스 종별 정보를 실어서 주고받음으로써 상호 최적의 인터페이스를 확정한다. 인식 대상으로 규정된 인터페이스는 100 BASE-T2의 전이중, 100 BASE-TX의 전이중, 100 BASE-T2의 반이중, 100 BASE-T4, 100 BASE-TX의 반이중, 10 BASE-T의 전이중, 10 BASE-T의 반이중으로 7종류이다. 우선 순위 역시 이 순서로 정의되어 있다. 통신 상대방이 자동 인식을 갖지 않은 10Mbps 전용 기기인 경우는 10 BASE-T의 노멀 링 펄스(normal ring pulse)로부터 접속 속도를 판단하여 10Mbps로 통신하며, 100Mbps 전용기인 경우는 100 BASE-TX의 아이들(idle) 신호로부터 접속 속도를 판단하여 100Mbps로 통신한다."
"10 기가 이더넷, 10-Gigabit Ethernet, 10GbE",,"이더넷 상에서 초당 10 기가의 데이터 속도를 제공하는 선진 통신 기술로 된 IEEE 802.3a 표준. 대부분 LAN의 이더넷에 설치되며 기간 망간의 데이터 전송과 단말에 일관된 기술을 제공하는 매우 유용하고 저렴한 기술이다. 광섬유를 사용한 것은 비동기 전송 방식(ATM)과 동기식 광통신망(SONET) 다중화기를 사용하는 기존의 네트워크를 대신할 수 있고 데이터 속도도 2.5Gbps에서 10Gbps로 개선할 수 있다. 구내 정보 통신망(LAN), 광역 통신망(WAN), 도시권 통신망(MAN)을 상호 접속하는데 사용하고, IEEE 802 이더넷 MAC 프로토콜의 프레임 형식과 크기를 사용하며, 상당한 거리까지 양방향 송신이 가능하다. 다중 모드 광섬유의 경우에는 거리 300 미터까지, 단일 모드 광섬유의 경우에는 40 킬로미터까지 송신이 가능하다."
"10진 가산기, 十進加算器, decimal adder",동의어 : 10진 덧셈기,10진으로 표시된 수치를 여러 개 덧셈하는 회로.
"10진 분류법, 十進分類法, decimal classification",,"듀이(M. Dewey)가 개발한 도서 분류법의 한 가지. 현재 가장 널리 사용되는 것으로는 국제 10진 분류법(UDC)이 있다. 이것은 모든 범위에 걸쳐 사용되고 있으며, 특히 과학 기술 관계의 내용이 충실하다. 이 방법은 우선 대분류로 0~9까지 10진 분류하고 다시 10진 분류하면서 상세화하는 것인데, 도서나 문헌 등을 분류하는 데 적합하며, 대부분의 도서관에서는 이 방법을 이용하여 서적을 분류하고 있다."
"120㎐ 풀 HD, 120㎐ Full High-Definition, 120Hz Full HD",,"텔레비전 수신기나 컴퓨터 모니터 등에서 초당 120 프레임으로 영상을 구현하는 기술. 지상파 HDTV는 1,920x1,080 화소로 30 프레임까지 전송이 가능하지만, 120㎐ 풀 HD TV 수신기에서는 이들 신호를 수신하여 각 필드를 프레임으로 변환하여 60 프레임을 구성하고, 보간/예측 프레임을 삽입하여 120 프레임으로 구동한다."
"128 비트 암호, -暗號, 128-bit encryption",,"길이가 128비트인 암호 키를 사용하는 암호 방식. 미국 표준 암호 방식 DES(data encryption standard)는 암호화하는 데이터를 64비트의 블록으로 분할해서 불록 단위로 56비트의 키 데이터를 사용, 암호화한다. 컴퓨터의 발달에 따라 DES의 안전성이 불충분하므로 미국 국립 표준 기술 연구소(NIST)가 차세대 표준 암호 방식 AES(advanced encryption standard)를 개발하였다. AES 요구 규격은 데이터 블록 길이가 128비트이고, 키의 길이는 128비트, 192비트 및 256비트의 3종류가 있다."
"12진법, 十二進法, duodecimal",,"①12개의 가능성 있는 선택, 조건을 수반하는 성질에 대한 용어. ②12를 기수(radix)로 하는 고정 기수 기수법과 관련되는 용어."
"1/4 파장 변성기, -波長變成器, quarter-wave length transformer",,임피던스를 정합하기 위하여 사용하는 길이 1/4 파장의 전송로.
"1/4 파장 슬리브, -波長-, quarter-wave length sleeve",,"평형형 안테나를 동축선에 접속하기 위한 정합에 사용되는 밸룬(balun)의 일종으로, 동축선의 외부 도체 주위에 길이가 1/4 파장인 원통형 도체를 씌워서 급전점으로부터 먼 쪽의 끝에서 동축선의 외부 도체에 접속시킨 것."
