"T1 위원회, -委員會, T1 Committee",,"주로 디지털 전기 통신망의 상호 접속과 상호 운용을 지원하기 위한 기술 표준을 제정할 목적으로 1984년 2월에 설립되고, 2004년 ATIS(The Alliance for Telecommunications Industry Solutions)에 흡수되면서 폐지된 미국의 민간 표준 기관. 정부지원에 의하지 않는 독립적 기관이면서도 ANSI와 FCC 등으로부터 국가 차원의 공인을 받아 ITU-T에 대한 북미 지역 국가들의 입장을 대변하였던 대표적인 지역표준화 기구로서, T1A1, T1E1, T1M1 OAM&amp;P, T1P1, T1X1 등 기존의 T1 위원회의 조직들은 ATIS의 위원회로 재배치되어 관련 업무의 활동을 계속하고 있다."
"TCP/IP 오프로드 엔진, TCP/IP Offload Engine, TOE",,"운영 체제 내부에서 소프트웨어로 수행되는 TCP/IP 프로토콜 스택을 별도의 전용 하드웨어로 구현한 시스템과 분리된 하드웨어 프로토콜 스택.  수 Gbps급 이상의 네트워크 입출력 처리 속도을 제공하기 위하여 시스템의 TCP/IP 프로토콜 처리 기능을 하나의 하드웨어 장치로 독립시킨 것으로 TOE 하드웨어는 SoC(System on a Chip) 형태로 구현되며 주로 32비트급 RISC(Reduced Instruction Set Computer) 프로세서를 내장하고, 시스템의 공유 자원과 분리되는 독립적인 메모리 공간을 사용한다."
"TCP 래퍼, TCP Wrapper",,"유닉스(UNIX) 서버에 있어서 방화벽 서비스를 제공하는 공용 컴퓨터 프로그램. UNIX 컴퓨터가 네트워크에 접속되면 다른 컴퓨터 사용자에 노출되고, 만약 해커가 핑거(finger) 기능을 사용하여 서버에 로그온 된 사용자의 ID 및 인터넷 사용 흔적을 알게 되면, 대기 중인 워크스테이션(WS)에 접근해서 사용할 수 있다. TCP 래퍼는 이것을 방지하기 위한 방화벽 역할을 하는데 들어오는 패킷을 감시하여 어떤 외부 컴퓨터가 접속되면 접속 인가 여부를 점검해서 인가된 경우에는 접속이 허용되고, 그 반대의 경우에는 거부된다."
"TEM 모드, Transverse ElectroMagnetic mode",,"자유 공간이나 2선식 선로를 따라 전파하는 전자파는 그 진행 방향에 전계 성분도 자계 성분도 없는 전기적, 자기적 횡파인데, 이러한 모드를 이르는 용어. 이 모드는 평행 2선이나 동축 선로를 통하여 전송되는 전자파가 나타내는 모드로서 전자 에너지의 수송을 맡고 있다."
"TE 모드, transverse electric mode",,도파관 등의 특수한 전송선을 따라 전파되는 전자파 중에서 그 진행 방향에 자계 성분 H는 있으나 전계 성분 E가 전혀 없는 전기적 횡파를 형성하는 모드. H 모드라고도 한다.
"TE파, -波, Transverse Electric wave, TE wave",,"자유 공간이나 평행 2선식 선로를 따라 전송되는 전자파와 달리, 도파관 등과 같은 특수한 전송계에 따라 전송되는 전파 중에서 그 진행 방향에 자계 성분 H는 있으나 전계 성분 E가 전혀 없는 전기적 횡파를 형성하는 전자파. H파라고도 한다."
"THX 규격, -規格, THX specification",,"영화 제작자가 의도하는 영상/음향을 시청자에게 전하기 위한 종합적인 규격. 미국 루카스 필름사가 정하였다. 이 규격을 준수해서 제작한 것은 고품질의 음성/영상 재생을 충실하게 할 수 있다. THX를 잘 운용하기 위해서는 작품이나 시설, 기기 등이 정해진 규격에 따라 구성되어 있어야 한다. THX라는 명칭은 조지 루카스 감독의 최초 작품 THX 1138에서 따온 것이다. 규격은 영화 제작 스튜디오와 극장에 관한 THX(1982년 등장), 레이저 디스크 및 가정용 재생 기기에 관한 홈 THX(1993년 등장)로 나눌 수 있는데, 제작에서 재생까지의 환경을 엄밀하게 규정하고 있다."
"TM 모드, transverse magnetic mode",,[무] 도파관과 같은 특수한 전송선을 따라 전파되는 전자파 중에서 그 진행 방향에 전계 성분 E는 있으나 자계 성분 H가 전혀 없는 자기적 횡파를 형성하는 모드. E 모드라고도 한다.[광] 자계 벡터가 전파 방향과 전자파의 진행 방향에 직각인 모드. 평면 유전체 도파로에서는 계의 방향이 코어와 클래딩의 경계면의 방향과 평행하다.
"TM파, -波, Transverse Magnetic wave, TM wave",,도파관과 같은 특수한 전송계를 따라 전파하는 전자파 중에서 그 진행 방향에 전계 성분 E는 있으나 자계 성분 H가 전혀 없는 자기적 횡파를 형성하는 파. E파라고도 한다.
"TN형 액정, -型液晶, Twisted Nematic mode liquid crystal, TN LC",,"2매의 유리 기판 사이에 네마틱 액정(장축 방향만 일정한 방향으로 가지런히 향하는 성질을 가진 액정 재료의 총칭)을 90° 틀어서 배열한 액정 셀(cell). 편광축(偏光軸)을 90° 회전시키는 기능이 있어서, 전압을 가하면 분자가 세로 방향으로 가지런히 향하는데 그렇게 되면 기능이 없어진다. 이것을 2매의 편광판으로 투과율(透過率)을 변화시켜서 검출한다. 인가 전압 2V 정도에서 변화를 개시하여 5V 정도에서 포화된다. 구동 전압이 낮고 소비 전력이 적다. 콘트라스트비(contrast ratio)가 100 이상으로 높으며 고화질 실현이 가능하기 때문에 능동 매트릭스형 액정 표시에 사용된다."
