"다각형망, 多角形網, polygon mesh",,3차원 그래픽의 물체를 2차원 화면에 나타내기 위해 물체의 표면을 연속적인 다각형의 모임으로 구성하는 것. 모서리와 다각형의 모임으로 주어진 응용에 따라 여러 가지 방법으로 구성한다.
"다결정 실리콘 박막 트랜지스터, 多結晶-薄膜-, polycrystalline silicon thin-film transistor, poly-Si TFT",,박막 트랜지스터(TFT)의 재료로서 다결정 실리콘(polycrystalline silicon) 박막을 사용한 것. 비결정성 실리콘(amorphous silicon) TFT에 비해 오프(off) 전류를 내리기는 까다로우나 온(on) 전류가 크기 때문에 동등한 스위치 능력의 확보가 가능하다. 신뢰성/안정성이 높기 때문에 투사형(投寫型) 표시 장치 등에 사용한다.
"다관절 로봇, 多關節-, articulated robot",,"팔이 3개 이상의 회전 관절을 가지는 로봇. 사람의 어깨, 팔, 팔꿈치, 손목의 관절을 본떠서 만든 로봇으로 사람이 하는 움직임과 비슷하게 움직일 수 있다. 행동이 빠르고 공간도 적게 차지하며 동작 범위도 넓어서, 공장 생산설비의 조립 작업이나 도장(塗裝)·용접 등에 사용한다."
"다국어 도메인 이름, 多國語-, Internationalized Domain Names, IDN",동의어 : 국제화 도메인 네임,"도메인 이름의 영역에 영문 도메인이 아닌 한글과 같은 자국어를 사용한 도메인. 2002년 10월 각국의 다국어 도메인을 영어, 숫자, 하이픈(-)으로만 구성된 아스키 문자열로 변환하는 과정이 클라이언트 애플리케이션단에서 수행되는 IDNA(Internationalizing Domain Names in Applications) 방식이 다국어 도메인의 IETF 국제 표준안이 되었다. IDNA에서는 사용자 애플리케이션단에서 다국어 도메인을 유니코드 변환→네임프렙(Nameprep) 과정→아스키 변환(Punnycode encoding) 처리한 후 인코딩된 이름을 리졸버(resolver)에게 전달하는 과정이 수행되며, 이를 구현하기 위해 아스키로의 변환 알고리듬과 인코딩된 도메인을 사용자가 알아볼 수 있도록 입력했던 지역 문자셋 형태의 도메인 이름으로 출력해 주는 역변환 알고리듬을 이용한다."
"다국어 식별자, 多國語識別子, Internationalized identifier",,"도메인(domain), 전자우편주소(e-mail address), URL, 인터넷 식별자(URI) 등에서 한글 등 다국어를 지원하도록 확장한 것. 다국어 식별자에는 다국어 도메인(IDN), 다국어전자우편(EAI), 다국어자원식별자(IRI) 등이 있으며, 이는 차세대 웹에서 정보 확장을 위한 인프라로서의 중요한 역할을 한다."
"다기능 메시지 처리 프로토콜, 多機能-處理-, Versatile Message Transaction Protocol, VMTP",,미국 스탠포드 대학에서 개발한 분산 환경용 전송 프로토콜. 요구/응답 형식으로 구현된다.
"다기능 명령 집합, 多機能命令集合, multifunction instruction set",,"시스템의 종류에 따라 수치적/논리적 연산, 데이터의 이동 검사, 결과의 저장 등이 한 명령으로 이루어지게 된 것. 곱셈과 나눗셈은 마이크로컴퓨터의 명령 중에서 대표적인 다기능 명령이다."
"다기능 복사기, 多技能複寫機, Multifunction Copier, MFC",,"디지털 기술을 응용해서 한 대의 기기를 복수 목적에 사용하는 사무자동화(OA) 기기. 복사 이외에 팩스, 인쇄기 등의 기능이 있어서 디지털 복사기라도 한다. 다기능 복사기의 기본 기능은 스캐너(scanner) 부분에서 원고를 읽어, 그 신호를 디지털화해서 화상 처리한 후 복사하는 것이다. 이 기능은 팩스나 인쇄기와 유사하다. 화상 처리하는 부분에 전화 회선과의 인터페이스 회로를 조합하면 팩스가 된다. 스캐너에서 읽은 원고를 전화 회선 형식으로 변환해서 송신, 외부로부터 송신된 신호를 변환해서 인쇄하면 된다. 인쇄기로 사용할 경우 컴퓨터로부터 받은 신호를 화상 처리해서 인쇄하는 것이 좋다. 다기능 복사기에는 기기 내부의 비싼 기구계(스캐너, 프린터 등)를 공용하기 때문에 내부 공간을 효율적으로 이용할 수 있고 단일 기능의 기기이므로 비용을 절감할 수 있다. 통신 기능을 강화하면 인터넷이나 인트라넷에 접속해 통신망상에서 이용할 수 있다."
"다기능 전화기, 多技能電話機, multifunction telephone",,"전자식 교환기의 출현으로 가능하게 된 전화기로서, 전화 메시지를 기억하였다가 호출 램프와 간단한 음성 우편(mail) 시스템을 이용하여 사용자에게 알리는 기능의 전화기."
"다기능 주변기기, 多機能周邊機器, Multifunctional Peripheral, MFP",,"네트워크 컴퓨터에 연결된 주변 장치로서 복사기, 팩스, 프린터, 스캐너 등 적어도 2가지 이상의 기능을 지원하는 기기. 잉크젯, 흑백 레이저, 칼라 레이저 등의 방식이 있으며, 문서 출력 환경 변화에 따라 각 단일 기능의 제품들이 복합 기능의 플랫폼으로 전환되어 유연한 연결성을 제공함으로써 작업 능률을 향상시킨다."
"다기능 처리 전화기, 多技能處理電話機, Transaction Utilization Multiphone, TRUMP",,"전화기에 마이크로컴퓨터, 모뎀을 내장하고 자기 카드 읽개, 프린터, 조작 안내 패널이 부착되어 있는 데이터 전화 단말. 은행과의 대금 결제, 상품의 수발주, 호텔과 여관의 예약, 신용 판매의 신용 조회 등 폭넓은 이용을 고려하여 일본의 전국 지방 은행 협회와 NEC가 공동 개발한 것이다."
"다기능 홈 네트워크, 多技能-, Versatile Home Network, VHN",,"고속 직렬 버스 인터페이스 규격 IEEE 1394b(FireWire 800) 기술을 홈 네트워크의 기간망(backbone)으로 정하고 그 위에 IP 기술과 확장성 마크업 언어인 XML을 이용하여 기기 간 제어를 구현한 미들웨어.컴퓨터, 디지털 텔레비전, 디지털 비디오 카세트 녹화기, 디지털 전화, 프린터, 스테레오 시스템, 기타 원격 조정 기기와 같은 접속 장비들의 상호 운용을 제어한다. 전화, 케이블 텔레비전(CATV), 일반 텔레비전, 직접 방송 위성(DBS)과 같은 외부 접속 망은 가정용 게이트웨이(Residential Gateway)나 케이블 모뎀을 통하여 VHN에 연결된다."
"다니엘 전지, -電池, Daniel cell",,"1차 전지의 하나로, 음극에 아연(Zn)판, 전해액에 황산아연 용액(ZnSo4), 양극에 구리(Cu)판, 감극제에 황산구리 용액(CuSo4)을 사용한 것. 기전력은 약 1.1V, 내부 저항은 2.5/3 Ω 이다."
"다단계 간접 주소매김, 多段階間接住所-, deferred addressing, indirect addressing",,"간접 주소 지정 방식의 다른 이름. 명령어의 주소부가 지정하는 곳에 가서 유효 주소를 읽은 다음, 이 유효 주소를 사용하여 데이터를 읽거나 쓰는 것으로, 데이터에 특별한 꼬리표를 붙여 그것이 다시 주소가 될 수 있도록 하는 방법도 있다. 이런 경우에 이러한 간접 주소가 지정된 횟수 이상 계속되면 시스템이 이상(panic) 상태가 되어 정지하게 된다."
"다단계 제어, 多段階制御, multilevel control",,"프로세스가 복잡해짐에 따라 이것을 자동 제어하기 위한 시스템도 복잡해지므로, 프로세스 전체를 최적 또는 합리적으로 운용하기 위하여 제어 장치를 여러 계층으로 나누어 배치하고 상호 관련성을 갖게 함으로써 각 계층이 알맞은 제어 기능을 발휘할 수 있도록 하는 것. 제어 기능의 고급화를 위한 제어 장치에는 컴퓨터가 이용된다."
