"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"아나모픽 DVD, Anamorphic DVD",,"와이드스크린 텔레비전(TV)을 지원하기 위하여 만들어진 디지털 비디오 디스크(DVD)의 하나. 일반 와이드스크린 DVD는 345개의 수평 주사선 중 위 아래 부분에 흑색 영역에 135개의 수평 주사선을 소비하므로 나머지 210개의 수평 주사선으로 화면을 구성하나, 아나모픽 DVD는 462개의 수평 주사선 중 단지 8개의 수평 주사선으로 흑색 영역을 표현하므로 일반 와이드스크린 DVD보다 2배 이상의 해상도를 갖는다."
"아날로그, analog",동의어 : 연속(형),"연속적으로 변화하는 물리량을 표현하는 데 사용하는 용어. 예를 들면, 전압이나 전류의 변화 또는 크기를 눈금으로 표시하는 것과 같은 표현이다. 일반적으로 음성이나 영상은 연속적으로 변화하는 아날로그 양이지만 이를 디지털로 변환하여 처리하는 방법과 같이 디지털에 대응되는 용어이다."
"아날로그 곱셈기, -器, analog multiplier",,"2개의 아날로그 입력 변수나 신호를 받아 곱하기 연산을 한 출력 신호를 내는 장치. 다이오드와 같은 비선형 소자에 2개의 주파수 신호를 입력하면 곱셈(product) 작용에 의해 합과 차의 추파수 성분이 생성되는데 이러한 원리를 이용한 소자로서는 고주파 믹서, 링 변조기, 검파기 등이 있다."
"아날로그 나눗셈기, -器, analog divider",,2개의 입력 아날로그 변수의 몫에 비례한 출력 아날로그 변수를 얻는 연산기.
"아날로그 데이터, analog data",,"자연 상태에서 나타나는 연속적인 값을 정보의 형태로 표현하는 방법. 예를 들면, 음성과 비디오는 신호 강도의 모양이 연속적으로 변한다. 온도나 기압 등과 같이 감지기에 의하여 수집되는 대부분의 데이터는 연속적인 값을 취한다."
"아날로그 디지털 변환기, -變換器, Analog-to-Digital Converter, ADC, A/D",,"온도, 압력, 음성, 영상신호, 전압 등의 실생활에서 측정되는 연속적 값을 가지는 아날로그 신호를 이산적 값을 가지는 디지털 신호로 변환하는 장치."
"아날로그 모뎀, analog modem",,디지털 신호를 음성 전화망을 통하여 송수신하기 위한 변복조기(모뎀). 주파수 변조나 위상 변조 등을 이용하여 300Hz에서 3.4KHz의 음성대역 아날로그 신호로 변환 및 복원한다.
"아날로그 방송 중단, -放送中斷, Analog Switch-Off, ASO",,"아날로그 텔레비전 방송 서비스 전면 중단. 디지털 텔레비전 방송 서비스를 시작한 나라들은 시청자들의 혼란을 최소화하려고 일정 기간 디지털 텔레비전과 함께 아날로그 텔레비전을 동시에 서비스한다. 나라마다 디지털 텔레비전 방송 커버리지 확보와 수상기 보급률 들을 감안하여 ASO 일정을 정하고 있는데, 2001년부터 디지털 텔레비전 방송 서비스를 시작한 우리 나라는 2012년 12월 31일 새벽 4시에 아날로그 텔레비전 방송 서비스를 중단하였다. 미국은 2009년 6월 12일, 일본은 2011년 7월 24일, 영국은 2012년 12월 31일에 아날로그 방송을 중단했다."
"아날로그 변수, -變數, analog variable",동의어 : 연속형 변수,수식의 변수 또는 물리량에 대응하는 연속 신호.
"아날로그 빔 형성, -形成, analog beamforming",동의어 : 아날로그 빔포밍,"배열 안테나로 송수신되는 신호의 진폭과 위상을 RF(Radio Frequency)단에서 제어하는 빔형성 방식.빔형성은 안테나 여러 개를 배열한 형태로 두어 여러 안테나 패턴(antenna pattern)을 겹치게 한 상태에서 각 안테나로 송수신되는 신호의 진폭과 위상을 변조하여 특정한 방향으로는 신호가 세게, 다른 방향으로는 신호가 약하게 송수신되도록 하는 기술이다. 즉, 여러 안테나에서 송수신되는 신호가 특정한 방향의 빔(beam)과 같이 마치 하나의 안테나처럼 동작하여 신호를 세게 송수신한다. 빔형성으로 신호를 특정한 방향으로 세게 송수신하면 셀 커버리지(cell coverage)가 확대되고 전송속도를 향상할 수 있다.&nbsp;빔형성을 할 때 신호의 진폭과 위상을 조절하는 장치를 빔 형성기(beamformer)라고 한다. 이 빔 형성기를 RF 단에서 적용하는 방식이 아날로그 빔형성(analog beamforming)이고, 기저대역(baseband) 모뎀에서 적용하는 방식이 디지털 빔형성(Digital BeamForming), RF 단과 기저대역 모뎀에 모두 적용하여 아날로그 빔형성과 디지털 빔형성을 혼합한 방식이 하이브리드 빔형성(hybrid beamforming)이다.아날로그 빔 형성은 빔 형성기가 통신시스템의 RF(Radio Frequency) 처리부에서 동작하기 때문에 동시에 여러 방향으로 빔을 형성할 수 없고 특정한 한 방향으로만 송수신할 수 있다. 또한 안테나 수와 관계없이 기저대역 모뎀(baseband modem)까지 신호를 전달하는 트랜시버(transceiver)가 하나만 필요하여 구현에 필요한 하드웨어 자원이 적고 기저대역의 프로세싱(processing)이 간단하다. 디지털 빔형성에 비해 구현하기 쉽고 전력 소모량과 구현 비용도 낮다. 주로 셀(cell) 커버리지를 확장하기 위한 용도로 많이 사용한다.&lt; 아날로그 빔 형성 예시 &gt;"
"아날로그 셀룰러 시스템, analog cellular system",,"1970년대에 개발되어 1980년대 초부터 실용화된 셀(Cell) 구조의 기지국을 이용한 이동 통신 시스템.제1세대 자동차/휴대 전화 시스템으로, 미국의 벨 연구소, 스웨덴의 에릭슨(Ericsson)사, 일본의 NTT 등에서 개발하여 비슷한 시기에 각각 AMPS, NMT, NTT 시스템이라는 이름으로 실용화되었다. 이들 제1세대 셀룰러 시스템은 모두 음성 전송에는 아날로그 주파수 변조(FM) 방식을 사용하고, 제어 신호 전송에는 2진 주파수 편이 방식(binary FSK)을 사용하며, 이동국과 기지국 간에는 주파수 분할 다중 접속(FDMA) 방식으로 주파수 스펙트럼을 공유한다. 그러나 아날로그 셀룰러 시스템은 주파수 자원이 한정되어 있어 폭발적으로 증가하는 가입자 수요를 수용하고 통신 품질을 개선하거나 데이터 통신 등 비음성 서비스를 유연하게 제공하는 데 한계가 있다. 디지털 음성 부호화 기술, 대규모 집적 회로(LSI) 제조 기술 등이 발달되면서, 1990년대에 들어서면서 세계 각 나라에서는 디지털 셀룰러 시스템의 표준화와 상용화를 적극적으로 추진했다. "
"아날로그 신호, -信號, analog signal",동의어 : 연속형 신호,"시간적으로 연속인 전압, 전류 또는 그 밖의 형태의 신호(직류, 사인파 등도 포함한다). 넓은 의미로는 디지털 신호 이외의 신호를 말한다(톱니파 등도 포함한다)."
