word,synonym,description
"BBN사, -社, BBN, Inc.",,"미국 MIT 공과 대학 교수인 Bolt, Beranek, Newman 3인의 머리글자를 따서 지은 회사 명칭. 1948년에 설립되었으며 데이터 통신 기술과 소프트웨어의 개발 및 인터넷 서비스를 제공하는 회사이다. 인터넷을 통한 전자 상거래의 보급, 촉진을 목적으로 미국 정부의 자금 지원을 받아 1994년에 발족한 코머스넷(CommerceNet)의 창업 회원사 3사 중 하나이며 코머스넷 운영에 기여하고 있다."
"BB율, -率, Book-to-Bill ratio, BB ratio",동의어 : 수주 대 출하 비율,"수주액과 출하액의 비율. 일반적으로 세계 반도체 시장 통계 기관(WSTS)에서 조사, 발표하는 세계 시장에서의 반도체 수급 상황에 대한 지표를 말한다. 일정 기간에서의 수주액과 출하액이 동일하여 BB율이 1:00이면 호황과 불황의 분기점으로 보고, 수주액이 출하액을 밑돌아서 1:00 이하로 떨어지면 불황으로 보는 등 BB율을 세계 반도체 시장의 경기 지표로 여긴다."
"BCH 부호, -符號, BCH code",,"임의의 오류 수정에 적합한 순회 부호. m을 양의 정수라 할때 2m-1 또는 2 이하의 부호 길이에 대해서 mt비트의 검사 비트를 받는 것만으로 t개의 오류를 수정할 수 있다. BCH란 발견자 Bose, Chaudhuri, Hocque-nghem 3인의 머리글자를 딴 것이다."
"BCS 이론, -理論, BCS theory",,"바딘(Bardeen), 쿠퍼(Cooper), 슈리퍼(Schriefer) 3인이 1957년 제창한 초전도에 관한 이론. 어떤 종류의 전도 물질을 상온에서부터 점차 냉각하여 절대 온도 0도(0K=-273℃)로 접근시키면 어느 온도에서 전기 저항이 갑자기 0이 되어 완전한 전도체가 되는 초전도 현상은 1911년에 발견되었는데, 이것을 이론적으로 설명한 것이 BCS 이론이다. 극저온의 전자들 중에서 전자쌍(electron pair)이 형성될 수 있다. 전자쌍은 전자와 결정 격자(crystal lattice)의 양자화 진동 간의 상호 작용 결과로 형성되어 전자 이동에서의 에너지 손실이 전혀 없는 고도로 질서화된 상태를 발생시킨다는 것이다. 그러나 이것은 비교적 고온에서의 초전도 현상을 설명하는 데에는 불충분하며 초전도 현상이 어떻게 해서 일어나는지에 대한 규명은 계속 연구되어야 할 과제이다."
"Be 운영 체계, -運營體系, Be Operating System, BeOS",,"미국 Be사에 의해 개발된 멀티미디어에 우수한 운영체제. 윈도우 OS보다 훨씬 가벼운 운영체제로서, 멀티태스킹, 멀티쓰레드, 64비트 파일 시스템, 및 SMP 등 선진적 기능으로 멀티미디어 콘텐츠 동작특성이 우수하다. 파워PC 플랫폼이나 인텔 x86 프로세서에서 실행된다."
"BINT 컨버전스, Bio, Information, Nano, Technology Convergence",,"BT(Biotechnology), IT(Information Technology), NT(Nano Technology)를 수렴한 기술. BT, IT, NT를 상호 결합하여 과거에 없었던 다양하고 풍부한 새로운 기술을 만들어 내는 것을 말한다."
"BLDL 표, -表, build list table",,"때때로 사용되는 모듈을 위하여 구분 데이터 집합(파일)의 파일 목록을 나타내는 표. 표시의 초기 프로그램 적재(IPL) 시에 지정되어, 관계되는 모듈로의 접근과 적재 시간을 절약하기 위해 가상 기억 장치 영역에 상주한다. 보통 약어 BLDL을 ‘빌들 표’라 부른다."
"BM 특허, -特許, Business Model patent, BM patent",동의어 : 영업 방식 특허,"컴퓨터, 네트워크 등의 통신 기술과 사업 아이디어가 결합된 영업 방법 발명에 대해 주는 특허. BM 특허로 인정받기 위해서는 ‘영업 방법’과 이를 구현하는 ‘컴퓨터 기술’이 필수적으로 갖추어져야 하므로 컴퓨터 기술이 결합되지 않은 단순한 영업 방법은 BM 특허로 인정되지 않는다. BM 특허는 전자 상거래, 금융, 경영 관리, 교육, 오락 등 다양한 분야에 사용된다."
"BNC 접속기, -接續機, Bayonet Neil-Concelman connector, BNC connector",,"하나의 접속 핀으로 선과 연결되어 있고 접속 부분에는 틀어서 고정할 수 있는 외부 링이 달린 동축 케이블 접속기. LAN 에서는 BASE-2 이더넷에서, 방송에서는 비디오 및 동축 케이블 등에 많이 사용된다. 50과 75 타입이 있으며 각각 4㎓에서 2㎓의 주파수까지 사용이 가능하다."
"BoT 표지기, -標識器, Beginning-of-Tape marker, BoT marker",,"기록 가능 영역의 시단을 표시하기 위하여 사용하는 자기 테이프상의 표시. 예를 들면, 광반사 조각, 자기 테이프의 투명 부분 등이다."
