"F1층, -層, F1 layer",,"F층이 상하 2층으로 나뉠 때 아래쪽의 높이 약 200km 부근에 존재하는 전리층. F1층은 주로 여름철의 낮 동안에 나타나며, 그 시간은 태양 활동이 잠잠할 때는 길고, 활발한 경우에는 짧다."
"F2층, -層, F2 layer",,"F층이 상하 2층으로 나뉠 때 위쪽의 높이 약 350km 이상에 존재하는 전리층. 전리층 중에서 전자 밀도가 가장 크며 단파 통신에 중요한 역할을 한다. 전자 밀도는 지역적, 시간적(시각, 계절, 태양 활동 등에 따름)으로 복잡한 변화를 한다."
"FDM-PCM 변환 장치, -變換裝置, FDM-PCM translating equipment",,주파수 분할 다중화한 기초 초군이나 기초 주군과 같은 아날로그 신호를 펄스 부호 변조(PCM)로 변조하여 디지털 신호를 변환하는 장치. 각 회선을 개별적으로 분리하여 변환하는 방식과 군을 그대로 변환하는 분할 다중 방식 등이 있다.
"FDM-PCM 전송 방식, -傳送方式, FDM-PCM transmission system",,"주파수 분할 다중화된 군, 초군 등을 직접 부호화하여 펄스 부호 변조(PCM) 전송로로 전송하는 방식. 부호화 과정은 일반적인 PCM 방식과 거의 같고, 부호화에 필요한 자릿수는 주파수 분할 다중 방식(FDM) 신호의 다중도와 요구되는 전송 품질로 결정된다. 이 방식의 전송 효율은 그다지 좋은 편은 아니나 PCM계 전송로로의 신호 이동이 쉽다는 이점이 있다."
"FET 광검출기, -光檢出器, FET photo detector",,광검출 전류의 이득을 얻기 위해 빛을 받았을 때 전계 효과 트랜지스터(FET) 구조의 채널에서 전하가 발생되도록 하는 광검출기.
"FM 다중 방송, -多重放送, FM multiplex broadcasting",,"FM 방송 신호 대역의 여유분에 별도의 음성 신호나 데이터를 중첩하여 방송하는 시스템. FM 스테레오 방송 신호의 주파수 스펙트럼은 주 채널인 좌우 합신호(L+R:0~15kHz), 스테레오 파일럿 신호(19kHz), 부 채널인 좌우 차신호(L-R:23~53kHz)로 되어 있다. 다중 방송은 이보다 높은 주파수인 57kHz, 67kHz, 76KHz, 92kHz에 보조 채널을 설정하고 이 보조 채널을 통해 음성 방송이나 교통 정보, 주식 정보, 무선 호출(페이징), 배경 음악(BGM), 자동 선국 등의 데이터를 서비스할 수 있다. FM 다중 방송 방식으로는 라디오 데이터 시스템(RDS), 보조적 통신 업무 허가(SCA), 데이터 라디오 채널(DARC)이 있다. RDS는 57kHz의 보조 채널을 사용하고 전송 속도는 1187.5bps이며 유럽에서 상용화를 시작하였다. SCA는 67kHz의 보조 채널을 사용하고 FM 방송의 활성화를 위해 1955년부터 미국에서 서비스를 시작하였다. DARC는 76kHz의 보조 채널을 사용하고 RDS보다 데이터양이 많은 16kbps로 일본 NHK사가 제안한 방식이다. 우리나라는 SCA를 통해 장애인 방송을 실시하고, DARC를 통해 교통 방송을 하고 있다."
"FM 대역폭, -帶域幅, bandwidth of FM signal(by Carson`s rule)",,주파수 fm(＝ωm/2π)의 정현파에서 주파수 변조한 신호는 반송 주파수 ωc의 성분을 사이에 두고 주파수(ωc±kωc)의 무한히 많은 측파대 성분을 포함하고 있다(k는 양의 정수). 그러나 실제 문제에서 신호 전력의 대부분은 Bc2(β＋1)fm라 하는 대역폭 내의 신호 성분에 포함되고 있다. 여기서 β는 변조 지수이고 βfm＝Δf는 최대 주파수 편이이다. 대역폭에 관한 위의 법칙을 카슨의 법칙(Carson’s rule)이라고 한다.
"FM 데이터 다중 방송, -多重放送, FM data multiplex broadcasting",,"FM 라디오 방송의 전파에 중첩해서 문자나 도형 등의 디지털 데이터를 전송하는 방송. FM 방송의 기저 대역은 75㎑이며 이중 53㎑만 방송용으로 사용하고, 나머지 대역을 데이터 방송용으로 사용한다. 방송 방식으로 유럽의 라디오 데이터 시스템(RDS: Radio Data System)과 일본의 데이터 라디오 채널(DARC: Data Radio Channel)이 사용된다. 일본에서는 NHK 기술 연구소가 개발한 데이터 라디오 채널(DARC: data radio channel)이라는 다중 방송 기술을 1993년에 우정성에서 ‘이동체 FM 문자 다중 방송’ 표준 방식으로 채택하여 1994년부터 실용화했다."
"FM 동조기, -同調器, FM tuner",동의어 : FM 튜너,FM 방송(스테레오 방송 포함)을 수신하기 위한 동조기. FM 방송만을 수신하는 것과 AM 방송(표준 방송)도 수신할 수 있는 FM-AM 동조기 등이 있다. 출력은 1V로 고정된 것과 가변 출력 단자인 것이 있다. 선국(選局) 기능으로는 L이나 C를 가변하는 전래적인 방식과 신시사이저(synthesizer:극히 안정도가 높은 수정 발진기를 사용해서 주파수 합성에 의해 정밀한 가변 주파수를 얻을 수 있도록 한 장치) 방식과 같은 고급 기능을 가진 것이 있다. 고급 기능으로는 묵음 회로(muting circuit)나 다중 경로 계기(멀티패스 지시기)를 내장한 것도 많다.
"FM 레이저, FM laser",,내부 변조기로 세로 모드 간극으로부터 약간 벗어난 주파수에서 위상 변조를 일으켜 각 모드의 진폭과 위상이 주파수 변조 스펙트럼과 거의 같게 되도록 제어된 레이저.
