"H.262 표준, H.262",,"방송, 통신, 저장이라 말하는 모든 애플리케이션에 대해서 광범위하게 사용할 수 있는 동영상 부호화 방식으로 ITU-T가 권고한 방식. 국제 표준화 기구(ISO)의 엠펙-2 표준 규격(MPEG-2) 비디오 부문(ISO/IEC 1318-2)과 공통 규격으로 되어 있다. 기본 알고리듬은 프레임 간 움직임 보상 예측과 이산 코사인 변환(DCT)이며, 비월 주사 신호도 취급된다. 화상 크기는 일반 방송 신호 레벨에서 고선명 텔레비전(HDTV)에 이르기까지 넓은 범위를 커버한다. 범위성(scalability) 등 6종류의 기능 레벨(profile)이 정의되어 있으며 사용하는 애플리케이션에 따라 구별해서 사용한다. TV 방송용의 NTSC 신호에 대해서는 5~10Mbps의 비트레이트로 상당히 고품질의 부호화가 가능하다."
"H0 채널, H0 channel",,종합 정보 통신망(ISDN)의 1차군 인터페이스에서 B 채널(64kbps) 6개를 묶은 384kbps의 정보 채널.
"H1 채널, H1 channel",,종합 정보 통신망(ISDN)의 1차군 인터페이스에서 B 채널(64kbps) 24개를 묶은 1.544Mbps의 정보 채널.
"H4 채널, H4 channel",,"ITU-T에서 고 속/광대역 서비스에 사용되는 정보 채널을 ‘H 채널’이라 호칭할 것을 권고하고 있는데, 현재 규정되어 있는 것 중 가장 고속인 H 채널. 속도는 약 140Mbps이다."
"HD 다운컨버터, High-definition downconverter, HD downconverter",,"고선명 텔레비전(HDTV) 비디오 신호를 디지털 표준 텔레비전(SDTV) 수상기나 모니터에서 볼 수 있도록 SDTV 비디오 신호로 변환하는 장비. 첨단 HD 다운컨버터는 에일리어싱(aliasing)이나 변환 잡음이 없이 이러한 기능을 수행하며, 여러 가지의 화면비(aspect ratio)나 화면 갱신율(refresh rate, vertical scanning frequency)을 가지는 SDTV 신호를 출력할 수 있다. HDTV 프로그램을 아날로그 채널로 동시 방송하는 경우에는 HDTV 프로그램을 SDTV 포맷으로 변환하는 HD→SD 다운컨버터가 필요하다. 일부 회사들은 그들의 제품을 HD-SDI(High-Definition Serial Digital Interface) 다운컨버터라고도 부른다. HD 다운컨버터와 반대 개념의 용어로 HD 업컨버터(upconverter)가 있다."
"HD 라디오, High Definition radio, HD Radio",,"미국 디지털 지상파 라디오 방송 서비스 명칭. HD 라디오는 아이비퀴티(iBiquity)사가 IBOC(In-Band On-Channel) 방식으로 디지털 라디오 방송 서비스를 개시하면서 부여한 서비스 명칭이다. CD 수준의 고품질 음악 방송과 날씨, 교통 정보 등 데이터 방송을 실시 중이며 최근에는 FM 대역에서의 다채널 방송도 실시 중이다."
"HD 업컨버터, High-definition upconverter",,"아날로그나 디지털 표준 텔레비전(SDTV)로 제작된 비디오 신호를 HD 모니터에서 볼 수 있도록 변환하기 위하여 사용하는 장비. DTV 업컨버터(upconverter)라고도 한다. 35mm 영화의 프레임을 고선명 텔레비전(HDTV) 프레임으로 변환하는 데 사용된다. 아날로그, SDTV로 제작된 프로그램을 HDTV로 동시 방송하는 경우에는 아날로그 프로그램을 HDTV 포맷으로 변환하는 SD→HD 업컨버터가 필요하다."
"Hello 프로토콜, Hello Protocol",,최단 경로 우선 프로토콜(OSPF) 시스템이 주변 장치들과의 관계를 설정하고 관리하는데 사용하는 프로토콜. 네트워크상에 있는 주변 장치들은 Hello 프로토콜을 이용하여 서로간에 자기 존재를 알리고 확인하며 상대의 MAC 주소를 보관한다. 특정 목적지에 데이터를 전송할 경우 모든 주변 장치에 Hello 패킷을 주기적으로 전송하여 인근 Hello 패킷에 자기가 들어가야 양방향 통신이 이루어진다.
"HIL 모의실험, -模擬實驗, Hardware In the Loop Simulation, HIL Simulation",동의어 : 제품 성능 모의실험,"제품 생산 이전에 성능이나 결함을 가상으로 모의실험하는 기술. 일반으로 자동차나 선박, 항공기 같은 고가품은 대량으로 생산하기 앞서 제조 비용 절감과 개발 기간을 줄이려고 시제품으로 성능과 결함을 확인한다. 그러나 시제품은 제조 비용이 높고, 제조 과정도 복잡하고 어렵다. HIL 모의실험은 이 같은 어려움을 줄이려고 시제품을 만드는 대신, 가상으로 시험하는 기술이다."
"HIPO 차트, Hierarchy plus Input-Process-Output charts, HIPO charts",,"프로그램의 설계 및 문서화 기법의 한 가지. 어떤 시스템의 기능적인 구조와 자료의 흐름을 표현하는 데 유용하다. 이 기법은 다음에 열거된 3가지의 도표를 이용한다. ㉠내용에 대한 참조표:프로그램의 각 모듈에 대한 이름을 부가하고 이들 간의 상호 관계를 정의하는 도표. ㉡개관 다이어그램:전체 계층에서의 입력과 처리 과정, 출력을 설명하는 도표. ㉢상세 다이어그램:개관 다이어그램에 더욱 자세한 설명을 붙이고 입출력, 처리에 대하여 더욱 상세히 설명한 도표. 약어 HIPO는 보통 하이포라고 읽는다."
"H-I 호 로켓, -號-, H-I Rocket",,"일본의 실용 위성 발사용 로켓으로, N-Ⅱ호 로켓의 약 2배의 발사 능력을 가지며 중량 약 550kg의 정지 위성을 발사할 수 있는 3단식 로켓. 1987년부터 1992년까지 8개의 위성을 발사한 후에 더 큰 발사 능력을 보유한 H-Ⅱ호 로켓에 그 임무가 인계되었다."
