word,synonym,description
"IBM 1종 케이블, -一種-, IBM type 1 cable",,"IBM사의 컴퓨터 통신망용 케이블 규격의 하나로 옥외 가공 설치 및 지하 관로 설치용으로 사용되고, 2조의 AWG#22 차폐 연선(STP)으로 구성된다."
"IBM 2종 케이블, -二種-, IBM type 2 cable",,"IBM사의 컴퓨터 통신망용 케이블 규격의 하나. 옥내 배선용으로 사용되고, IBM 1종 케이블과 2조의 AWG#22 차폐 연선(STP)으로 구성된다."
"IBM 3종 케이블, -三種-, IBM type 3 cable",,IBM사의 컴퓨터 통신망용 케이블 규격의 하나. 4조의 AWG#24 차폐 연선(STP)으로 구성된다.
"IBM 5종 케이블, -五種-, IBM type 5 cable",,"IBM사의 컴퓨터 통신망용 케이블 규격의 하나. 옥내, 옥외 가공 설치 및 지하 관로 설치용으로 사용되고, 2개의 광섬유 도체로 구성된다."
"IBM 6종 케이블, -六種-, IBM type 6 cable",,IBM사의 컴퓨터 통신망용 케이블 규격의 하나. 2조의 AWG#26 차폐 연선(STP)으로 구성된다.
"IBM 8종 케이블, -八種-, IBM type 8 cable",,"IBM사의 컴퓨터 통신망용 케이블 규격의 하나. 사무실 내의 카펫 밑에 배선하거나 공개된 사무실 환경에서 기기 간을 연결하는 데 사용되고, 2조의 AWG#26 차폐 연선(STP)을 평행으로 배열한다."
"IBM 개인용 컴퓨터, 個人用, IBM Personal Computer, IBM PC",,"미국 IBM사에서 1981년부터 판매를 시작한 최초의 개인용 컴퓨터(PC). 원래는 IBM 5150의 상품명이었으나 이후 IBM에서 개발된 모든 컴퓨터를 지칭하는 말로 쓰이게 되었다. 인텔의 8086을 중앙 처리 장치로, MS-DOS를 운영 체계로 채용한다. 개인용 컴퓨터의 대명사로 알려져 있으며 현재는 다른 제휴 회사에서 개발한 모든 호환 기종도 IBM PC라 불리고 있다."
"IBM사, -社, International Business Machines corporation, IBM corporation",,"컴퓨터 및 관련 장비를 생산하는 미국의 초대형 다국적 회사. 대형 컴퓨터에서 소형 컴퓨팅 장치에 이르는 하드웨어, 미들웨어, 소프트웨어를 생산하며, 여러 분야에서 기업 컨설팅 서비스를 제공한다."
"IBM 케이블링 시스템, IBM cabling system, IBMCS",,"IBM사의 컴퓨터망 케이블 규격. 자사의 토큰 고리형 망(TRN)을 위시하여 대부분의 구내 정보 통신망(LAN) 구성을 지원하기 위해 IBM사가 1984년에 발표하였다. 케이블, 케이블 보호용 덮개(faceplate), 배선반(distribution panel), 특수 접속기(connector) 등으로 구성된다."
"ICC 프로파일, International Color Consortium Profile, ICC Profile",,"스캐너, 모니터, 프린터 등 컬러 디바이스의 컬러 특성을 기술하는 데이터 파일. 텍스트 형태의 설명과 변화시킬 컬러 값에 대한 수치적 데이터의 설정 값들이 포함되어 있다. 컬러 디바이스들은 이러한 프로파일의 정보에 따라 컬러를 수정하여 실제 색상을 재현한다."
"ICMP 라우터 검색 프로토콜, -檢索-, ICMP Router Discovery Protocol, IRDP",,"호스트가 기본 게이트웨이로 사용할 수 있는 라우터의 주소를 결정하는 프로토콜. 인터넷 제어 메시지 프로토콜(ICMP)이 호스트와 게이트웨이 간의 인터넷 메시지 제어와 오류 처리를 해주는 프로토콜이라면, IRDP는 호스트가 라우터에 자신을 알려주는 ES-IS(End System to Intermediate System) 프로토콜과 비슷하지만 다른 점으로는 IP와 함께 사용할 수 있다는 것이다."
"ICT 발전지수, -發展指數, ICT Development Index, IDI",,"ITU 회원국 간의 ICT 발전정도를 비교·분석하기 위한 지수. 국가 간 ICT 발전경로, 디지털 격차, 성장 잠재력 등을 평가하는 것이 목적이다. 정보화 사회로 진화하는 단계를 크게 ICT 인프라 접근, ICT 이용, ICT 활용으로 분리하여 IDI 지수를 측정한다. 2008년 지수를 개발한 후 매년 각 국가의 ICT 발전지수(IDI)를 발표하여 ICT 분야의 국가별 발전 정도를 평가하고 있다."
"IC 카드, Integrated Circuit card, IC card",,"카드에 집적 회로(IC)를 넣은 것. 신용 카드 크기의 카드에 마이크로프로세서와 IC 메모리를 접합시킨 IC 카드와, 신용 카드 크기와 수 mm 정도 두께의 카드에 대용량의 대규모 집적 회로(LSI) 메모리만을 접합시킨 IC 메모리 카드로 크게 나눌 수 있다. 마이크로프로세서와 IC 메모리를 내장하고 있는 IC 카드는 기억 기능 이외에 연산 등 각종 지능화 기능을 갖기도 한다. IC 카드는 자기띠를 입힌 카드(magnetic stripe card)에 비해 기억 용량이 크고(8~32kB), 단독 처리 기능을 갖기 때문에 은행의 현금 카드 등으로 쓸 때, 사전에 카드에 등록시킨 암호와 현장에서 입력시키는 암호를 카드 자신이 조회할 수 있으므로 카드 읽개(card reader)나 통신 회선을 사용하지 않고 카드 소지자를 식별할 수 있다. 이와 같이 안전성 향상과 데이터 전송량을 감소시키는 이점이 있기 때문에 전자 화폐로서의 사용은 물론 주민 카드, 복지 카드 등 각 분야에서의 활용이 확대되었다. IC 카드의 물리적 특성, 보안성(security), 암호 체계 및 IC 카드와 단말 간의 메시지 데이터 등에 관한 국제 표준화 작업을 국제 표준화 기구(ISO)에서 진행한다."
"ID3 태그, ID3 tag",,"MP3 파일에 곡명이나 저작자, 음악 채널 등의 정보를 추가하기 위해서 표준적으로 사용되고 있는 형식. 1.1판(버전)까지는 규격이 정해져 있으며, 대부분의 MP3 재생 소프트웨어에 대응하고 있다. 새로운 버전으로 ‘ID3v2’라는 ID3 태그 변형판도 등장해서 이용이 시작되었다. 그러나 이용할 수 있는 문자/숫자의 제한 철폐, 유니 코드에 대응 등을 시작으로 확장을 행한 결과 ID3v2 형식의 MP3 데이터는 대응 플레이어로만 재생할 수 있다.→유니코드"
"IDC 회로, -回路, Instantaneous Deviation Control circuit, IDC circuit",,"FM 송신기에서 최대 주파수 편이가 규정치를 초과하지 않도록 음성 신호 등의 진폭을 일정 레벨로 제어하는 순시 주파수 편이 제어 회로. FM 변조를 하는 경우, 그 주파수 편이는 변조 신호 입력의 크기에 비례하기 때문에 순간적으로 큰 입력이 있으면 허용된 최대 주파수 편이를 초과할 위험이 있다. 이것을 방지하기 위해 최대 주파수 편이에 상당하는 입력 레벨로 잘라 내고, 어떤 큰 입력이 있어도 변조 입력이 이보다 크게 되지 않도록 하고 있다."
"ID 연계, -連繫, ID federation",,"싱글 사인온(Single Sign On)와 ID 정보 관리 서비스를 수행하는 방식 중, 서비스 제공자(SP)가 기존에 보유하고 있던 ID를 그대로 유지하면서 인터넷 ID 서비스 제공자(IDSP)의 ID와 연계를 통해 SSO와 ID 관리를 달성하는 방식. SP들은 정보 자치권이 그대로 유지되므로 이용자들이 기존 ID를 사용해 로그인할 수도 있다. 또한 IDSP 간에서 ID 연계를 적용하면 가입하지 않은 IDSP의 가맹 SP에 대해서도 똑같은 SSO와 ID 정보 관리 기능을 이용할 수 있다. 반면에, 통합 ID 방식은 모든 가입자 정보가 중앙dp 집중되어 있고, 기존에 사용하던 ID들은 모두 폐지하고 IDSP가 제공하는 하나의 ID만을 사용한다."
"IEC 국제 표준, -國際標準, International Electrotechnical Commission publication, IEC publication",,국제 전기 표준 회의(IEC)에서 제정하는 전기 관련 기술에 대한 국제 표준. ‘IEC Publication’이라는 이름의 문서로 발표하여 각국에서 국가 표준을 제정할 때에 이 통일 표준에 준거하도록 권고하고 있다. 흔히 IEC 버스(IEC bus)라고 불리는 계측기용의 표준 버스 인터페이스는 IEC publication 625-1로 정해진 국제 표준이다.
"IEC 버스, IEC bus",동의어 : IEC 625 버스,"컴퓨터와 각종 계측기를 접속할 수 있고 각 계측기 간의 신호를 주고받을 수 있도록 한 통일된 국제 규격의 계측용 인터페이스. 8개의 데이터 버스, 3개의 데이터 전송 제어 버스, 5개의 인터페이스 제어 버스로 구성된다. 국제 전기 표준 회의(IEC)에서 IEEE 488을 기반으로 IEC 버스를 표준화하였다(IEC publication 625-1)."
"IEEE 802 위원회, -委員會, IEEE 802 Committee",,미국 전기 전자 학회(IEEE) 내의 컴퓨터 통신망 표준화 위원회. 미국 표준 협회(ANSI)에 의해 국가 표준 개발을 위촉받은 IEEE에서는 1980년 IEEE 802 위원회를 구성하여 근거리 통신망(LAN)의 표준화를 추진하였다. 이 위원회가 개발한 전송 속도 1Mbps에서 20Mbps의 4개 LAN 표준은 1985년 ANSI에서 미국 표준으로 채택한 후에 국제 표준화 기구(ISO)에 제출되어 1987년 ISO 8802 표준으로 채택되었다.
"IEEE 802 표준, -標準, IEEE 802",,"미국 전기 전자 학회(IEEE) 산하에서 근거리 통신망(LAN: Local Area Network)과 도시권 통신망(MAN: Metropolitan Area Network) 표준을 담당하는 IEEE 802 위원회에서 제정된 일련의 표준. IEEE 802.1, 802.2, 802.12 등이 있다. IEEE 802 표준 LAN 프로토콜 참조 모델은 OSI 기본 참조 모델의 계층화 개념을 바탕으로 하고 있는데, 주로 OSI 모델의 7계층 가운데 하위의 2계층까지를 표준화하였다. 그러나 IEEE 802 표준 LAN의 데이터 링크 계층은 논리 회선 제어 부계층(LLC sublayer)과 매체 접근 제어 부분층(MAC sublayer)의 2개 서브 계층으로 나뉜다. 논리 회선 제어 부계층의 표준은 모든 IEEE 802 표준에 적용되는데, 데이터국(노드) 간 연결, 메시지 프레임 생성 및 오류 제어 기능을 수행한다. 매체 접근 제어 부분층의 표준은 매체 접근 제어 방식과 충돌 탐지(collision detection) 방식별로 규정되어 있다. 그리고 물리 계층에는 각 표준에 대한 다양한 전송 매체의 규격이 제시되어 있다. OSI 기본 참조 모델에서 전송 매체는 물리 계층의 아래에 존재하는 것으로 간주되지만, LAN의 설계에서 전송 매체의 선택이 긴요하기 때문에 전송 매체의 규격이 물리 계층에 포함되어 있다. IEEE 802 LAN 표준을 도표로 표시하면 그림과 같다."
