word,synonym,description
"RAM 재생 작용, -再生作用, Random Access Memory refresh operation, RAM refresh operation",,모든 동적 모스 램(MOS RAM)은 기억되어 있는 데이터의 내용을 계속 유지하기 위해서 주기적으로 재생시켜 주어야 한다. 재생 작용은 일정 시간 동안에 메모리의 최하위 주소 비트들에 대하여 특정한 횟수의 기록 주기(일부 시스템에서는 판독 주기도 필요함)로써 이루어진다. 이 주기 횟수는 기억 장치 회로에 따라 달라진다.
"RCA 접속기, -接續器, RCA connector",,"매우 낮은 장파 내지 수 MHz 주파수 범위에서 동축 케이블 용도로 만들어진 하나의 플러그와 잭. 이것은 전화 플러그 잭으로서, 플러그는 중앙에 직경 약 2 mm의 핀과 내부 직경 약 6 mm의 외부 셀로 구성되어 있고, 플러그 셀은 나사형이 아닌 슬롯형으로 잭이나 콘센트로부터 삽입/분리가 용이하며 동축 케이블의 외부 차폐에 연결되어 있다. 중앙 핀은 케이블 중앙 도선에 연결되어 있으며, 잭은 몸통이 접지되고 가운데 구멍은 도체로 되어 있다. 음성 주파수에 적합하며 출력 약 100와트까지 장/중파 RF 시스템에도 사용된다."
"RC 발진기, -發振器, RC oscillator",,주파수를 결정하는 소자로서 저항과 커패시턴스를 사용한 정현파 발진기.
"RC 버전, Release Candidate version",,"베타 버전(Beta Version)보다 1단계 개선된 버전. 일반적으로 개발 도중의 제품은 알파 버전→베타 버전→제품 버전으로 진행되는데, 운용 체계 등 대규모 소프트웨어에 대해서 다양한 환경에서의 시험을 위해 베타 버전과 제품 버전 사이의 과정에서 추가로 수행되는 버전들이다. 그 제품을 도입하는 사용자에게 광범위하게 배포해, 실제 환경에서의 시험을 실시하고, 필요하면 RC1→RC2→RC3식으로 버전을 거친 후 최종 제품 버전으로 진행한다."
"RC 브리지 발진기, -發振器, RC bridge oscillator",,RC 브리지를 사용한 브리지형 발진기. 발진 주파수와 궤환량이 브리지의 RC로 결정된다.
"RC 트랜지스터 논리 회로, -論理回路, Resistor Condenser Transistor Logic, RCTL",,"초소형 디지털 회로 방식의 한 종류로 저항과 콘덴서, 트랜지스터를 이용한 논리 회로. 회로의 동작 속도를 빠르게 하기 위해 트랜지스터의 직렬 저항에 대하여 병렬로 스피드업 콘덴서를 넣는 것으로, 잡음 비율이 크다는 이점이 있지만, 소자의 수가 많기 때문에 가격이 비싼 결점이 있다."
"RC 회로, -回路, Resistor and Capacitor circuit, RC circuit",동의어 : 저항 커패시터 회로,발진 주파수를 결정하기 위해 발진기에 접속되는 저항과 콘덴서의 회로. 주파수를 안정시키기 위해 수정이 사용된다.
"RD 와이어, rural distribution wire",,통신 선로에 쓰이는 간이 케이블. 비닐로 피복한 아연 도금 강선을 지지선으로 하여 중심에 놓고 그 주위에 폴리에틸렌과 비닐로 피복한 심선을 배치한 것으로서 외피는 씌우지 않는다. 공사가 간단하고 값도 싸지만 외상(外傷)에 약한 결점이 있다.
"RFCOMM 규약, -規約, Radio Frequency COMMunication, RFCOMM",,"논리적 링크 제어 및 적응 프로토콜(L2CAP) 상에서 RS-232 시리얼 포트 모방 기능을 제공하는 프로토콜. 유럽 전기 통신 표준 협회(ETSI) 표준 TS 07.10에 기초한 표준으로 TS 07.10의 서브셋으로만 사용되고, 블루 투스 RFCOMM 규격으로 일부 적용되고 있다. 또한, 2개 블루 투스 장치간 60개 동시 접속 기능과 다른 2개 애플리케이션의 통신 세그먼트 융합 기능을 제공한다."
"RFID 보안, -保安, RFID Security",,"RFID의 안전성을 확보하기 위한 정보보호 기술. 안전하지 않는 태그를 사용하는 경우 물리적 공격, 위조, 스푸핑(Spoofing),도청, 트래픽 분석, DOS 공격 등에 보안취약점이 있다. 태그/백앤드서버/리더인증, 정책기반 동적 프라이버시 보호, 위치추적보안 등의 보안기술을 이용해 RFID 서비스의 불법적 이용 및 RFID 태그 정보의 위변조 방지, 개인 프라이버시 보호가 가능하다."
"RFID 복제 공격, -複製攻擊, RFID Cloning Attack",,전파 식별(RFID) 태그에 대한 물리적인 공격 방법. RFID 태그의 하드웨어 특성을 파악하여 물리적으로 동일한 RFID 태그를 복제하거나 태그의 메모리 정보를 모두 해킹한 후에 쌍둥이 태그를 만들어서 시스템을 교란시키는 공격 방법이다.
"RFID 음성안내 시스템, -音聲案內-, RFID Voice Information System",,전파 식별(RFID)을 활용한 시각장애인을 위한 음성 안내 시스템. 점자 보도 블록에 RFID를 삽입하고 지팡이에 설치한 전자 나침반과 휴대형 RF 리더로 위치 정보를 확인해 다양한 정보를 음성으로 제공한다.
"RFID 판독기, -判讀機, Radio Frequency Identification reader, RFID reader",,RFID 태그(tag) 정보를 활용하기 위해 태그와 송수신하거나 태그에서 수집된 정보를 백 엔드(Back End) 시스템으로 전송하는 장치. 고정형과 이동형이 있다. 고정형은 움직이는 태그를 판독하고 백 엔드 시스템과 유선 네크워크로 연결되어 있다. 이동형은 고정되어 있는 태그를 판독하며 백엔드(backend)와 무선 네트워크로 연결되어 있다.
"RF 스위치, Radio Frequency switch, RF switch",,모바일 기기의 RF 신호 수신단에서 평소때는 내장안테나와 모듈부문을 연결시켜 주다가 외장 안테나를 꽂으면 여기에서 수신된 신호로 전환해주는 부품이다.
"RGB 단자, -端子, RGB terminal",,"RGB(적/녹/청)의 색 신호, 즉 RGB 신호를 각각 다른 라인으로 받아서 모니터에 입력하기 위한 단자."
"RGB 대응 텔레비전, -對應-, RGB television",,"텔레비전 방송의 수신뿐만 아니라 컴퓨터나 비디오 할 수 있도록 보통의 컬러 텔레비전 수상기에 RGB 단자를 마련한 것. RGB 단자가 마련되어 있어서 개인용 컴퓨터(PC), 비디오텍스 시스템을 접속할 수 있다."
"RGB 모니터, RGB monitor",,"RGB(적/녹/청)의 색 신호, 즉 RGB 신호로부터 영상을 재현하는 컬러 모니터. 특히 적/녹/청의 색 신호를 각각 다른 라인으로 수신하는 것을 말한다. RGB 모니터가 3원색 모두의 색 신호를 단일 라인으로 수신하는 복합형 모니터보다 일반적으로 더 선명하고 깨끗한 화상을 표시한다."
"RGB 입력 방식, -入力方式, RGB input",,컬러 영상의 색을 나타내는 기본 색인 RGB(적/녹/청)의 색 신호를 따로따로 개별적인 신호 선으로 음극선관(CRT) 표시 장치나 컴퓨터 모니터에 입력하는 방식. 3원색을 하나의 복합 색 신호로 합성하여 단일 신호 선으로 입력하는 방식에 비해 튜너나 영상 회로는 복잡해지지만 선명하고 깨끗한 화상이 표시된다.
"RIAA 곡선, -曲線, RIAA curve, RIAA curve",,"미국 레코드 공업 협회(RIAA:Record Industrial Association of America)가 결정한 레코드의 특성 곡선. 세분하면 녹음 특성과 재생 특성이 있는데 우리나라의 녹음 스튜디오에서도 기본적으로는 이 곡선으로 녹음하고 있다. 레코드를 재생하기 위한 기기의 특성은 물론 호환성 측면에서도 통일된 곡선으로 녹음된 것을 사용하는 것이 바람직하기 때문이다. 이 곡선의 녹음 특성은 그림의 점선과 같이 저음역(30~100Hz)의 레벨을 작게 하고 고음역(10kHz)의 레벨은 크게 하고 있다. 이것은 저음역에서는 변위의 진폭이 크므로 압축해서 녹음하지 않으면 소릿골의 폭이 크게 되므로 경제적인 녹음이 되지 않고, 고음역에서는 변위의 진폭이 작아지므로 레벨을 올려서 녹음하고 재생 시에는 반대로 레벨을 내리는 쪽이 잡음(고음역에 많음)을 줄이는 데 유리하다. 재생 주파수 특성은 녹음의 반대로서 그림 중에서 실선 부분이다."
"R-J-K 케이블, Russia-Japan-Korea cable, R-J-K cable",,"한국, 일본을 거쳐 러시아(나홋카)까지 연장된 해저 케이블. 한국 통신(KT), 일본의 국제 전신 전화 주식 회사(KDD: Kokusai Denshin Denwa), 러시아의 장거리 전화 사업자인 Rostelecom등 20개사가 참여하였으며 우리나라는 1992년 7월에 건설 양해 각서를 체결하고, 건설 공사에 착공하여 1995년 1월 31일에 준공, 개통하였다. 총거리는 1,761km이고 회선 용량은 560Mbps×2(전화급 15,120회선)이다. 우리나라가 확보한 회선은 9,570회선이다. &nbsp;"
"RJ 커넥터, Registered Jack Connector, RJ connector",,"배선을 연결하기 위해 사용되는 표준 커넥터. RJ 커넥터는 RJ-11, RJ-12, RJ-45가 흔히 사용된다. 전화선을 연결하기 위해서는 RJ-11이 일반적으로 사용되고 있으며, RJ-45는 LAN에서 비차폐형 트위스트 페어를 연결할 때 사용되는 것으로 모듈 단위로 4상 배선을 할 수 있다."
