word,synonym,description
"S-100 버스, S-100 bus, S-100",,"개인용 컴퓨터의 효시인 Altair 8800에서 처음 사용된 100핀의 접속점을 갖는 컴퓨터용 백플레인 접속 규격. 인텔의 8080 프로세서를 기준으로 데이터와 어드레스, 그리고 전원 버스의 규격을 결정했다고 하며, 1980년대말에 IEEE-696로서 마이크로컴퓨터용 최초의 산업 표준 규격이 되었다."
"SAN 파일 시스템, Storage Area Network file system, SAN file system",,"파일 시스템이 저장된 하나의 스토리지 전용 네트워크(SAN: Storage Area Network)에 파일 서버와 모든 클라이언트가 모두 연결된 구조의 스토리지 시스템. 파일 서버는 클라이언트와 함께 메타데이터를 공유하고, 클라이언트가 직접 스토리지 디바이스에 접근할 수 있어 망 부착 저장 장치(NAS: Network-Attached Storage)에 비해 입출력 성능을 향상시킬 수 있다."
"SCA 접속, -接續, Single Connector Attachment, SCA",,"스카시(SCSI)의 신호선(68핀), 전원선, 장치 제어선을 하나의 80핀에 모은 커넥터. 핫 교체(hot swap) 드라이브와 함께 사용되며, 디스크 어레이 장치에 하드 디스크를 직접 연결하기 위해 사용되는 커넥터이다."
"SCO 오픈 데스크톱, SCO Open Desktop, SCO ODT",,미국의 산타크루즈 오퍼레이션(SCO: Santa Cruz Operations)사가 개발한 개인용 컴퓨터(PC:Personal Computer)용 유닉스. 유닉스 시스템 V(로마자: 5)에 데스크톱 환경인 X(로마자:10) 데스크톱 등이 부가되어 있다.
"SDLC 전송 프레임, -傳送-, SDLC transmission frame",,"모든 동기식 데이터 연결 제어(SDLC) 전송은 정확히 정의된 시스템 내에서 이루어지며, 정보 시스템은 전송된 메시지 정보를 결합하고 있다. 감독 시스템에는 데이터가 들어 있지 않고 준비 완료나 수행 중 표시, 폴(poll) 또는 확인, 오류 검출 후 재전송 요구 등에 관한 신호가 들어 있다. 관리 시스템은 전송 과정 중의 오류에 관한 보고뿐만 아니라 2차국의 응답 방식의 제어, 개시, 활성화 등과 같은 기능에 필요한 데이터를 제공한다. 각 메시지 시스템은 6개 필드로 구성되어 있다. 표준화된 양식은 통보를 필요로 하지 않는 일련의 다중 체제 전송을 허용함으로써 데이터 연결 제어에 필요한 신호 발생량을 최소화해 준다."
"SDLC 프레임, SDLC frame",,"동기식 데이터 연결 제어(SDLC) 프레임은 메시지 전송, 감시, 관리 기능을 가지고 있다. 메시지부는 감독 프레임에는 없으며, 관리 프레임에서는 연계 위주의 지시를 하게 된다."
"SEA-ME-WE-3 케이블, Southeast Asia-Middle East-West Europe-3 cable",,"동남아시아-중동-서부 유럽-3 케이블. 싱가포르에서 영국까지 연장되는 광케이블로, 싱가포르의 싱가포르 텔레컴(ST)사와 프랑스의 프랑스 텔레컴(FT)사가 주축이 되어 1999년 10월에 개통되었다. 인도양, 지중해, 대서양을 거쳐 싱가포르에서 영국까지 연장되는 이 케이블의 육양 국가는 20개국이고 비육양 국가는 통신 사업자 4개사가 건설에 참여하였다. 이 케이블의 총길이는 약 21,000km, 케이블 용량은 10Gbps(전화급 120,960회선), 회선 다중화 방식은 파장 분할 방식(WDM)이며 총 건설비는 약 8억 5000만 달러이다. 이 케이블의 20개 육양 국가는 싱가포르, 인도네시아, 말레이시아, 타이, 스리랑카, 인도, 파키스탄, 오만, 아랍에미리트, 지부티, 사우디아라비아, 이집트, 그리스, 터키, 키프로스, 이탈리아, 프랑스, 모로코, 포르투갈, 영국이다. 비육양 국가로서 사업자로 참여하는 4개사는 미국의 AT&amp;T, 일본의 KDD, 독일의 DTAG 및 오스트레일리아의 Telstra이다. 아시아, 아프리카, 유럽의 많은 국가를 연결하는 초고속 정보 통신 간선이 될 이 케이블을 한국, 중국, 일본 등 다른 아시아 국가로 연장 사업으로 추가하여 건설한 것이다. 이 추가 연장 사업은 2000년 3월에 완료되었으며, 참여 국가는 한국, 일본, 중국, 대만, 필리핀, 홍콩, 마카오, 브루나이, 베트남, 말레이시아 등 13개국으로 본사업과 연장 사업에는 총 33개 국가가 참여하였다."
"SEO 포이즈닝 공격, -攻擊, Search Engine Optimization poisoning Attack",,사회적 이슈가 되는 키워드를 악용하여 악성 코드를 유포하는 공격. 사회 공학적 사이버 위협 가운데 하나로 악성 코드를 퍼뜨릴 사이트를 SEO 알고리듬을 이용해 검색 결과를 상위에 노출시킴으로써 사용자가 검색 결과를 클릭해 악성 코드 유포 사이트로 연결되게 하는 방식이다.
"SGML 문서 교환 형식, -文書交換形式, SGML Document Interchange Format, SDIF",,상이한 표준 범용 마크업 언어(SGML) 문서 간의 교환을 위한 표준 형식(ISO 9069:1988).
"SGML 문서 실현치, -文書實現値, SGML document instance",,"표준 범용 문서 마크업 언어(SGML: Standard Generalized Markup Language) 규약에 근거한 문서를 구성하는 세 부분 중의 하나로서, 세 번째에 부분. 보통 말하는 ‘문서’에 해당된다. 체재는 정비되어 있지 않고, 대신 문서형 정의(DTD: Document Type Definition)로 정의된 마크업(markup)이 부가되어 있다."
