"U-B 변환, -變換, U-B conversion",,"펄스 부호 변조(PCM) 방식에서는 일반적으로 단극성 펄스는 부호기나 복호기의 내부에, 복극성 펄스는 직류 성분이 거의 없어 전송로에 유리하므로, 양 단국의 부호 변환기에서 펄스의 단극 U, 복극 B의 극성을 변환시키는 것."
"UDP 스캐닝, User Datagram Protocol scanning, UDP scanning",,"사용자 데이터그램 프로토콜(UDP)을 사용하는 열린 포트를 찾기 위한 스캐닝. 대상 포트로 UDP 패킷을 전송하고 대상 포트로부터 ""ICMP Port Unreachable"" 메시지를 받으면 닫힌(close) 상태이며 메시지가 오지 않으면 열린(open) 상태이다. 닫힌 상태는 명확하게 포트가 닫혀 있다는 것을 알 수 있지만 열린 상태는 UDP 프로토콜 특성(비연결형)상 네트워크의 상태나 라우터, 스위치등에 의해 차단되어 응답이 없을 수 있기 때문에 정확도가 떨어진다."
"UG 접속함, -接續函, UG joint box",,CCP-JE 케이블의 지하 배선 방식에서 케이블 상호 간을 접속할 때 사용하는 경질 폴리염화비닐(PVC) 상자. 심선을 접속한 후 이 함을 씌우고 UG 혼합물을 충전하여 심선 접속부의 방수성을 유지하게 하고 외력에 대한 보호를 한다.
"UHF 튜너, Ultra High Frequency tuner, UHF tuner",,"극초단파(UHF) 전파를 직접 초단파(VHF) 수신기의 중간 주파수로 변환하는 장치. 이것을 VHF 수신기에 짜 넣는 방법은 UHF 튜너로 UHF 전파를 직접 중간 주파수로 변환하여 VHF 튜너를 중간 주파수 증폭기로 동작시키는 것과, VHF 튜너 중 불필요한 1개 채널의 세그먼트를 제거하여 거기에 UHF용의 세그먼트를 넣는 것 등의 2가지가 있다."
"UMG 실리콘, Upgraded Metallurgical Silicon",,태양광 전지용 실리콘. 태양광 전지용 폴리실리콘과 달리 화학 공정을 거치지 않고 고도의 금속 정련 기술을 이용해 생산한 태양광 전지용 실리콘으로 폴리실리콘에 비해 비용이 저렴하다.
"UMTS 지상 무선 접속, -地上無線線接, UMTS Terrestrial Radio Access, UTRA",,"IMT-2000 국제 표준이며 FDD(Frequency Division Duplex)와 TDD(Time Division Duplex) 두 기술로 구성된 범용 이동 통신 시스템(UMTS)의 무선 전송 기술(RTT: Radio Transmission Technology). 유럽 전기 통신 표준 협회(ETSI)의 차세대 이동 전화 표준으로서 기존의 GSM 망의 차세대 이동 전화로의 진화된 개념이며, UMTS의 대역 중에서 FDD에는 W-CDMA 진영의 제안을 수용하고 TDD에는 TD-CDMA와 TD-SCDMA 진영의 기술을 수용한 것이다."
"UMTS 지상 무선 접속망, -地上無線接續網, UMTS Terrestrial Radio Access Network, UTRAN",,"범용 이동 통신 시스템(UMTS)의 무선 인터페이스 시스템. UTRA에 기반을 둔 시스템으로 무선망 제어기(RNC)와 기지국(Node-B:Node-Base station)으로 구성되는 무선망 서브시스템(RNS: Radio Network Subsystem)을 말한다. RNC는 GSM의 기지국 제어기(BSC:base station controller)와 같고, Node-B는 GSM의 기지국(BTS:base transceiver site)과 같다. RNC는 무선 자원 관리와 단말기의 핸드오버 및 다른 망 요소간의 인터페이스를 지원하며, Node-B는 FDD(Frequency Division Duplex) 및 TDD(Time Division Duplex) 모드를 모두 지원하는 기지국으로 단말기와의 접속과 RNC와의 접속 기능이 있다."
"UN 기후 변화 협약, -氣候變化協約, United Nations Framework Convention on Climate Change, UNFCCC",,"지구 온난화를 방지하기 위한 국제 협약. 이산화탄소를 비롯한 온실가스의 방출을 제한하여 지구 온난화를 방지하고자 1992년 브라질 리우데자네이루에서 세계 192개국이 체결한 국제 협약으로 리우 환경 협약이라고도 한다. 1997년 12월 일본 교토에서 열린 제3차 당사국 총회에서 선진 38개국(우리나라 제외)은 2008년부터 2012년까지 온실가스 배출량을 1990년 수준보다 평균 5.2% 감축해야 한다는 이른바 ‘교토 의정서’를 체결하였다. 2007년 12월 인도네시아 발리에서 열린 제13차 당사국 총회에서는 2012년 이후 선진국은 물론 개발도상국까지 온실가스 감축에 참여해야 한다는 ‘발리 로드맵’이 채택되었고, 2009년 말까지 2012년 이후의 이른바 ‘포스트 교토 체제’를 위한 세계 각국 간 협정을 완료하기로 하였다. 이에 따라 선진국은 물론 우리나라를 포함한 개발도상국까지 2013년부터 온실가스 의무 감축에 참여해야 한다."
"URC 상황 인식 미들웨어, -狀況認識-, Context-Aware Middleware for URC Systems, CAMUS",,"한국전자통신연구원(ETRI)에서 개발 중인 URC(Ubiquitous Robotic Companion)를 위한 상황 인식 미들웨어. 기존 로봇에 네트워크 및 정보 기술을 접목함으로써 언제, 어디서나 나와 함께 하며, 나에게 필요한 서비스를 제공하도록 기능을 확대한 네트워크 기반 지능형 서비스 로봇이다. URC 상황 인식 미들웨어(CAMUS)는 물리 공간에 대한 가상 공간 모델링 부분, 작업 실행 부분 및 사용자 인터네이스 부분으로 구성되며, 로봇이 서비스하는 환경을 모델링하기 위한 방안과 환경 내 상황 정보를 이용하여 로봇이 좀 더 능동적인 서비스를 하기 위한 시스템 하부 엔진을 제공한다."
"URL 문자 메시지 서비스, -文字-, Uniform Resource Locator Short Message Service, URL-SMS",,휴대 단말기에 인터넷 주소를 기입하여 무선 인터넷 웹페이지로 바로 연결시킬 수 있는 메시징 서비스. 회신 번호에 전화 번호가 아닌 무선 인터넷에 접속할 수 있는 무선 응용 통신 규약(WAP) 주소를 삽입하여 통화나 연결 버튼을 통해 해당 페이지로 연결되는 서비스이다. 단순한 문자 메시지 서비스(SMS)보다 이용이 편리하여 실시간 주식 정보 제공이나 금융 결제 서비스 등에서 주로 이용된다.
