word,synonym,description
"X.12 규격 위원회, -規格委員會, Accredited Standard Committee X.12, ASC X.12",,미국 표준 협회(ANSI)의 한 조직. 전자 데이터 교환(EDI)의 규격을 정한다.
"X2 인터페이스, X2 Interface",,"3GPP의 LTE시스템에서 기지국(eNB) 간 정보 교환 인터페이스. 주요 교환 정보로는 핸드오버 관련 정보, 셀 간 간섭 제거를 위한 인터셀 인터피어런스(ICI) 정보 따위가 있다."
"X 86 마이크로프로세서, X 86 microprocessor",,"미국 인텔사의 X 86 아키텍처(8086, 80286, 386, 486, 586)에 준거한 마이크로프로세서 제품의 총칭. 미국 IBM PC AT 및 그 호환기(OS는 MS-DOS, 윈도, 윈도즈 NT)에 탑재하는 마이크로프로세서로서 특정 제품명을 표시하지 않을 때에 이렇게 부른다. 386이나 486 마이크로프로세서는 인텔사 이외의 반도체 제조업체의 제품이 있으며, 인텔사는 타 사 제품과 구별하기 위해 제품의 형 번호 앞에 ‘i’나 ‘인텔’을 붙여서 인텔 386, i486 등과 같이 부르기 때문에, 제품명이 길고 번거로워 X 86 마이크로세서라고 편리하게 부르고 기술한다."
"XdB법, -法",,"운용 중인 무선국에서 발사되는 전파의 점유 주파수 대역폭은 전파의 스펙트럼 분포 상태가 시간적으로 변동하여 측정하기 곤란하므로, 점유 주파수 대역폭의 간단한 측정법으로 ITU-R(구 CCIR)에서 권고하는 방법. 스펙트럼 분석기의 브라운관상에 표시된 파형을 관측하는 것에 의해, 기준 레벨에 대한 스펙트럼 분포가 전파 형식마다 정해진 값(XdB)만큼 저하되는 대역에서 점유 주파수 대역폭을 결정하는 방법이다."
"XG 프로그램, Next Generation Communications Program, XG program",,"전파 사용 시간, 주파수, 코드, 신호 특성 등을 능동적으로 제어함으로써 다수의 사용자가 스팩트럼을 보다 효율적으로 공유할 수 있도록 하는 기술을 개발하는 미국 DARPA의 프로젝트 이름. 새로운 무선 주파수 자원을 개발하는 것이 아니라 이미 사용 중인 스펙트럼들의 주파수 이용률을 10배로 증가시키기 위한 각종 최신 기술을 개발하는 것으로, 군사용은 물론 민간 상업용으로 적용하는 것을 목표로 하고 있다."
"XHTML 베이직, eXtensible HyperText Markup Language Basic, XHTML Basic",,"소규모 메모리의 휴대 기기에 적합하도록 개발된, 확장성 하이퍼텍스트 마크업 언어(XHTML)의 축소형 버전. 휴대폰이나 셋톱박스와 같은 소형 기기에 적당하도록 기본 XHTML에서 문서 구조나 이미지, 폼, 테이블 등의 규모을 축소하였다. XHTML Basic은 하나의 웹페이지로 브라우저에 따라 적절하게 변환되어 보이는 엔스크린(N Screen) 기능이 있다."
"XML 데이터, eXtensible Markup Language Data, XML-Data",,"확장성 마크업 언어(XML) 문법을 이용해서 스키마를 기술하는 방법. 1997년 W3C에 제안된 것으로 메타데이터 스키마를 정의하기 위한 XML 응용이다. 스키마는 XML 스키마와 같은 구문적인 것과 객체 모델이나 관계형 데이터베이스의 스키마와 같은 개념적인 것을 모두 포괄하며, 논리적으로 일정한 규칙을 따르는 어떠한 구조라도 기술할 수 있고, XML을 이용함으로써 XML 파서에 XML-Data를 처리하는 능력이 포함되어 있다면 문서형 정의(DTD) 파서를 따로 만들 필요가 없다."
"XML 메타데이터 교환, -交換, XML Metadata Interchange, XMI",,"메타 모델 정의 언어(MOF)를 확장성 마크업 언어(XML) 기반으로 데이터 관리를 위한 객체 관리 그룹(OMG) 표준.구축된 모델이나 메타 모델들을 유용하게 사용하기 위해서는 툴과 툴 사이 혹은 툴과 저장 장소 사이에 이동이 가능해야 하는데, 이것을 객체 관리 그룹(OMG)에서 표준화한 것이다. XML 메타데이터 교환(XMI)는 문서형 정의(DTD)와 스키마를 통해 XML로 메타 모델과 모델의 표현(representation)을 표준화된다. XMI DTD와 스키마는 모델들에 대한 메타데이터가 된다. XMI는 XML의 태그가 MOF 기반의 모델을 XML로 표현하는데 어떻게 사용되는지를 정의한다. MOF 기반의 메타 모델은 XML DTD로 번역되며, 모델은 XML 문서로 번역된다. XMI는 객체 간의 관계를 나타내기 위해 태그 기반의 언어를 사용한다."
"XML 서명, -署名, XML Signature",,"확장성 마크업 언어(XML) 트랜잭션에 사용되는 디지털 서명 표준. 인증, 데이터 무결성, 부인 방지 등 기능을 지원하며 기본적인 특징은 전체 문서보다는 XML 부분의 특정 부분을 서명하는 것이다. 즉, 다수의 내용이 각각 따로 작성된 긴 문서의 경우 관련 부분에만 서명하는 것으로, 다른 부분의 변경 가능성을 놓아둔 채 XML 문서의 특정 부분에 대한 무결성을 확인하기 위함이다. 그리고 문자 코드화 데이터(HTML), 2진 코드화 데이터(JPG), XML 코드화 데이터 등 여러 형태의 자원을 다룰 수 있다."
"XML 토픽 맵, XML Topic Maps, XMT",,"토픽을 정의하기 위해 사용된 정보 자원 구조의 모델 및 방법과 토픽 관계를 정하는 확장성 마크업 언어(XML) 기반의 규격. 정보의 명칭, 자원 및 관계를 요약한 주제를 토픽이라 하고 토픽의 특성들로 구성된 문서를 토픽 맵이라 한다. 신속하고 정확한 정보 검색을 위해 웹 기반의 토픽 맵 요약 모델과 XML 방법을 기술한 것으로 ISO 13250과 같은 문서 형태를 사용한다."
