"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"사건 탐색 및 추적, 事件探索-追跡, Topic Detection and Tracking, TDT",,"전 세계 각 나라에서 매일 보도되고 있는 신문이나 방송 뉴스 기사에서 ""어떤 새로운 사건이 일어 났는가?""와 같이 그날 처음 발생한 사건, 또는 같은 사건을 다루는 기사들을 탐색하고, 예전에 발생한 사건과 관련된 사건인지를 추적해 나가는 기술. 일반 문서가 주제(subject)로 검색되는 데 반해 사건 기사(topic)는 특정 시간 및 장소가 명시된 사건(event)으로 검색되며 이러한 특성을 자동 분류 및 클러스터링 기법에 적용시켜 탐지하고, 추적한다."
"사고 상태, 事故狀態, outage",,동작 억제 또는 금지 상태(disable state)와 같은 의미.
"사내 표준, 社內標準, corporate standard, company standard",,어떤 기업 또는 회사가 사업상 필요에 의해서 임의로 또는 독자적으로 규정한 표준 규격. 사내 표준은 일반적으로 외부에는 크게 공개되지 않지만 사내에서는 준수되어야 한다. 이와 유사한 것으로는 사내 표준 실시 방법 또는 작업 방법(standard practices)이 있다. 미국의 AT&amp;T사는 전 사원이 AT&amp;T 표준 실시 방법을 엄격하게 준수하도록 한 것으로 잘 알려져 있다.
"사례 기반 추론, 事例基盤推論, Case Based Reasoning, CBR",,"문제와 해답 쌍(pair)의 형식으로 저장된 사례를 사용하여 문제를 해결하는 추론 방식. 해결하고자 하는 문제와 유사한 사례를 데이터베이스에서 검색, 그것을 수정하여 해답을 얻는다. 지식을 ‘IF-THEN’의 규칙 형식으로 기술하는 것이 곤란한 경우에 유효한 추론 방식으로 주목받고 있다. 전문가 시스템의 대부분은 규칙을 사용하여 추론하는 규칙 기반의 추론(rule-based reasoning)을 채용하고 있다. 이 방식은 대상이 되는 문제에 관한 전문가와 상의하여 규칙을 추출하는 작업을 필요로 한다. 사례 기반의 추론(CBR)을 사용하면 규칙을 작성하는 대신에 사례를 수집하여 데이터베이스에 저장하면 된다. CBR를 실행하는 데 문제가 되는 것은 유사도(類似度)의 정의와 얻어진 유사한 사례의 해답을 목적하는 문제에 맞추기 위한 수정 방법인데, 범용적인 방법은 없기 때문에 개발하는 시스템에 따라 결정하지 않으면 안 된다."
"사무량 측정법, 事務量測定法, office work-measurement",,"사무 분석 중에서 조직 분석의 계열에 속하는 것으로서, 사무의 낭비나 무리를 삭제하고 합리화를 도모할 때에 이용되는 방법. 구체적으로는 각 기업이 매일 이용하고 있는 장표류의 취급 처리 건수나 각 장표에 기입되어 있는 자릿수, 자수의 총량과 처리 시간 등을 대상으로 한다."
"사무 문서 교환 형식, 事務文書交換形式, Office Document Interchange Format, ODIF",,"이기종 간에 문자, 도형, 화상 등이 혼재한 멀티미디어 문서를 교환하기 위한 문서의 논리 구조, 구조 요소를 부호화 데이터로 표현한 형식의 표준 규격. 개방형 시스템 간 상호 접속(OSI)의 표준화를 추진하는 유럽 표준 진흥과 응용 그룹(SPAG)에서 정한 것을 바탕으로 국제 표준화 기구(ISO)와 ITU-T에서 개방형 문서 교환 서식(ODIF)이라는 명칭으로 국제 표준화하였다. 이것 역시 SPAG에서 정한 사무 문서 체계(ODA)를 기반으로 하는 문서 교환 형식이기 때문에 ODA/ODIF라고도 한다."
"사무 문서 체계, 事務文書體系, Office Document Architecture, ODA",,"이기종 간에 문자, 도형, 화상 등이 혼재한 멀티미디어 문서를 교환하기 위한 문서 체계와 인터페이스의 표준 규격. 편집 처리에 적합한 논리 구조, 표시에 적합한 배치 구조, 효율적인 축적과 전송을 위한 인터페이스 등 각 요소를 상세하게 규정한다. 개방형 시스템 간 상호 접속(OSI)의 표준화를 추진하는 유럽 표준 진흥과 응용 그룹(SPAG)에서 정하여 유럽에 보급시킨 것을 바탕으로 국제 표준화 기구(ISO)와 ITU-T에서 개방형 문서 체계(ODA: open document architecture)라는 명칭으로 표준화하였다."
"사무 시스템, 事務 -, Office System, OS",,"문서의 작성, 편집, 정보의 데이터베이스화에 의한 보존, 검색, 문서화와 같은 각종 기능을 갖는 시스템."
"사무용 도형 처리, 事務用圖形處理, business graphics",,"수치 정보를 도표와 같은 형태로 표현하는 것. 예를 들어 선 그래프(line graphs), 바 차트(bar charts), 파이 차트(pie charts) 등이 있다."
"사무용 소프트웨어, 事務用-, office software",,"문서 처리기나 표 계산 소프트웨어(spreadsheet software) 등 비즈니스에서 이용하는 소프트웨어를 설정한 패키지 제품. 미국에서는 슈트(suit) 패키지라 부른다. 각 소프트웨어는 별도로 구입하게 되는데, 메뉴 구성이나 화면 설계 등이 통일되어 있으므로 활용법 습득이 빠르다는 것이 장점이다. 마이크로소프트사의 ‘office 97’과 로터스의 ‘super office 97’ 등이 보급되어 있는데, 이들은 문서 처리 소프트웨어 및 표 계산 소프트웨어 등이 보편화되어 널리 알려져 있으며 문서 관리 소프트웨어 및 인터넷 소프트웨어 등 종류와 기능이 다양하다."
