word,synonym,description
"차단 계전기, 遮斷繼電器, cut-off relay",,평상 전화 회로의 통화선에 병렬로 접속되어 있는 선로 계전기나 신호 수신 계전기 등의 회로를 필요에 따라 절단하는 계전기.
"차단 속도, 遮斷速度, breaking speed",,차단 장치를 차단할 때 가동 아크 접촉자의 이동 속도. 가동 접촉자가 떨어진 후 전 이동 거리의 90%에 이르기까지의 평균 속도를 일컫는 경우가 많다.
"차단 용량, 遮斷容量, breaking capacity",,"규정된 사용 전압, 회로 조건, 동작 역할 등에 따라 장치를 안정하게 차단할 수 있는 차단 전류의 한도를 표시하는 전류값, 또는 이 전류값과 사용 전압과의 곱( V*I ). 3상의 경우에는  * V*I. kVA 또는 MVA로 표시한다."
"차단자 태그, 遮斷者-, Blocker Tag",,전파 식별(RFID)에 저장된 정보 접근을 선택적으로 차단하는 보안 기술. RFID 태그 위에 차단자 태그를 붙이는 형태로 RFID 리더를 혼란시켜 태그의 데이터 송신을 무효화함으로써 개인이나 상품에 관련된 데이터를 추적할 수 없게 하는 기술이다. 그러나 부피가 커지고 비용도 증가한다는 단점이 있다.
"차단 전류, 遮斷電流, breaking current",,차단기의 차단 동작 중에 그 각 극을 흐르는 전류. 발호 순시(發呼瞬時) 값으로 표시한다.
"차단 주파수, 遮斷周波數, cut-off frequency",,①필터 디바이스 등의 주파수 특성이 기준 주파수에 대한 값에 대하여 정해진 값만큼 저하시킨 값의 주파수. 이득이 기준 주파수에 대한 값보다 3dB 저하하는 주파수 등이 있다. ②(전류 증폭률의) 크기가 저주파역의 값보다 3dB 저하하는 점의 주파수. ③(전리층의) 두 지점 간의 통신에 전리층파를 이용할 때 아래쪽에 있는 다른 전리층을 뚫는 데 필요한 최저의 주파수.
"차단 주파수 이하 도파관, 遮斷周波數以下導波管, Waveguide Below Cutoff, WBC",,"차단 주파수 이하의 주파수에서 전자파를 감쇠시킬 목적으로 사용하는 금속 도파관. 차단 주파수는 도파관의 단면 크기와 구조적 형상 그리고 도파관 내부 유전체 재료(dielectric material)의 물성에 따라서 결정된다. 도파관(waveguide)은 보통 차단 주파수 이상에서 전자파가 잘 전달되도록 설계한 RF 부품이다. 그러나 차단 주파수 이하 도파관(WBC: Waveguide below cutoff)은 차단 주파수 이하에서는 전자파가 전달되지 않는 특성을 이용하여 위협이 되는 복사성 전자파는 차단시키고 공기나 물, 광케이블 등은 차폐 구조물 내로 관통하는 데 사용한다.이러한 목적을 위해 WBC의 단면 구조를 조정하여 위협이 되는 고출력 전자파의 최대 주파수보다 차단 주파수를 높게 설계하고, WBC의 길이를 조정하여 차단 주파수 이하에서의 전자파 감쇠 정도를 요구수준까지 확보할 수 있다. WBC의 차단 주파수는 단면 구조에 따라 다르다.단면이 원형인 도파관(round waveguide)의 차단 주파수는 &nbsp;, 단면이 직사각형인 도파관(rectangular waveguide)의 차단 주파수는 &nbsp;로 구한다.여기서 c는 자유공간에서의 빛의 속도(3×108 m/s)이고, d는 도파관 단면의 최대 선형 길이(원형 도파관은 직경(d), 직사각형 도파관은 대각선 길이(l))이다.그리고 WBC의 차단 주파수 이하에서 전자파 감쇠는 도파관 단면 구조와 길이에 따라 달라진다. 원형 도파관(round waveguide)의 감쇠 효과는 32 t/d [dB], 직사각형 도파관(rectangular waveguide)은 27.2 t/l [dB]로 결정한다. 여기서 t는 WBC 두께이다. 도파관의 길이가 직경의 3배이면 약 100 dB 정도의 전자파 감쇠가 발생한다.대표적인 WBC 구조로 사용되는 구조는 허니컴(Honeycomb) 구조이다. 허니컴 구조는 단면의 육각 형태인 WBC 구조가 주기적으로 배열된 형태이다. 이 구조의 차단 주파수와 전자파 감쇠 효과는 단위 WBC 구조로 결정되며, 허니컴 전체 구조의 감쇠 특성은 WBC 단위 구명 개수의 제곱근에 반비례하여 결정되며 &nbsp;[dB]로 구한다. 즉, 허니컴을 구성하는 단위 WBC가 많을수록 감쇠 특성은 줄어든다. 또한 차폐 구조물에 장착할 때에는 허니컴 패널의 전체 둘레가 함체의 금속 구조물에 전기적으로 접촉되도록 해야 한다.* 참고문헌- C.R. Paul, Introduction to EMC, Wiley- MIL-STD-188-125-1/2&nbsp;&lt;허니컴(honeycomb) 구조를 갖는 WBC&gt;"
"차단 파장, 遮斷波長, cut-off wave-length",,"도파관 내에 마이크로파가 전송되는 경우, 임의의 자유 공간 파장보다 긴 파장의 파가 차단되어 전혀 전송되지 않는 그 임계 파장. 대체로 도파관은 고역 필터의 성질이 있어 그 차단 파장은 도파관의 단면 형상이나 치수에 대하여 전송파의 모드에 따라 결정된다."
"차단 효과, 遮蔽效果, screening effect",,송전선이나 교류 전기 철도의 전차선 등의 유도 발생원과 통신선 사이에 접지 도체(차폐 도체)를 놓아 통신선에 인가되는 유도 전압을 감소시키는 것. 이 접지 도체가 있을 경우의 유도 전압 V와 없을 경우의 유도 전압 V′와의 비 K＝V/V′를 차폐 계수라고 한다. K는 0≤K≤1로서 0에 가까울수록 차폐 효과가 크다는 것을 나타낸다.
"차동 감도, 差動感度, differential sensitivity",,전송 불능일 때 송수신 경로에 가해지는 시험 신호 간의 상대 레벨값. 기호 단위는 dB로 표시된다.
"차동 반향 억압기, 差動反響抑壓器, differential echo suppressor",,통신 장애가 일어나지 않게 하기 위해 두 통화로상의 상호 간 레벨 차이에 따라 그 동작이 제어되는 반향 억압기(echo supressor). &nbsp;
