word,synonym,description
"나기오스, Nagios",,"네트워크 문제를 감시하는 오픈소스 프로그램. 전체 네트워크에서 시스템이나 자원 상태에 대한 정보를 화면에 보여 주고 문제가 발생하면 경보 메시지를 전송하는 것으로, 로드 평균, 디스크 공간 등과 같은 시스템 관련 수치, HTTP, SMTP, POP3 등과 같은 주요 서비스 사용 가능 여부, 호스트에 접근 가능한 네트워크와 호스트에서 접근 가능한 네트워크 등을 감시한다. 또한 발생한 문제는 다양한 통신 방법(이메일, 유닉스 메시지, 호출기 등)을 통해서 경보 메시지를 전달하게 할 수 있고, 정보가 자동으로 웹 페이지에 표시되기 때문에 시스템 관리자는 네트워크 어디에서나 네트워크 상태 정보를 확인해 볼 수 있다"
"나노, nano",,"n으로 단위를 표시히는 십억 분의 1(10-9)을 나타내는 단위. 일반적으로는 초미세의 길이 단위[nm]로서 10억 분의 1m를 의미하는데 이는 보통 사람 머리카락의 약 8만분의 1, 또는 원소 가운데 가장 작은 수소 원자를 10개 정도 나란히 배열한 정도의 길이다. 나노 기술이란 이러한 나노 범위 즉 1nm에서 100nm 범위 안에서 나타나는 새로운 물리적, 화학적 현상과 특성을 이용하는 기술이며, 양자 역학이란 새로운 물리 법칙 아래 물질의 분자 혹은 원자 수준을 조절하는 초미세 극한 기술이다."
"나노 공정, -工程, nano process",,"일반적으로 반도체의 회로 선폭을 100nm 이하로 생산하는 반도체 공정. 현재 개발된 반도체 중 가장 작은 회로 선폭을 갖고 있는 것은 40나노 낸드 플래시며, 중앙 처리 장치(CPU)를 비롯한 시스템 반도체는 65nm 제품까지 출시되어 있다. 1nm는 1/10억m이다."
"나노 기기, -器機, nanomachine, nanite",,"10억 분의 1m 단위의 크기를 가진 기계적 혹은 전기 기계적 장치. 화학 물질에서 특수 분자 숫자를 세는 약 1.5 나노미터 스위치를 가진 센서, 피 속에서 병원체와 독소를 구별해내는 의료 기술, 주변 환경에서 유독성 화학 물질의 검출과 농도 측정 등에 사용된다. 나노 기기의 크기가 작아질수록 동작 속도가 빨라지고, 스스로 복제하거나 대형 기기 혹은 나노 칩을 만들기 위한 프로그램이 가능하다. 나노 로봇이라 부르는 특수 제작된 나노 기기는 병의 진단뿐만 아니라 치료도 하며 박테리아와 바이러스의 침입을 찾아내어 공격을 하기도 한다."
"나노 기술, -技術, Nano Technology, NT",,"나노스케일 즉 수nm에서 100nm 범위 내에서 나타나는 새로운 물리적 화학적 현상 및 특성을 연구하고 이용하는 기술. 양자역학이란 새로운 물리법칙 아래 물질의 분자 혹은 원자 수준을 조절하는 초미세 극한 기술로서 물질 내부의 전자가 갖는 에너지가 기존 물질과는 판이하게 다르고, 같은 물질이라도 촉매활성, 자기 특성, 광학 및 전자 특성 등에서 전혀 예기치 못한 성질이 나타나기 때문에 나노스케일에서의 물질을 제어하게 되면 이는 곧 엄청난 기술혁신으로 이어질 것으로 예측된다. 나노의 세계를 처음으로 제시한 사람은 1959년에 노벨물리학상을 받은 리처드 파인만 (Richard Phillips Feynman; 1918-1988)이다."
"나노 라디오, Nano Radio",,나노미터(nm) 크기의 무선 송신기 또는 수신기. 나노 라디오는 나노 크기의 라디오를 의미하지만 일반적으로는 탄소 나노튜브의 전자기파에 따른 진동 특성을 이용해 만든 라디오를 말한다. 저전력 휴대 전화 생산뿐만 아니라 인체 내의 극소형 기기 간의 통신을 가능하게 함으로써 미래 의학 분야에도 적용이 가능하다.
"나노메커트로닉스, nanomechatronics",,"메커트로닉스 기술의 근간을 이루는 기계·전자 공학과 나노 과학의 융합기술로 나노 소자나 제품을 생산할 수 있는 100~10nm급 나노 공정 기술과 장비 기술. 물질이 새로운 물리적·화학적 기능을 가지도록 나노 크기로 미세 가공하거나 나노 크기의 물질을 효율적으로 이용해 현재보다 성능이 휠씬 뛰어나거나 새로운 성능을 갖는 제품을 만드는 등 나노 단위에 이르는 극미세 산업용 부품을 제조하기 위한 공정 기술, 공정 장비 개발과 공정 관련 해석·설계·제어·측정 기술 등이 이에 해당한다. 나노메커트로닉스 기술 개발은 나노 기술의 발달과 더불어 국제 경쟁이 더욱 치열해지고 있는 생명 과학, 광전자 기술, 전자 공학, 마이크로 시스템 기술 등 많은 분야에서 생존하기 위한 필수적인 전제 조건으로 꼽힌다."
"나노물체, -物體, Nano-object",,"물체를 형성하는 나노입자, 나노섬유, 나노판으로 분류되는 3차원원의 치수 중 하나 이상이 나노 크기에 해당하는 물질. 형태에 따라 나노입자, 나노섬유, 나노판으로 분류된다. 나노입자는 3차원 외형이 모두 나노 크기인 물체를, 나노판은 3차원의 치수 중 하나만 나노이고 나머지는 나노 보다 큰 경우를 말하며, 나노섬유는 3차원 외형치수 중 둘은 비슷하지만 나머지는 상당히 큰 물체로 정의한다. 또한 나노섬유는 나노선, 나노튜브, 나노막대의 개념을 포함한다. 나노튜브는 속이 빈 나노섬유를, 나노막대는 속이 찬 나노섬유를 의미한다."
"나노 바이오센서, Nano-Biosensor",,"정보 기술(IT), 나노 기술(NT), 생명 공학 기술(BT)을 융합한 u-헬스케어의 핵심 기반 기술. 바이오센서와 모바일 기기, 통신 네트워크를 이용해 시간과 장소에 관계없이 당뇨와 간 수치를 진단하고 질병을 예방하는 것이 1세대 또는 2세대 u-헬스케어에 속하는 기술이라면 나노 바이오센서 기술은 대부분의 건강 정보가 담겨 있는 혈액을 채취해 실시간으로 심근경색 등의 질환을 검사하고 조기에 예방할 수 있는 3세대 u-헬스케어 기술이다."
"나노 발전기, -發電機, Nanogenerator",,"사용자 발전(UCP) 기술을 이용한 초소형 발전기. 얇고 잘 휘어지는 폴리머 기판에 산화아연 소재의 나노 와이어를 붙인 구조로 나노 발전기를 부착한 생물체가 움직일 때마다 와이어가 이리저리 구부러지면서 전류가 흐른다.&nbsp;착용 컴퓨터(wearable computer), 휴대 기기, 특히 산화아연 소재를 사용하는 나노 발전기는 몸속에 들어가서 활동하는 초소형 장치에 활용된다."
