word,synonym,description
"카노 모델, Kano Model",,"일본 도쿄 리카대학 카노 노리아키 교수가 고객 만족과 품질의 상관관계를 보여주려고 제시한 이론. 카노 모델에서 품질은 크게 세 가지로 구분된다. 첫째는 자동차 핸들이나 바퀴처럼 기능이 없으면 제품 가치 자체가 사라지는 당연 품질(Must-Be Quality), 둘째는 충족되면 좋고, 없으면 불만이 생기는 요소가 1차원적 품질(One-Dimensional Quality)로 자동차에서 연비, 승차감 따위가 여기에 포함된다. 셋째는 없어도 괜찮지만 충족되는 경우 엄청난 만족을 주는 매력적 품질(Attractive Quality)로 자동차 에어백과 내비게이션 들이 여기에 해당한다."
"카 대역, -帶域, Ka band","동의어 : Ka 밴드, 케이에이 밴드","미국 전기전자학회(IEEE)에서 정한 26.5 ㎓부터 40 ㎓까지의 주파수 대역 명칭.Ka 대역은 ‘K 대역보다 높은(K-above)’이라는 의미이다. Ka 대역은 파장이 1.11 ㎝ ~ 7.5 ㎜로 짧아 비나 구름, 그리고 강우로 인한 감쇠가 많다. 과거에는 군사 용도로 사용되었으나 상업용으로 사용이 점차 늘어났다. 무궁화 5호 위성에는 군사용으로 12기를, 무궁화 7호 위성에는 통신용으로 3기를 탐재하고 있다.5세대(5G) 이동 통신의 탄생과 함께 유럽우편전기통신주관청회의(CEPT)에서는 Ka 대역의 24.25 ~ 27.5 ㎓ 대역을 유럽의 IMT-2020 용도로 정했고, 우리나라를 포함하여 일본과 미국 등은 28 ㎓ 대역을 IMT-2020 용도로 분배하였다. 우리나라에서는 2018년에 이동통신사에 26.5 ~ 28.9 ㎓ 대역을 5G 이동 통신 용도로 경매하였다.   [참고] 주파수 대역 표기법 표준은 1979년 IEEE에서 최초로 제정하였고, 1984년도에 개정하였다. 현재는 최신 표준으로 IEEE 521-2002가 사용된다.  * IEEE 521-2002, IEEE Standard Letter Designations for Radar-Frequency Bands IEEE 표준에서 정하는 주파수 대역으로 HF, VHF, UHF, L, S, C, X, Ku, K, Ka, V, W, mm가 있다. [단위: GHz] &nbsp;HFVHF&nbsp;&nbsp;UHF&nbsp;L&nbsp;S&nbsp;C&nbsp;X&nbsp;Ku&nbsp;K&nbsp;Ka&nbsp;V&nbsp;W&nbsp;mm&nbsp;0.003 ~ 0.03&nbsp;0.03 ~0.3&nbsp;0.3~1&nbsp;1~2&nbsp;2~44~88~12&nbsp;&nbsp;12~1818~26.5&nbsp;26.5~40&nbsp;40~75&nbsp;75~110&nbsp;110~300 * 국제전기통신연합(ITU)는 주파수 대역을 ELF(3~30 Hz), SLF(30 ~ 300 Hz), ULF(300 ~ 3,000 Hz), VLF(3 ~ 30 kHz), LF(30 ~ 300 kHz), MF(300 ~ 3,000 kHz), HF(3 ~ 30 MHz), VHF(30 ~ 300 MHz), UHF(300 ~ 3,000 MHz, SHF(3 ~ 30 GHz, EHF(30 ~ 300 GHz), THF(300 GHz ~ 3 THz)로 표기한다. 그리고 유럽(EU), 북대서양 조약 기구(NATO)는 A(0~0.25 GHz), B(0.25~0.5 GHz), C(0.5 ~1.0 GHz), D(1~2GHz), E(2~3GHz), F(3~4GHz), G(4~6GHz), H(6~8GHz), I(8~10GHz), J(10~20GHz), K(20~40GHz), L(40~60GHz), M(60~100GHz) 대역(band)으로 표기한다."
"카드, card",,"카드 모양으로 된 정보 매체. 카드 매체라고도 한다. 가장 오래된 것으로는 천공 카드 시스템에서 데이터의 입출력 매체나 기억 매체로 사용되던 딱딱한 종이로 된 천공 카드가 있다. 현재는 휴대하면서 사용할 수 있는 정보 매체로서, 특히 신용 카드 정도 크기(54×86mm)의 플라스틱 카드를 말한다. 카드에는 기억 기능이 중요시되는 메모리 카드와 신분 증명서, 인감, 통장과 같이 식별 기능이 중요시되는 식별 카드(identification)의 2종류가 있다. 메모리 카드는 소형 휴대형 컴퓨터의 기억 용량과 같은 기능을 확장하기 위해 사용되는 하나의 인쇄 회로 기판 또는 어댑터라고 할 수 있는데, 흔히 확장 카드(expansion card)라고 부른다. 카드는 두께에 따라 얇은 형 카드(0.76mm 또는 그 이하)와 두꺼운 형 카드(2~8mm)로 분류된다. 또한 기억 방식, 기억 용량, 재기록형, 추기형 등에 따라 여러 가지 종류가 있다. 대표적인 카드 매체를 비교하면 표와 같다."
"카드 게이트, card gate",,"건물이나 방으로 들어가려는 사람의 신분을 조사하여, 들어갈 수 있는 조건을 갖춘 사람을 관리하는 시스템. 검사 매체로 자기 카드 등을 사용하기 때문에 카드 게이트라고 한다."
"카드 대 카드, -對-, card-to-card",,데이터 전송에서 카드에 기록된 데이터를 다른 카드에 기록하는 원격 단말기로 전송하는 작용.
"카드 대 테이프, -對-, card-to-tape",,①카드에 기록된 데이터를 카드-테이프 변환기로 종이 테이프에 변환시키는 작용. ②카드에 기록된 데이터를 특별한 프로그램으로 컴퓨터의 자기 테이프에 옮기는 루틴. 이러한 프로그램은 데이터를 복사할 때 내용을 편집하고 검증할 수도 있다.
"카드 명세표 발행기, -明細表發行機, Card Reader/Writer/Imprinter/Printer, CIP",,"현금 자동 지급기(CD)나 자동 예금기(AD)에서 자기 카드의 읽기, 기록이나 영수증 또는 기록 용지의 인쇄, 자기 카드의 양각(陽刻)의 전사(轉寫) 등의 기능을 가진 장치."
"카드뮴 전극, -電極, cadmium electrode",,납축전지의 전극 상태를 조사하기 위해 카드뮴 조각을 사용한 보조 전극.
"카드뮴텔루라이드 박막 태양전지, -薄膜太陽電池, Cadmium Telluride thin-film solar cell, CdTe thin-film solar cell",,"카드뮴 텔루라이드(CdTe) 화합물로 만든 박막형 태양 전지. 제조 비용이 저렴하다는 장점이 있으나, 카드뮴은 희소 원료로 태양 전지를 대량 생산하는 것이 곤란하며, 공해를 유발하는 문제점을 안고 있다."
"카드보드 효과, -效果, Cardboard effect",,피사체 간의 앞뒤 위치는 제대로 표현되지만 부피감은 표현되지 못하여 여러 겹의 도화지(cardboard)에 그린 그림처럼 보이는 현상. 주로 망원 렌즈로 촬영할 때 발생한다.
