제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
"스마트관광 경쟁력 강화를 위한 스마트관광 만족 결정요인에 관한 연구 -스마트관광도시, 서울을 사례로- = A study of the Antecedents of Smart Tourism Satisfaction for Improving Smart Tourism Competitiveness: The Case of Seoul as a Smart Tourism City","이선영,정남호,구철모",한국관광학회,관광학연구,"Vol.42No.5[2018]
",2018,Korean,"스마트관광,스마트관광 정보기술,스마트도시,스마트관광 경쟁력,Smart tourism,Smart tourism technology,Smart city,Smart tourism competitiveness",,KCI우수등재,"학술저널
",http://www.tosok.org/,151-169,3.0,,, KCI,,"스마트관광은 관광과 정보통신기술의 결합으로 인해 야기되는 관광객의 행동, 관광생태계의 변화, 고객성과 등을 모두 포함하는 중요한 개념으로 인식되고 있다. 본 연구는 최근 큰 관심을 받고 있는 스마트관광도시의 고객만족성과에 영향을 미치는 선행요인을 살펴보고자 스마트관광 정보기술 속성, 관광도시의 관광상품 및 서비스의 지각된 품질, 스마트관광 만족 간 영향관계를 조사하였다. 구체적인 연구목적은 첫째, 스마트관광의 중요요소인 스마트관광 정보기술의 특성인 정보성, 접근성, 상호작용, 개인화가 관광목적지 속성인 숙박, 교통, 관광명소, 레스토랑, 스마트서비스의 지각된 품질에 어떠한 영향을 미치는지를 분석하였다. 둘째, 관광목적지 속성에 대한 지각된 품질이 스마트관광 만족성과에 미치는 영향을 조사하였다. 연구목적 달성을 위해 최근 1년 내에 서울관광을 다녀온 내국인 중 스마트관광 경험자를 대상으로 온라인 서베이 조사를 실시하였다. 연구결과, 스마트관광 정보기술  속성은 스마트관광도시 속성의 지각된 품질에 큰 영향을 미치는 것으로 나타났다. 또한 스마트관광도시 속성의 지각된 품질은 교통, 레스토랑을 제외하고 스마트관광 만족에 영향을 미치는 것으로 나타났다. 이러한 결과를 토대로 서울의 관광정보기술, 스마트관광도시 속성 등을 평가할 수 있으며, 나아가 주요 도시의 스마트관광 경쟁력을 비교해 볼 수 있다는 것을 시사한다.","Smart tourism, which results from the combination of tourism and information communication technology (ICT), is recognized as an important concept that includes tourist behavior, tourism ecosystems, and customer performance. This study investigates the antecedents affecting customer satisfaction with smart tourism, which have received considerable attention in recent years. Specifically, the purpose of this study is to explore the relationships between smart tourism information technology attributes (informativeness, accessibility, interactivity, and personalization), the perceived quality of tourism destination attributes (5A's), and tourist satisfaction with smart tourism. A survey was conducted to Seoul tourists who had experienced smart tourism using information technology. The results of the analysis show that the smart tourism information technology attributes had significant effects on the perceived quality of tourism destination attributes and tourist satisfaction with smart tourism. Based on this study, we examined the smart tourism information technology and smart destination attributes of Seoul as a smart tourism destination and tried to analyze the smart tourism competitiveness of major cities in the world.",
"스마트관광 경쟁력 강화를 위한 스마트관광 만족 결정요인에 관한 연구 - 스마트관광도시, 서울을 사례로 - = A study of the Antecedents of Smart Tourism Satisfaction for Improving Smart Tourism Competitiveness: The Case of Seoul as a Smart Tourism City","이선영 ( Hlee Sunyoung ), 정남호 ( Chung Namho ), 구철모 ( Koo Chulmo )",한국관광학회,관광학연구,"Vol.42No.5[2018]
",2018,Korean,"스마트관광, 스마트관광 정보기술, 스마트도시, 스마트관광 경쟁력, Smart tourism, Smart tourism technology, Smart city, Smart tourism competitiveness",,KCI우수등재,"학술저널
",http://www.tosok.org/,151-170,3.0,,, KISS,,"스마트관광은 관광과 정보통신기술의 결합으로 인해 야기되는 관광객의 행동, 관광생태계의 변화, 고객성과 등을 모두 포함하는 중요한 개념으로 인식되고 있다. 본 연구는 최근 큰 관심을 받고 있는 스마트관광도시의 고객만족성과에 영향을 미치는 선행요인을 살펴보고자 스마트관광 정보기술 속성, 관광도시의 관광상품 및 서비스의 지각된 품질, 스마트관광 만족 간 영향관계를 조사하였다. 구체적인 연구목적은 첫째, 스마트관광의 중요요소인 스마트관광 정보기술의 특성인 정보성, 접근성, 상호작용, 개인화가 관광목적지 속성인 숙박, 교통, 관광명소, 레스토랑, 스마트서비스의 지각된 품질에 어떠한 영향을 미치는지를 분석하였다. 둘째, 관광목적지 속성에 대한 지각된 품질이 스마트관광 만족성과에 미치는 영향을 조사하였다. 연구목적 달성을 위해 최근 1년 내에 서울관광을 다녀온 내국인 중 스마트관광 경험자를 대상으로 온라인 서베이 조사를 실시하였다. 연구결과, 스마트관광 정보기술 속성은 스마트관광도시 속성의 지각된 품질에 큰 영향을 미치는 것으로 나타났다. 또한 스마트관광도시 속성의 지각된 품질은 교통, 레스토랑을 제외하고 스마트관광 만족에 영향을 미치는 것으로 나타났다. 이러한 결과를 토대로 서울의 관광정보기술, 스마트관광도시 속성 등을 평가할 수 있으며, 나아가 주요 도시의 스마트관광 경쟁력을 비교해 볼수 있다는 것을 시사한다.","Smart tourism, which results from the combination of tourism and information communication technology (ICT), is recognized as an important concept that includes tourist behavior, tourism ecosystems, and customer performance. This study investigates the antecedents affecting customer satisfaction with smart tourism, which have received considerable attention in recent years. Specifically, the purpose of this study is to explore the relationships between smart tourism information technology attributes (informativeness, accessibility, interactivity, and personalization), the perceived quality of tourism destination attributes (5A's), and tourist satisfaction with smart tourism. A survey was conducted to Seoul tourists who had experienced smart tourism using information technology. The results of the analysis show that the smart tourism information technology attributes had significant effects on the perceived quality of tourism destination attributes and tourist satisfaction with smart tourism. Based on this study, we examined the smart tourism information technology and smart destination attributes of Seoul as a smart tourism destination and tried to analyze the smart tourism competitiveness of major cities in the world.",
실현율을 이용한 시나리오 기반 스마트관광도시 관광객 수요예측 = Scenario Based Forecasting Smart Tourism City’s Tourist Demand Using Feasibility Rates,"정희정,구철모,정남호",한국관광학회,관광학연구,"Vol.44No.7[2020]
",2020,Korean,"스마트관광도시,지역경제 활성화,수요예측,방문의사율,실현율,그루버지수,자기확신지수,Smart tourism city,Regional economic revitalization,Demand forecasting,Willing to visit,Feasibility rate,Gruber index,Self-confidence index",,KCI우수등재,"학술저널
",http://www.tosok.org/,163-179,0.0,,," KCI, &nbsp;&nbsp; KISS",남서울대학교 성암기념중앙도서관,"최근 고부가가치 산업인 스마트관광을 통해 지역경제를 활성화하고자 하는 지자체가 증가하고 있다. 뿐만 아니라, 연구자들 역시 스마트관광의 경제적 가치에 대해 논의하고 있지만 구체적인 자료를 제시하는 연구는 드물다. 따라서 이 연구는 지금까지 정립된 스마트관광의 개념 및 정의를 기반으로 스마트관광을 통한 관광객 수의 변화를 예측함으로써, 스마트관광이 갖는 경제적 가치에 대한 실증적 근거를 제시하고자 한다. 나아가, 스마트관광을 통한 지역경제 활성화를 도모하는 지자체에 구체적이고 객관적인 자료를 제시하는 데 그 목적이 있다. 이러한 연구목적을 달성하기 위해, 이 연구는 방문의사율과 실현율을 고려한 수요예측기법을 활용하였으며, 온라인 설문조사를 통해 데이터를 수집하였다. 구체적으로, 할당표본추출법을 통해 수도권에 거주하는 일반 성인을 대상으로 전주, 경주, 강릉에 스마트관광이 도입되면 대한 방문의사율에 대한 온라인 조사를 실시하였으며 분석결과, 기존의 관광도시였을 때보다 스마트관광도시일 경우 평균적으로 약 2배 정도의 관광객 수 증가가 예측되었다. 뿐만 아니라, 여성이 남성에 비해, 그리고 60대가 스마트관광 도시에 가장 높은 방문의향을 보이는 것으로 나타났으며, 기존도시일 때 보다 스마트관광도시일 때 방문의향이 더 높게 나타났다. 이러한 분석결과는 개념적으로만 논의되어왔던 스마트관광의 경제적 가치에 대한 실증적 근거로서, 이를 객관화하는데 기여했을 뿐만 아니라, 관광수요를 예측하는데 주로 게량기법이 적용되어 왔던 연구동향에 실현율을 이용한 시나리오 기법의 수요예측를 진행하였다는 점에서 연구의 범위를 확대하였다. 또한 이 연구는 추가분석을 통해 스마트관광에 대한 인구통계학적 특성에 기반한 구체적인 수요를 제시함으로써, 스마트관광을 통한 지역경제 활성화를 도모하는 지자체에 구체적인 기초자료를 제시하였다.","Recently, a growing number of local governments are seeking to invigorate the local economy through smart tourism, a high value-added industry. Thus, while many researchers discuss the economic value of smart tourism, there are few studies that present specific data. Therefore, the purpose of this study is to provide empirical basis for the economic value of smart tourism by predicting changes in the number of tourists through smart tourism. Furthermore, it aims to present specific and objective data to local governments that seek to revitalize the local economy through smart tourism. To achieve this research objective, this study utilized demand forecasting techniques that take into account visit intention and feasibility rates, and collected data through online surveys. Specifically, the study sampled the residents of metroplitan area through quota sampling and examined their respective willingness to visit Jeonju, Gyeongju, and Gangneung when they were traditional tourist cities and smart tourist cities.  The analysis shows that the average number of tourists in smart tourist cities is expected to increase twice as much. In addition, as a result of analyzing the differences in the willingness to visit between existing cities and smart tourism cities, women showed higher willingness to visit than men, and 60s showed the highest willingness to visit. These analysis results were not only empirical grounds for the economic value of smart tourism, which had been discussed only conceptually, but the study also presented basic data to local governments seeking to vitalize the local economy through smart tourism.",
스마트관광의 경제적 파급효과: 산업연관모델을 활용하여 = The economic impacts of smart tourism: analysis using an input-output model,"이현애,구철모,정남호",한국호텔관광학회,호텔관광연구(Journal of Hospitality and Tourism Studies),"Vol.22No.2[2020]
",2020,Korean,"스마트관광,스마트관광생태계,스마트관광도시,경제적 파급효과,산업연관모델,smart tourism,smart tourism ecosystem,smart tourism city,economic effect,input-output model",,KCI등재,"학술저널
",,1-12,0.0,,," KCI, &nbsp;&nbsp; DBpia",,"스마트관광의 시대가 도래함에 따라, 세계 유명 관광 도시들은 스마트 관광 도시를 표방하고 있다. 이러한 스마트관광도시는 효율적인 기술 적용과 활용을 통해 도시 운영 비용을 감소시킬 뿐만 아니라, 고급 일자리 창출, 관광 수익 및 세수 확보 등 막대한 경제적 이득을 창출한다. 그러나, 이러한 스마트관광의 경제적 파급효과를 실제 추정해보고자 한 연구는 아직 미비한 실정이다. 이에 본 연구는 산업연관분석과 전문가 델파이 조사를 토대로 스마트관광이 갖는 막대한 경제적 파급효과를 보다 객관적으로 추정하고자 하였다. 객관성을 최대화하기 위해 전문가들을 대상으로 한 델파이 조사를 실시하여 지역산업연관표 상에서 스마트관광의 범위를 설정하였으며, 실제 한국관광공사에서 추진할 예정인 스마트관광 관련 사업과 그 투자액을 기반으로 스마트관광의 경제적 파급효과를 추정하였다. 그 결과 스마트관광은 고소득, 고부가가치를 갖고 있으며, 일자리 창출과 세수확보에 크게 기여하는 것으로 나타났다. 또한, 한국관광공사에서 스마트관광에 150억 원을 투자할 경우, 생산파급효과는 약 5,088억 원, 소득파급효과는 약 1,144억 원, 부가가치파급효과는 약 2,465억 원, 간접세파급효과는 약 152억 원, 고용파급효과는 약 3,015명으로 추정되었다. 이 중 절반정도가 스마트관광의 제반분야에서 유발되는 것으로 나타나, 스마트관광을 단순히 정보통신기술과 관광의 결합이 아닌 다양한 산업들과의 결합이라는 생태계적 관점에서 이해하고 실현시켜야함을 시사한다.","With the advent of smart tourism, popular tourist cities have made their cities smarter. Smart tourism cities not only reduce city operating costs through efficient technology application and utilization, but also create enormous economic benefits, such as creating high-quality jobs and maximizing tourism and tax revenues. However, research focusing on estimating economic impacts of smart tourism to a city is embryonic. Therefore, this study aims to estimate economic effects of smart tourism. First, in order to maximize objectivity of the results, we used the delphi expert survey method. The experts were asked to select smart tourism-related industries in the regional inter-industry relation table. The scope of smart tourism was set up based on the results of delphi expert survey, and the economic effect of smart tourism was estimated based on the smart tourism-related projects and investments planned by the Korea Tourism Organization. As a result, smart tourism was found to have high income and high value added, and it has been shown to greatly contribute to job creation and tax revenue. In addition, smart tourism might generate approximately 580.8 billion KRW of output impact, 144.4 billion KRW of income impact, 244.5 billion KRW of value-added impact, 15.2 billion KRW of indirect tax impact, and 3,015 jobs. As about half of this economic effect was found to be generated from a peripheral field (neither the IT field nor the tourism field), this study suggests that smart tourism should be understood and realized from a perspective of a smart tourism ecosystem.",
"스마트관광 정보기술속성이 지각된 품질, 지각된 가치 및 장소애착에 미치는 영향에 관한 연구 = A Study on the Effect of the Attributes of Smart Tourism Information Technology on the Perceived Quality, Value and Place Attachment","윤성욱,김정수",동북아관광학회,동북아관광연구,"Vol.16No.2[2020]
",2020,Korean,"smart tourism information,information technology attribute,perceived tourism quality,perceived value,place attachment,스마트관광,정보기술 속성,지각된 품질,지각된 가치,장소애착",,KCI등재,"학술저널
",,123-143,2.0,,, KISS,,"본 연구는 스마트관광 정보기술 속성을 바탕으로 스마트관광 정보기술 속성이 관광지 선택에 있어서 관광소비자의 지각된 품질 및 가치에 미치는 영향요인과 소비자 지각의 상관관계가 관광소비자의 관광지에 대한 애착에 미치는 영향에 대해서 알아보고자 하였다. 선행연구를 바탕으로 9개의 가설을 설정하였고, 최근 1년 이내 국내여행지를 경험한 이용자 200명을 대상으로 설문을 실시하였다. 이 후 구조모형방정식을 이용하여 분석을 실시하였다. 연구결과, 스마트관광 정보기술속성의 정보성, 접근성, 개인화 요인 모두 지각된 품질에 유의한 영향을 미쳤으며, 지각된 가치에는 정보성은 채택되었으나, 접근성과 개인화는 기각되었다. 또한 지각된 품질은 지각된 가치에 직접적인 영향을 미치며, 지각된 품질과 지각된 가치 모두 장소애착에 긍정적인 영향을 미치는 것으로 나타났다.
이와 같은 결과를 통해 스마트관광 정보기술을 이용하여 여행지에서 경험한 지각된품질과 지각된 가치는 관광지에 대한 장소애착을 형성하게 된다는 것을 알 수 있었다.
또한 스마트관광 정보기술 속성에 미치는 요인들을 확인할 수 있었다. 본 연구는 스마트관광 정보기술 속성과 장소애착 사이에서 지각된 품질, 지각된 가치를 통해 매개효과를 검증하여 기존 스마트관광 정보기술 속성 연구에서 다루지 않은 정보기술속성요인들이 지각된 품질과 지각된 가치의 매개효과를 통해 종속변수인 장소애착에 대한영향관계를 밝혔다는 것에 의의가 있다. 마지막으로 본 연구의 결론을 토대로 시사점, 연구의 한계점 및 향후연구에 대한 제언을 제시하였다.","The purpose of this study is to investigate the effect of the correlation between the factors affecting the perceived quality and value of tourism consumers when choosing a travel destination and the consumer perception on tourists’ attachment to the destination based on the attributes of smart tourism information technology. Nine hypotheses were established on the basis of previous studies, and a survey was conducted with 200 users who travelled to travel destinations in Korea within the last year. The results were analyzed using the Structural Equation Modeling. As a result, all the factors of the attributes of smart tourism information technology, including informativeness, accessibility, and personalization, had significant effects on the perceived quality. As for the perceived value, informativeness was adopted, while accessibility and personalization were rejected. It was also revealed that the perceived quality had a direct effect on the perceived value, and both the perceived quality value showed a positive effect on place attachment. Based on the results, it was found that the perceived quality and value experienced in a travel destination using smart tourism information technology create place attachment to the tourist destination. This study has significance in revealing the effects of the factors of information technology attributes on a dependent variable, place attachment, through the mediating effect of perceived quality and perceived value, which has not been dealt with in the existing research on the attributes of smart tourism information technology. Finally, this study presented implications, limitations of the research, and suggestions for future studies based on the conclusion.",
스마트 관광객의 관광경험 및 자서전적 기억이 관광지 이미지 형성에 미치는 영향: 체험경제 관점을 중심으로 = The effects of smart tourism experience and autobiographical memory on the formation of tourism destination image: focusing on the experience economy perspective,"정희정,정남호,양성병",한국호텔관광학회,호텔관광연구(Journal of Hospitality and Tourism Studies),"Vol.21No.2[2019]
",2019,Korean,"스마트관광,스마트 관광객,체험경제,관광경험,자서전적 기억,관광지 이미지,smart tourism,smart tourist,experience economy,tourism experience,autobiographical memory,tourism destination image",,KCI등재,"학술저널
",,1-15,0.0,,," KCI, &nbsp;&nbsp; DBpia",,"관광객의 경험은 현지에서의 경험이 종료되었다 하더라도 관광객의 기억으로 저장되며, 기억으로 저장된 경험은 관광목적지의 사후 이미지를 형성하는데 중요한 역할을 한다. 본 연구는 체험경제의 관점에서 관광경험의 다양한 체험영역(예: 교육적, 오락적, 도피적, 심미적 경험)이 관광객의 자서전적 기억(예: 기억의 정도와 생생함)으로 전환되고, 나아가 관광목적지 이미지 형성에 어떠한 영향을 미치는지 살펴보고자 한다. 이러한 연구목적을 달성하기 위해 본 연구는 스마트 기기를 통해 소셜네트워킹 사이트에 자신의 관광경험을 기록하여 보다 생생한 관광경험을 기억할 것으로 기대되는 스마트 관광객을 대상으로 온라인 설문조사를 실시하였다. 본 연구는 총 192개의 유효한 표본을 수집하여 분석에 활용하였고, 분석결과 관광객의 다양한 경험이 기억의 정도와 생생함에 유의미한 영향을 미치는 것을 발견하였다. 게다가, 관광객의 자서전적 기억의 정도는 인지적 이미지와 정서적 이미지 모두에 유의미한 영향을 미치지만 , 관광객의 감각적 경험을 의미하는 기억의 생생함은 인지적 이미지에만 유의한 영향을 미치는 것으로 나타났다. 이러한 결과를 토대로, 본 연구는 아직은 연구가 활발히 이루어지지 않은 여행 후 단계에서 관광 목적지 이미지 형성 메커니즘에 대한 이해를 확대하였다. 또한 관광목적지 마케터가 긍정적인  이미지를 확산시키는데 실무적인 가이드라인을 제공하였다.","Since the experience ending at the tourism destination is stored in the memories of tourists, tourist’s memory plays an important role in shaping the post-hoc image of the tourism destination. The purpose of this study is to examine how the various experiential areas of tourism experience (i.e., educational, entertainment, escapist, and esthetic experiences) are transformed into tourist’s autobiographical memories (i.e., recollection and vividness), which in turn leads to the formation of tourism destination images (i.e., cognitive, affective, and conative images) from the perspective of the experience economy. To achieve this goal, an online survey was conducted for smart tourists who are expected to have more vivid tourism-related memories due to their tendency to record tourism experiences in social networking sites with smart devices. As a result of the empirical analysis of 192 smart tourists, it was found that tourist’s diverse experiences have a significant impact on both recollection and vividness. Moreover, recollection has a significant effect on both cognitive and affective images, whereas vividness, indicating the memory of tourist’s sensory experience, has a significant effect only on cognitive image. Based on these results, this study would expand the understanding of the mechanism of tourism destination image formation at the post-trip stage, which has been rarely studied. It would also provide practical guidelines for tourism destination marketers to proliferate positive tourism destination images.",
스마트폰 관광안내정보 서비스 품질평가 및 속성분류 연구 = A Study on Service Quality Evaluation and Attribute Classification of Tourism Information Service by Smart Phone,신영기 ( Shin Young-kee ),한국관광학회,관광학연구,"Vol.41No.1[2017]
",2017,Korean,"Kano 모델, 스마트폰 서비스, 정보서비스 성공 모델, Kano model, Smart phone service, IS success model",,KCI우수등재,"학술저널
",http://www.tosok.org/,223-239,5.0,,, KISS,,"스마트폰 관광안내정보 서비스는 모바일 관광안내정보 서비스와 관광안내정보 애플리케이션 서비스를 포함하는 개념으로 스마트폰의 급속한 보급에 따라 관광안내정보 제공매체로써 그 중요성이 날로 커지고 있다. 본 연구는 스마트폰 관광안내정보 서비스에 대한 품질 평가를 위해 선행 연구를 분석하여 정보품질, 시스템품질, 서비스품질, 오락품질을 영향변수로 설정하고 이용만족에 미치는 영향에 대해 확인하였고, 분석결과 정보품질, 시스템품질, 서비스품질, 오락품질은 모두 이용만족에 영향을 미치는 것으로 확인되었다. 또한 품질의 이원적 인식방법을 적용하여 품질요인들의 개별 속성들이 만족ㆍ불만족이라는 주관적 측면과 물리적 충족ㆍ불충족이라는 객관적 측면으로 분석될 수 있도록 Kano 모형을 적용하여 분석하였다. 이를 통해 향후 지속적으로 개발될 스마트폰 관광안내정보 서비스의 품질 기준선(quality baseline)을 설정하고, 보다 발전된 서비스를 제공할 수 있도록 이용자 측면의 개발 가이드(development guide)를 제공했다는데 본 연구의 의의가 있다.","As a concept including the mobile tourism information service and also the tourism information application service, Smart Phone Tourism Information Service is gradually being emphasized as a medium to provide tourism information. This is in accordance with the rapid spread of smart phones. In order to accomplish quality evaluation of Smart Phone Tourism Information Service, this study set up information quality, system quality, service quality, and entertainment quality as influence factors and also verified their influence on user satisfaction by analyzing preceding research. Results of this analysis all show that information quality, system quality, service quality, and entertainment quality influenced user satisfaction. Also, applying the dual cognition of quality, the Kano Model was applied to analyze individual attributes of quality factors according to the subjective aspect (satisfaction/dissatisfaction) and the objective aspect (physical satisfaction/dissatisfaction). The goal of this study is to provide a development guide for the purpose of users to set up a quality baseline of smart phone tourism information service that can be continuously developed in the future, and also to provide better service.",
의료관광 및 활성화 방안에 대한 스마트의료기기 제조업체 종사자들의 인식연구 : 부산지역을 중심으로 = The Strategy and Knowledge of Medical-device Manufacturing Firms Employees about Medical Tourism focus on Busan Region,"손경희,이은연",동북아관광학회,동북아관광연구,"Vol.8No.4[2012]
",2012,Korean,"의료관광,스마트의료기기,종사자,부산지역,medical tourism,smart medical devices,employees,Busan region",326.39,KCI등재후보,"학술저널
",,225-238,,,," eArticle, &nbsp;&nbsp; KISS",,"본 연구는 부산지역의 의료관광 활성화 방안을 제시하고자 제품에 IT가 접목되어 있는 스마트의료기기 제조업체 종사자를 대상으로 의료관광에 대한 인식을 분석하였다. 이를 위하여 본 연구에서는 설문조사 결과를 통해 의료관광 환경 및 인식과 활성화 방안에 대한 의견을 수집하였으며, 결과는 다음과 같다. 첫째, 스마트의료기기 제조업체 종사자들은 전반적으로 의료관광에 대해 인지하고 있었으며, 부산지역의 의료관광은 발전 가능성과 경쟁력이 높지만 재정 지원이 타 지역보다 낮다고 생각하는 것으로 조사되었다. 둘째, 스마트의료기기 제조업체 기관이 의료관광을 활용한다면 회사의 발전가능성과 경쟁력이 높아 질것으로 예상하지만 현재 마케팅을 위해서 의료관광을 활용하고 있는지 여부에 대해서는 소극적인 것으로 나타났다. 셋째, 부산지역 의료관광에 있어서 상품의 홍보와 정부 및 지자체의 지원, 의료관광 전문 인력, 교통 및 접근성의 용이, 의료시설 현대화, 의료비용 적절성, 관광 프로그램의차별성, 주변 경관 및 관광자원 등의 각 항목이 모두 중요하다고 인식하는 것으로 나타났다. 넷째, 부산지역 의료관광은 활성화되어 있으나 더욱 노력이 필요하다고 인식하는것으로 조사되었다. 다섯째, 부산지역 의료관광 활성화를 위해서 의료기기 및 기술 등의 의료시설의 확충이 가장 필요하며 국가적 정책, 전문 인력, 홍보 및 마케팅, 의료관광 프로그램과 단지 개발이 필요하다고 인식하는 것으로 조사되었다. 마지막으로 국가적 정책이 늘면 스마트의료기기 제조업체 기관의 자본금이 줄어들 것이라고 인식하는것으로 조사되었다.",,"요약
 Ⅰ. 서론
 Ⅱ. 이론적 배경
  1. 의료관광의 개념
  2. 의료관광의 유형
 Ⅲ. 연구방법
  1. 연구방법
  2. 설문지 구성
 Ⅳ. 분석결과
  1. 표본의 특성
  2. 의료관광 인식과 활성화
 Ⅴ. 결론
 참고문헌
 Abstract"
스마트관광혁신지원법 제정으로 관광산업혁신 지원체계 도입,전효재,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.79[2020]
",2020,Korean,,,,"학술저널
",,26-32,,,, DBpia,동국대학교 중앙도서관,,,"1. 서론
2. 관광 정보화 정책 동향과 스마트관광 체제로의 전환
3. 스마트관광의 정책 목표: 관광산업의 글로벌라이제이션(globalization)과 강소 관광기업 육성
4. 스마트관광 경제정책 방향: 혁신과 분배, 스마트관광산업지구 지정과 정책 성과
"
"스마트폰 관광정보 어플리케이션 이용자의 관여도, 정보가치, 관광정보 사용행동, 그리고 e-커뮤니케이션의 역할 = The Roles of Smart Phone Application User Involvement, Information Value, Use Activities, and e-communication in Relation to Tourism Information","순치엔롱 ( Sun Qianrong ), 조미혜 ( Cho Mi-hea )",한국관광학회,관광학연구,"Vol.41No.3[2017]
",2017,Korean,"스마트폰 관광정보 어플리케이션, 정보 가치, 관여도, 정보 사용 행동, e-커뮤니케이션, Smart-phone application, Information value, Involvement, Information search behavior, e-communication",,KCI우수등재,"학술저널
",http://www.tosok.org/,105-130,2.0,,, KISS,,"본 연구의 목적은 스마트폰 어플리케이션 관광정보 이용자의 관광정보 관여도, 관광정보 가치, 탐색 행동(i.e., 사용-확산: 관광 정보 검색 시간과 사용정보의 종류), 그리고 e-커뮤니케이션 유형의 역할을 조사하고자 한다. 또한 각 요인 간의 관계에 대한 관광정보 이용자의 사용 언어(한국어, 중국어, 영어)의 차이를 조사하였다. 한국에 거주하는 한국어, 중국어, 영어를 모국어로 사용하는 내ㆍ외국인으로서 각 언어 당 400부 씩 설문지를 배부한 결과, 총 1,040부의 응답 설문지를 회수(회수율 86.7%)하였는데, 관광 스마트폰 어플리케이션을 사용한 적이 없는 설문지 234부와 한국에서 거주 기간 1개월 미만인 설문지 39부를 제외하였고, 불성실 또는 무응답 설문지 287부를 제거하여 최종적으로 유효한 480부 설문지를 분석하였다. 기존의 스마트폰 앱 관련 연구는 주로 정보 서비스 또는 서비스 품질이 사용 의도, 행동 의도 등에 미치는 영향을 인터넷 소비자 행동에 접목하여 제시하고 있으나, 본 연구에서는 모바일 환경에서 새롭게 조명되고 있는 커뮤니케이션 역할을 정보 관여도와 정보가치, 그리고 사용 언어의 차이를 연계하여 연구함으로써 심층적이고 체계적으로 잠재 (외래)관광객의 정보탐색 행동을 조사하였다. 마지막으로 본 연구의 결과를 토대로 연구의 학문적 및 실무적 시사점과 한계점을 제시하였다","As a result of rapidly increased smart-phone application development, it is critical to identify the influential factors of the information search process of users. In addition, the communication activities in the circumstance of smart-phone application need to be identified. Therefore, the purpose of this paper is to investigate the relationships among the information involvement, information value, information search behavior, and the types of e-communication through a smart-phone application in relation to tourism information. A total of 1,040 data were collected from an on-site survey and 480 were analyzed using an SPSS program. The results indicate that the smart phone application user information search activities and types of e-communication should be significantly related to information involvement, perceived information value (hedonic, risk avoidance, utilitarian), and the use of language. This must be done while simultaneously controlling for demographic characteristics. Based on the results of this research, theoretical and practical implications of these findings are discussed.",
