관광산업에서 관광정보기술 사용의 매개적 역할과 기업의 성과에 관한 연구,"이창석(Lee, Chang Seok),구철모(Koo, Chulmo),정남호(Chung, Namho)",한국서비스경영학회,서비스경영학회지(Journal of the Korea Service Management Society),"Vol.16No.2[2015]
",2015,Korean,"Smart Tourism,Innovation,Market Orientation,Performance,Information System Use",,KCI등재,"학술저널
",http://www.koreaservice.or.kr,245-277,4.0,,," KCI, &nbsp;&nbsp; DBpia",,,"Tourism industry increasingly rely on information technology to improve the performance. Many studies suggested that the evidence of IT showed not only performance improvement but also organizational performance. Drawing form the marketing orientation theories and innovation theories, this study proposes that it use influences directly performance and proved the effectiveness of IT in the organizations of tourism industry. Further, the innovativeness and marketing orientation are identified as main determinants of IT use. The use of IT can serve as a catalyst in improving task performance for organizations in tourism industry. Based on data collected from surveying the people who work in the tourism industry, the present study shed light on these issues. The findings provide a new perspective of IT effectiveness in the tourism industry. Then, we discussed the theoretical and practical implications.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구모형 및 가설의 설정
Ⅳ. 실증분석결과
Ⅴ. 결론
References
"
SNS특성이 고객만족과 이용의도에 미치는 영향 연구: 외식기업 이용자를 중심으로 = The Effect of SNS on Customer Satisfaction and the Intention : Focused on the users of the Foodservice industry,박정숙,한국호텔관광학회,호텔관광연구(Journal of Hospitality and Tourism Studies),"Vol.15No.1[2013]
",2013,Korean,"소셜네트워크서비스,만족,지속적 이용의도,Social Network Service : SNS,Satisfaction,Intention of Continuous Use",,KCI등재,"학술저널
",,265-278,9.0,,, DBpia,,,"Recently there are intention of SNS and its use in food industry as increasing SNS users due to the advent of Web 2.0 and the launch of Smart Phone. This study is tested the characteristics of SNS have affects on customer satisfaction and intention of continuous use when restaurant customers search its information targeting ones with experience searched restaurants information by SNS. Survey is carried out for 20days - from 1st November to 20th November, 2012 - targeting customers having searched restaurants information by SNS within 6 months. Total 420 samples(93.3%) are used for the empirical research. The results of this study are blows. First, 3 factors of  SNS's characteristics identified - relationships, conversation, perceived enjoyment have affects on customer satisfaction and intention of continuous use. Second customer satisfaction has affects on intention of continuous use. The results of this study tells SNS's characteristics is very important effectively as communication and marketing tool in restaurants. Furthermore it will be useful guideline as well as practical implications.",
"연구논문 : 모바일 여행상품 애플리케이션 특성과 서비스 수용 및 구매의도 - 모바일 앱 공급자와 사용자 인터뷰를 중심으로 - = The Relationship with Mobile Travel Apps, Service Adoption and Consumer Purchase Intention - Focusing on Interview with an Mobile Apps User -","백경종 ( Kyong Jong Back ),박용순 ( Yong Soon Park )",대한관광경영학회,觀光硏究,"Vol.30No.2[2015]
",2015,Korean,"모바일 서비스 특성,지각된 유용성,지각된 사용 용이성,여행상품 구매의도,Characteristics of Mobile Service,Perceived Usefulness,Perceived Ease of Use,Consumer Purchase Intention",,KCI등재,"학술저널
",http://www.kastm.or.kr,353-374,,,," 스콜라, &nbsp;&nbsp; KISS",,"본 연구는 모바일 애플리케이션 사용자를 2개의 집단으로 구분하여 모바일 서비스 특성과지각된 유용성 및 지각된 사용 용이성, 그리고 구매의도와의 관계에서 집단 간의 차이를 규명하고 있다. 본 연구는 6명의 모바일 애플리케이션 사용자를 대상으로 심층 인터뷰를 실시하였다. 분석 결과 모바일 서비스 특성은 기술수용모델을 구성하는 2개의 변수인 지각된 유용성과 지각된 사용 용이성, 그리고 구매의도에 의미 있는 영향을 미치고 있는 것을 확인하였다. 특히, 모바일 서비스 특성 중 정보의 유용성과 사용의 편리성 유형은 2개 집단에서 공히 중요하게 고려하고 있는 반면에 그 외 모바일 서비스 특성유형은 집단 간에 다소 차이가 있는 것을 확인할 수 있었다. 본 연구는 스마트폰의 대중화로 인해 향후 모바일 애플리케이션의 활용은 현저히 확대될 것으로 예상되는 시점에서 집단별로(사용자와 공급자 측면) 중요하게 고려하고 있는 모바일서비스 특성이 다르다는 것을 심층 인터뷰를 통해 제시하고 있다는 데에 본 연구의 의의가 있다. 또한 본 연구의 결과는 향후 모바일 서비스 시장의 활성화를 위한 애플리케이션 개발을 함에 있어서 소비자의 인식과 행동을 이해하는 좋은 자료로써 유용하게 활용될 수 있을 것이다.","This study separated into two groups in mobile application user, where this study explored the relationship with characteristic of mobile service, perceived usefulness, perceived ease of use and consumer purchase intention, and it also explored the differences of relationship among the two groups about mobile travel apps. This study was conducted in-depth interviews with the six mobile application users. Finding from the interviews indicate that mobile service characteristics was identified influence on two variables of technology acceptance model (perceived usefulness and perceived ease of use), and also has effect in consumer purchase intention. In particular, an usefulness of information and an ease of use are both important in the two groups, while other mobile service characteristics, it was confirmed that there is a little different between two groups. Mobile applications as the popularization of smart phones is expected to be expanded, the major contribution of this study is confirming that important consideration for mobile service characteristics is a differences through the comparison between two groups, and it will be able to provide very useful data toward understanding the perceptions and behaviors of consumer for activation of future mobile services market.",
서비스품질이 관계지향성과 만족도에 미치는 영향에 관한 연구 = A Study on the Effects of Service Quality on Relationship Orientation and Customer Satisfaction : Focused on Business Travelers,"이제우(Lee, Je Woo),전혜진(Chun, Hejin)",한국관광레저학회,관광레저연구,"Vol.27No.5[2015]
",2015,Korean,"상용여행(Business Travel),서비스품질(Service Quality),관계지향성(Relationship Orientation),고객만족(Customer Satisfaction)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,75-92,,,, DBpia,,,"As the number of global business management and multi-national corporations increased international trade has developed to a great extent. This phenomenon resulted in the much expanded size of business travel market due to companies attempting to occupy ‘new’ overseas markets.
  This study, applying KS-SQI, analyzed the effects of a travel agency’s business travel service quality on relationship orientation and customer satisfaction. The results of this paper are as follows; Firstly, it appears that business travelers tend to consider original service and supplementary service to be one identical service. Secondly, travel agencies should, making the best use of high technology such as internet, smart phones and social network services, sustain relationship orientation with customers. Thirdly, travel agencies should draw up measures that boost customer satisfaction by developing a long-term relationship based on mutual dependence. Fourthly, systematic and repeated job training for employees is required. Fifthly, travel agencies should establish a powerful one-to-on marketing strategy to provide different service to different customers with different characteristics.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구방법
Ⅳ. 분석결과
Ⅴ. 결론
참고문헌
"
여가활동은 외로움을 감소시키는가? = Does Leisure Reduce Our Perceived Loneliness? : Focused on Smartphone-Based Online and Offline Leisure,"신학승(Shin, Hak-Seung),이훈(Lee, Hoon)",한국관광레저학회,관광레저연구,"Vol.26No.7[2014]
",2014,Korean,"지각된 외로움(Perceived Loneliness),오프라인 여가(Offline Leisure),스마트폰 온라인 여가(Smartphone-Based Online Leisure)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,101-117,4.0,,, DBpia,,,"This study is to evaluate the relationship between perceived loneliness and leisure activities which are classified by offline leisure activities and smartphone-based online leisure activities. A total of 239 questionnaires out of 260 were completed. For the result, offline leisure activities were classified into 4 activities including offline physical activities, offline hobby activities, offline social activities, and offline entertainment activities. Online leisure activities by using smartphone were divided into 4 activities including smartphone-based online social activities, smartphone-based online hobby activities, smartphone-based online information searching activities, and smartphone-based online activities fostering offline leisure. The results revealed significant impacts of offline social and physical activities as well as smartphone-based online social activities on perceived loneliness. This study can give understanding impacts of online and offline leisure activities.","Abstract
I. 서론
II. 이론적 고찰
III. 연구방법
IV. 분석결과
V. 논의 및 결론
참고문헌
"
관광지 거주민들의 삶의 질 저하에 대한 결정 요인 : 퍼지셋 질적 비교 분석(fsQCA)을 활용하여,"이현애,정희정,함주연,정남호",한국경영정보학회,한국경영정보학회 학술대회논문집,"Vol.2018No.11[2018]
",2018,Korean,"퍼지셋 질적 비교 분석, 거주민 삶의 질, 오버투어리즘,fuzzy-set Qualitative Comparative Analysis, fsQCA, overtourism",,,"학술저널
",http://www.kmis.or.kr,204-209,,,, eArticle,,"도시 관광객의 과잉 증가로 인해 낙후된 구도심 지역이 활성화되면서 임대료 상승으로 기존 거주민이 내몰리는 젠트리피케이션(gentrification)과, 주거지역의 관광지화로인한 거주민의 이주현상을 의미하는 투어리스티피케이션(touristification)은 최근 전 세계적인 문제로 지적되고 있다. 한국에서도 제주도와 북촌한옥마을 등에서 오버 투어리즘으로인한 환경 오염, 지가 및 임대료 상승, 공동체 문화 약화와 같은 현상이 나타나고 있다. 이러한 현상은 거주민들의 삶의 질을 저해함으로써 심각한 사회문제로 대두되고 있다. 이에 본 연구는 복합이론(complexity theory)를 토대로 거주민 삶의 질 저하에 대해 관광이 가지고 있는 경제적 이익, 사회적 비용, 환경적 지속성, 문화적 혜택, 기술적 영향을 살펴보고자 하였다. 퍼지셋 질적비교분석(fuzzy-set Qualitative Comparative Analysis, fsQCA) 결과, 총 3개의 거주민 삶의 질 저하 패턴이 도출되었다. 또한 3가지 패턴 모두에서 공통적으로 사회적 비용이 거주민의 삶의 질 저하의 주요(core) 요인으로 나타나, 기술적, 경제적 혜택(패턴 1) 또는 경제적, 문화적 혜택 및 환경적 지속가능성(패턴 2)이 있더라도 삶의 질이 저하되는 것으로 나타났다. 한편, 패턴 3에서는 부산이 스마트 도시로 선정됐음에도 불구하고, 거주민들은 사회적 비용만 인식할 뿐, 이를 통한 어떠한 혜택도 인식하지 못하는 것을 확인하였다.",,"Abstract
서론
기존문헌 연구 및 이론적 배경
	관광 개발로 인한 거주민의 삶의 질 저하
	퍼지셋 질적 비교 분석과 복잡성 이론
연구 방법
	측정 및 데이터 수집
	분석 과정
연구 결과
	측정모델 평가
	퍼지셋 분석 결과
Conclusions
Acknowledgments
References
"
조리 외식 전공 학습에서의 애플리케이션 활용 수업이 학습몰입과 만족에 미치는 영향,김동수,한국관광진흥학회,관광진흥연구,"Vol.6No.1[2018]
",2018,Korean,"Application utilization, usability, interaction, class content, Learning commitment, learning satisfaction",,KCI등재후보,"학술저널
",,167-185,1.0,,, eArticle,,,"The purpose of this study is to investigate the effect of application use in cooking practice class of 4 - year cooking eatery major students on learning commitment and satisfaction. First, application use has a positive effect on learning commitment, usefulness and interaction, usefulness of lesson contents, and class contents. Second, the effect of learning commitment on learning satisfaction was positively influenced and Hypothesis 2 was adopted. As a result of this, the application of the smartphone app became popular, and when applied to the lesson using the app in the deep cooking course, It is suggested that each step of the observation and demonstration product is used by the chef or a famous expert in accordance with the contents of the lesson, which leads to the immersion into the learning, and suggests that such learning commitment acts as a mechanism to ultimately enhance the learning satisfaction.","ABSTRACT
I. 서론
II. 이론적 고찰
	1. 스마트 애플리케이션 활용 교육
	2. 학습몰입
	3. 학습자 관점에서의 교육만족
III. 연구방법
	1. 연구모형
	2. 가설설정
	3. 설문지 구성 및 측정변수의 조작적 정의
	4. 조사대상
	5. 분석방법
VI. 실증분석
	1. 조사대상자의 인구통계학적 특성
	2. 측정변수의 신뢰성과 타당성
	3. 구조방정식을 통한 가설 검정
	4. 연구가설 검정 결과
V. 결론
참고문헌
"
국내 관광 서비스 제고를 위한 안드로이드 기반의 위치정보 통합 시스템 구축 기법에 관한 연구,"이윤주(Yoon-Ju Lee),서지훈(JI-Hoon Seo),최진탁(Jin-Tak Choi)",융복합지식학회,융복합지식학회논문지,"Vol.1No.2[2013]
",2013,Korean,"Tourist,Optimal Path,Infromation,Android,Application,Smart",,KCI등재,"학술저널
",,71-78,,,, DBpia,,"현재 국내의 대중문화 산업이 활성화 되면서 아시아를 비롯하여 유럽에서도 한류열풍이 큰 인기를 불러일으키고 있다. 이를 바탕으로 국내에서는 관광산업 마케팅이 가속화되고 있으며, 동아시아를 주축으로 다양한 국적의 관광객이 점차 늘어 나는 실정이다. 하지만 국내를 찾는 관광객의 유동인구 수에 비해서 외국인을 위한 정보 표지판 및 위치정보 공유 커뮤니케이션이 현재까지도 미미한 실정이며 이를 보완하기 위해 특정 지역 내에서 인력 도우미를 활성화 하고 있는 추세지만 이런 방법론 또한 수 많은 외국인을 상대로 서비스를 제공한다는 것은 한계가 있다. 또한 앞으로 열릴 2014년 인천 아시안 게임, 2018년 평창 동계 올림픽을 준비하는 개최지 입장에서는 국제 행사에 참석할 선수 및 관광객을 위한 체계적이고 정확한 시스템의 부재로 인해 이를 해결할 방안이 시급한 과제로 남고 있다. 본 논문에서는 관광산업에서 효율적인 서비스 방안을 위한 지리기반의 위치정보 통합시스템을 제안하고자한다.","The korean wave is sweeping not only in Asia but also in Europe, as Korean popular culture is becoming more popular. It is accelerating a tourism marketing in the country, and variety of nationalities tourist around east Asia is rising. However, till today, sign and location information sharing for foreigner is short. To solve this problem, they put in people in specific area, but it has limits. Moreover, Korea, which will held the 2014 Asian Games and 2018 Winter Olympics, have to fix problem for players and tourists who attend the international events. This study suggest geographic based location information integrated system for efficient service in tourism.","요약
ABSTRACT
Ⅰ. 서론
Ⅱ. 관련연구
Ⅲ. 위치 정보 통합 시스템 설계
Ⅳ. 시스템 구현 및 적용
Ⅴ. 결론
참고문헌
"
류큐왕국의 구스쿠 및 관련 유산군의 관광 및 문화콘텐츠 개발 현황에 대해 - 전후(戰後) 구스쿠의 성터 활용을 중심으로 - = 琉球王國のグスク及び關連遺産群の觀光と文化コンテンツ開發の 現況について - 戰後グスクの城跡活用を中心に -,김현정,한일군사문화학회,한일군사문화연구,"Vol.23No.-[2017]
",2017,Korean,"류큐왕국(琉球王國), 구스쿠(グスク), 세계문화유산(世界文化遺産), 관광콘텐츠(觀光コンテンツ), 문화콘텐츠(文化コンテンツ)",,KCI등재,"학술저널
",,287-316,0.0,,, KISS,,"`류큐 왕국의 구스쿠 유적지과 관련 유산군`은 2000년에 유네스코 세계문화유산으로 지정되었다. 류큐왕국의 유산군들은 역사 속에서 한 때 전쟁을 위한 목적으로 만들어지고 사용되었으며, 또한 험난한 전쟁의 역사를 묵묵히 거쳐왔다. `류큐왕국의 구스쿠 및 관련유산군`의 특징으로는 성터가 반 이상을 차지한다는 점인데, 이 점이 바로 류큐의 역사 속에서 성이 가졌던 중요한 의미와 전쟁의 참화를 극복하고 살아남은 문화유산으로서의 특징을 잘 보여주는 것이라고 할 수 있다.
하지만 현재는 이런 유산들이 역사 속 전쟁과 성주들에 관련된 스토리텔링과 축제와의 연계로 새로운 역할과 의미를 가지고 재탄생하고 있고, 과학기술과 현대트렌드를 이용한 각종 문화콘텐츠의 개발과 활용에 적극적으로 나섬으로써 문화유산의 인지도를 높이고 그로 인한 경제적인 부가가치도 크게 창출하고 있다.
이와 같은 개발과 활용 현황을 스토리텔링과 영상콘텐츠, 축제와 연계한 콘텐츠와 각종 관광 및 문화콘텐츠 등으로 구분해서 고찰해 보았다. 주목할 만한 점은 콘텐츠 개발에 있어 현대의 트렌드에 맞춘 변화가 크다는 점이다. 스마트폰이 일반화된 현재 류큐왕국의 구스쿠와 관련유산군 및 각 지자체들은 관광객을 위한 앱을 적극적으로 개발하고 있고, 류큐왕국의 세계문화유산 전체를 연계해서 소개하는 콘텐츠 앱도 개발되었다. 또한 나카구스쿠의 성터의 경우 성벽을 프로젝션맵핑이라는 IT 기술과 고사마루의 스토리텔링, 전통예능까지 함께 융합시킨 콘텐츠로 큰 성공을 거두고 있다. 또한 전기자동차인 추라마이 하모가 세계문화유산과 연계되어 사용되는 것 등이 그와 같은 예이다.","「琉球王國のグスク及び關連遺産群」は2千年にユネスコ世界文化遺産として指定された。琉球王國の遺産群は歷史の中で戰爭のために造られて使用されたし、險しい戰爭の歷史を經てきた貴重な世界遺産である。「琉球王國のグスク及び關連遺産群」の特徵は城跡が半分以上も占めていることである。これは琉球の歷史の中で城が持っていた重要な意味を示すと共に、戰爭の慘禍を克服して生き殘った文化遺産としての特徵をよく示しているものと言える。
現在はこの遺産群が歷史の中での戰爭や城主に關わるスト一リ一テリングや祭りへの繫がりで新しい役割をもつようになった。さらに、科學技術や現代のトレンドを利用した樣?な文化コンテンツの開發と活用を積極的にすることによって文化遺産の認知度を高め、それによる經濟的な付加價値も大きく創出している。
本稿では「琉球王國のグスク及び關連遺産群」についてスト一リ一テリングや映像コンテンツ、祭りコンテンツ及びその他の觀光や文化コンテンツなどに分けて考察してみた。注目したいのはコンテンツ開發において、現代のトレンドにあわせた變化が著しいということである。スマ一トフォンが普及したため、觀光客のためのアプリケ一ションを積極的に開發しており、琉球王國の世界文化遺産全體を繫げて紹介するアプリも誕生した。
また、中城城跡の場合、城壁をプロジェクションマッピングというIT技術と護佐丸將軍のスト一リ一、傳統芸能をあわせたコンテンツで注目されている。さらに、電氣自動車である「ちゅらま一いHa:mo」が世界文化遺産と連携して使われているなどがそのような例である。",
세금 환급 서비스와 전자 쿠폰 프로모션:  관광 마케팅 플랫폼의 설계 = Tax Refund Service and e-Coupon Promotion: Designing a Tourism Marketing Platform,김태경,한국벤처창업학회,벤처창업연구,"Vol.14No.6[2019]
",2019,Korean,"Fintech,Business Model,Customer Platform,Design Science Research Methodology,핀테크,비즈니스 모델,고객 플랫폼,디자인과학 연구방법",,KCI등재,"학술저널
",,91-101,0.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,투어리즘 혹은 여행은 타지를 방문하는 사람들의 각종 서비스들의 집합으로 이루어진다. 결제는 이와 같은 활동들이 종료되는 시점을 표시하고 다음 활동으로 이어지는 접점이 된다. 최근 모바일 핀테크(Fintech) 기술이 발전하면서 편리하고 안전한 금융거래 서비스가 여행의 질을 높이고 있다. 모바일 인터넷 기술의 진보로 투어리즘은 정보기술에 더욱 더 의존적으로 변하고 있으며 핀테크 기술은 이때 유의미한 기여를 하고 있는 것으로 보인다. 그러나 결제와 관련된 정보가 추가적인 마케팅 프로모션 활동에 활용되지 못한다는 점은 문제다. 벤처 창업 연구에 있어 결제와 관련된 핀테크 서비스를 확장한 정보기술 기반의 비즈니스 모형에 관한 연구의 부족은 결제 이후의 가치 창출 과정을 통해 새로운 비즈니스를 창발시킬 수 있는 가능성에 대한 이해는 저해한다. 이와 같은 측면에서 본 연구를 통해 스마트 투어리즘 이론(Theory of Smart Tourism)과 서비스 지배 논리(Service-Dominant Logic)를 중심으로 결제를 출발점으로 한 새로운 비즈니스 모델을 어떻게 설계할 것인가에 대한 답을 하고자 한다. 스마트 투어리즘은 정보통신 인프라를 바탕으로 지속가능한 최적의 관광 서비스를 제공하는 방법으로 최근 각광을 받고 있다. 보다 구체적으로 한국을 방문한 중국 관광객을 대상으로 결제 이후 마케팅 프로모션 활동을 수행하는 비즈니스 모델을 상정하고 타당성과 가능성을 알아보고자 한다. 이러한 목적으로 위챗페이(WeChat Pay)의 사용자가 세금 즉시 환급 서비스를 받고 추가로 e-Coupon(모바일 전자 할인 쿠폰)을 받아 사용할 경우 여행 만족도가 어떻게 변화되는가를 관찰하였다. 이 과정에서 디자인 과학 방법론(Design Science Methodology)이 채택되었다. 본 연구는 과학적이고 학술적인 방법을 적용하여 핀테크 비즈니스 모델의 새로운 가능성을 찾아보았다는 점에서 의의를 찾을 수 있으며 세금 환급형 상품을 중심으로 한 서비스 자동화 시스템의 필요성을 환기시킨다.,"Tourism or travel business consists of a set of services for people who visit exotic places. Payment is usually marking the end of the series of activities relating to tourism, and it becomes the linkage for the next activity. With the recent advancement of mobile Fintech technologies, we have learned that more convenient and more secure financial transactions are improving the quality of tourism. It should be noted that tourism counts on information technology heavily in terms of mobile Internet and smart devices use, which yields to a wide business opportunities for Fintech startups. However, payment information has not been highlighted for additional marketing promotion activities. The lack of research into information technology-based business models that extend Fintech services related to payment in venture start-up studies hinders the understanding of the possibility of creating new business through the value creation process after payment. This study attempts to investigate this issue based on the theory of smart tourism and service-dominant logic with developing a new information system. More specifically, marketing promotion activities after payment for Chinese tourists visiting Korea are examined. Specifically, WeChat Pay and instant tax refund service were considered while the system was developed by following desing science research methodology. This study is meaningful in that it finds a new possibility of Fintech business model by applying scientific and academic methods, and it reminds the necessity of service automation system centered on instant tax refund.",
사회기술융합적 관점에서 살펴본 디지털기기 이용한계에 대한 연구 : 한국 여성의 관광유형을 중심으로,이승재,한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.13No.5[2015]
",2015,Korean," 디지털기기, 물리적 접근격차, 사회기술융합적 관점, 순천 정원박람회, 중년여성의 디지털기기 활용의 비활성화, digital equipment, the inequality of physical access, the socio-technical convergence perspective[Suncheon Garden Expo], inactive use of digital devices particularly women over 50s.",,KCI등재,"학술저널
",http://www.policy.or.kr,177-185,0.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"사회적으로 규정된 성별 역할차이는 디지털기기가 일상화된 21세기에도 디지털기기 활용의 성별차이로 이 어지고 있다. 디지털기기 활용에 대한 성별, 연령대별 차이에 대한 종전연구가 디지털기기 접근성을 중심으로 발생 한 격차를 다루었다면, 초고속 인터넷과 모바일의 급속한 성장으로 열린 스마트시대는 휴대전화이용객의 80%이상이 언제 어디서나 물리적으로 디지털기기에 접근가능한 상태이므로 전시대의 물리적 접근격차로서는 중장년 여성의 디 지털기기 미활용 현상을 설명하는 데 한계가 있다. 본고에서는 여성의 디지털기기 활용을 사회기술융합적인 관점에 서 접근하여 가장 보편적인 여가활동이며 디지털화에 민감한 관광이라는 목적적 활동을 중심으로 2013년에 열린 순 천 정원박람회 참가객을 대상으로 중년여성의 디지털기기 활용을 살펴보았다. 본 연구의 결과는 인터넷과 디지털 기 술 선진국에서 보여지는 여성의 디지털기기 활용의 이중적인 양상으로 해석될 수 있으며, 중년여성의 디지털기기 활 용의 비활성화는 기술적 요인과 융합된 사회적, 정서적 요인으로 파악되어 한국사회에서 여성의 사회적 경제적 위치 를 함의적으로 시사하며 동시에 생산자 측면에서는 향후 디지털기기 마케팅에 정성적 커뮤니케이션의 필요성을 환 기시킨다.","The gender difference in social roles affects digital devices’ utilization differences in man and woman even in the 21st Century. Prior studies analyze the digital divide (genders, ages, etc.) from the assessment perspectives of digital equipment, such as PCs. In the area of high speed internet, most functions of PCs have been replaced with smartphones, and around 80% of the mobile phone users adopt smartphones. Subsequently the inequality of physical access to the digital devices is no longer a criterion for digital divide. The focus on digital divide should be shifted from the physical access to other factors, such as socio-technical or socio-cultural ones. This paper examines utilization of women’s digital equipment, in particular, preparing for tourism activities, which is popular but sensitive to the technology. A survey was conducted with participants of [Suncheon Garden Expo] 2013. The results of this study capture the inactive use of digital devices particularly women over 50s. This phenomenon (high utilization of the digital devices for social or informative purposes, but low utilization of the digital payment) implies other aspects of Korean women (economic independence, low self-assertion, technical difficulties, etc.), which is considered from the socio-technological convergence perspective. This study also has a practical implication on the side of the digital device developers as well as marketing, where the qualitative communication is likely to be incorporated for the women over 50s.","요약
 Abstract
 1. 서론
 2. 이론적 배경
  2.1 사회기술융합과 정보격차
  2.2 디지털과 관광
  2.3 여성과 디지털
 3. 연구
  3.1 순천시 정원박람회
  3.2 연구방법
  3.3 연구결과
 4. 결론 및 시사점
 REFERENCES"
