인터랙티브 디자인을 이용한 스마트 타운 설계에 관한 연구 -충장로 증강현실 설계를 중심으로- = A Study on Smart Town Design using Interactive Design -Focusing on Design of Chungjangro Augmented Reality-,"이상범 ( Sang Beom Lee ),박재연 ( Jea Yeon Park )",서울과학기술대학교 과학문화전시디자인연구소,한국과학예술융합학회(The Korean Society of Science & Art),"Vol.18No.-[2014]
",2014,Korean,"Interactive Design,인터랙티브 디자인,Smart Town,스마트형 도시,Augmented Reality,증강현실,Chungjangro,충장로",658.0,KCI등재,"학술저널
",,473-482,0.0,,," DBpia, &nbsp;&nbsp; KISS",,"모바일 환경의 급속한 발전과 다양한 스마트 기기의 출시에 따라 우리의 라이프스타일도 점차 변화하기 시작했다. 모바일의 급속한 발전은 시간과 장소에 구애받지 않고, 소소한 즐거움과 몰입감을 즐길 수 있는 새로운 가능성을 열어주었다. 본 논문에서는 모바일 기반의 인터랙티브 디자인과 공간의 관계에 대하여 살펴보고, 구도심의 활성화를 위한 스마트 타운에 대하여 논해 보았다. 특히, 충장로 스마트 타운은 유명 거리에 대하여 스토리텔링 서비스를 제공하고, 인터랙티브 디자인은 증강현실 기술을 통해 디지털 콘텐츠를 상호 교감할 수 있도록 설계하였다. 충장로 스마트 타운은 모바일 서비스를 위해 안드로이드 어플리케이션 형태로 제작된다. AR 기반의 인터랙티브요 소들은 충장로 스마트 타운의 주요 서비스와 융합된 다. 주요한 서비스는 추억의 거리, 걷고 싶은거리, 찾 고 싶은 거리, 추천 관광코스로 구성하였다.","Lifestyle gradually began to change with the rapid development and introduction of a variety of smart devices in a mobile environment. The rapid development of mobile anytime, anywhere, opened up new possibilities to enjoy the little pleasures and immersive. In this paper, we looked at the relationship between the mobile-based interactive design and space. In addition, we designed the smart town for activation of old downtown. In particular, Chungjangro-Sm artTow n has provided a storytelling service to the famous street. Interactive design was designed to be mutually sympathetic to digital content via augmented reality technology. Chungjangro-SmartTown is produced by Android Application form for mobile services. AR-based Interactive elements are fused with the main service of Chungjangro-SmartTown. The main service consists of the streets of memories, walking like streets, looking like streets, recommended tour course.",
스마트폰의 여행지 활용에 관한 연구 = A Study On Utilization Of Smart Phones While Traveling,"안소영(So-Young Ahn),윤경배(Kyung-Bae Yoon)",한국컴퓨터정보학회,한국컴퓨터정보학회 학술발표논문집,"Vol.19No.2[2011]
",2011,Korean,"스마트폰,안드로이드,활용도,Smart Phone,Android,Utilization",,,"학술저널
",http://www.ksci.re.kr,297-299,,,, DBpia,,"본 논문은 여행지에서 스마트폰을 이용해 맛집을 검색하여 방문하는 앱을 수행해 봄으로써 스마트폰의 활용도를 높였다. 본 앱을 활용하여 처음 방문하는 지역에서 맛집을 검색하여 거리를 측정해 보고 최단코스를 확인한 후 찾아가 보자. 본 앱은 각 지역이 맛집에 대한 DB를 등록해 두고 개인적인 취향을 기록해 두기 위해 평점을 분류해서 입력하도록 배치하였고 본인의 추억을 기록할 입력란을 추가해 두었다. 교통편에 대한 정보 필드도 설계하여 여행의 접근성도 높였으며, 맛집은 물론 유명 관광지, 지인의 집 정보 입력 등으로 DB를 확장해서 활용 가능하다.",,
스마트폰 기반의 QR코드 해석기 성능분석 및 응용개발 = Application Development and Performance Analysis of Smartphone-based QR Code Interpreter,"박찬정,현정석,Park, Chan-Jung,Hyun, Jung-Suk",한국정보통신학회,한국정보통신학회논문지,"Vol.13No.10[2009]
",2009,Korean,"QR코드 해석기,트리즈,u-맵,유비쿼터스 응용,u-팜플렛",,KCI등재,"학술저널
",http://www.kiice.org,2242-2250,3.0,,, NDSL,,"최근 유비쿼터스 시대가 도래함에 따라 서비스 형태가 다양화되고 있다. 모바일 기술의 발전으로 휴대폰의 새로운 기능들이 대두되고 있고 모바일폰을 활용한 유비쿼터스 응용들이 활발히 개발 중이다. 또한 모바일폰과 관련된 여러 응용에서 이차원 바코드의 활용이 증가하고 있다. 이차원 바코드는 지금까지 이력관리를 위해서 주로 사용되다가 모바일폰에 탑재되면서 교육, 관광, 축제 등 홍보를 위한 수단으로 그 영역이 확장되었다. 본 논문에서는 이차원 바코드인 QR코드의 응용영역을 확장하여 오프라인과 온라인을 연동하는 스마트폰 기반의 QR코드 해석기를 개발한다. 또한 트리즈(TRIZ)를 이용하여 성능개선을 위한 요소를 찾아내고 해석기를 개선한다. 본 논문에서 개발한 QR코드 해석기와 오픈 소스 기반의 QR코드 해석기의 성능을 해석이 가능한 QR코드 이미지의 크기, 해석 속도 측면에서 비교하여 본 논문에서 제안한 해석기의 우수성을 입증한다. 마지막으로 QR코드를 이용한 응용으로 u-맵과 u-팜플렛을 소개한다.","Recently, with the advance of Ubiquitous era, the types of services become diverse. Especially, due to the rapid development of mobile technology, the new functions of mobile phones are added and the new applications of mobile phones are developed actively. Among the various applications related to mobile phones, 2 dimensional barcode-based applications are increasing. 2 dimensional barcode is mostly used for the management of past record. However, by combing 2 dimensional barcode with mobile phones, the application areas of 2 dimensional barcode are expanded to the means of publicity for education, tourism, and festivals. In this paper, we develop a QR code decoder running on smartphones, which connects on-line and off-line. In addition, we modify our decoder by detecting the point for performance enhancement based on TRIZ. We compare our decoder with an open-source based decoder in terms of the code size of decoding and the speed of decoding in order to prove that our decoder has a better performance than the other. Finally, we introduce two applications: u-map and u-pamphlet as QR code applications.",
지역전통문화자원의 지역 협력을 통한 콘텐츠 창구효과 강화를 위한 연구 -‘남도 르네상스’ 콘텐츠와 연계 협력을 중심으로 = A Study on Strengthening the Window Effect of Content through Regional Cooperation of Local Traditional Cultural Resources - Focusing on cooperation with ‘Namdo Renaissance’ contents,정연철,(사)한국스마트미디어학회,스마트미디어저널(Smart media journal.),"Vol.6No.4[2017]
",2017,Korean,"Traditional Culture Resources,Namdo Renaissance,Story SarangBang,Content commercialization,Brand killer content,전통문화자원,남도르네상스,스토리 사랑방,콘텐츠 사업화,브랜드 킬러 콘텐츠",,KCI등재후보,"학술저널
",,101-109,1.0,,," NDSL, &nbsp;&nbsp; KCI",,"지역의 전통문화자원은 독특한 문화적 특성을 가지고 있어 차별화 가능성이 높은 콘텐츠 자원이다. 따라서 지역 문화자원을콘텐츠로 개발하면 경제적 가치 창출과 함께 지역을 상징하는 브랜드로 활용할 수 있다. 본 논문에서는 전남 지역의 전통문화자원을 활용하여 콘텐츠 소재로 활용하고 전남도에서 추진하는 ‘남도 르네상스’ 사업 콘텐츠와의 연계성을 강화하기 위한 방안을제안한다. 전남 시군의 자원 요소와 분석을 통해 지역 간 협업을 위해 콘텐츠 연관성을 갖는 지역으로 7개 권역을 제안한다.
권역별 상징성을 갖는 스토리를 발굴하고 체계화 할 수 있도록 “스토리 사랑방‘을 제안한다. 개발된 이야기 자원을 실감미디어제작 기술과 가상현실 플랫폼 등을 통해 체험형 콘텐츠로 개발하고 관광 콘텐츠로 확장하여 콘텐츠 창구효과로 확대한다.
이를 통해 상대적으로 콘텐츠 사업화 기반이 취약한 시군의 콘텐츠 경쟁력을 높일 수 있다. 또한 지역 간 협력 거버넌스 확대로공동 콘텐츠 개발 기회를 높이고 관광 콘텐츠로 활용성을 높여 지역경제 발전과 관련 산업 발전에 기여할 수 있다.","Traditional cultural resources in the region have unique cultural characteristics and are highly likely to be differentiated content resources. Therefore, when local cultural resources are developed as content, they can be given a role as a brand symbolizing the region together with economic value creation. In this paper, we propose a method to utilize traditional cultural resources in Jeonnam region as content material and to strengthen the connection with ‘Namdo Renaissance' project contents in Jeonnam province. We propose seven regions as a region with content relevance for inter-regional collaboration through resource elements and analysis of Jeonnam cities and counties. We suggest ""Story SarangBang"" so that we can uncover and systematize stories with symbolic character by region. The developed story resources are developed as experiential contents through realistic media production technology and virtual reality platform and expanded to tourism contents and expanded to the window effect of contents. Also, by expanding cooperation governance between regions, it is possible to enhance opportunities for development of joint contents and enhance utilization as tourist contents, thereby contributing to regional economic development and related industries development.",
스마트톨링 도입에 따른 고속도로 여유공간의 효율적 활용방안 = Efficient Utilization of Expressway Tollgate Space by Introduction of Smart Tolling System,"박준식(JunSik PARK),성낙문(Nakmoon SUNG),김거중(Gurjoong KIM),정동우(Dongwoo JUNG),문지혜(Jihye MOON),고승렬(Seungryul Go)",한국교통연구원,한국교통연구원 기본연구보고서,"Vol.-No.-[2018]
",2018,Korean,,,,"학술저널
",,1-205,,,, DBpia,,,"Expressway tollgates have significant utility in network operation and management, as they are located on a heavily weighted nodal point in the road network. The introduction of the smart tolling system, which is an unmanned and automatic fare collection system, is expected to greatly improve the operational efficiency of the expressway. In addition, the space occupied by the tollgate facility is left as an idle site and needs to be explored.
  The total number of toll booths for expressway network in Korea is 373, and if a smart tolling system is introduced, it is estimated that about 2.76㎢and about one third of Yeoido area idle land will be generated. All sites are scattered throughout the country, each individual area is not so large, and the site form is not square area, which limits its usability. On the contrary, however, the utilization may be even greater because it is the number of idle sites connected to the expressway network.
  In order to utilize the idle land of the expressway toll booth, it is necessary to establish ① facilities that meet the functions of the highway such as resting facilities, transit facilities, and logistics facilities, ② facilities to enhance local economic revitalization and operation revenues such as local specialty stores or tourist information facilities, and ③ facilities for creating future road traffic culture such as hydrogen car filling stations, autonomous driving vehicles and drones support facilities. It would be better to incorporate private creative ideas through attracting private businesses, and the establishment of non-profit facilities would require the policy decision of Korea Expressway Corporation.
  The data on the idle site database of the expressway tolls surveyed in this study can be used as a basis for the central government or Korea Highway Corporation to prepare policy alternatives using idle sites on expressways. In addition, the results of the quantitative effect analysis on the transit center and the results of the study on the optimum location of the hydrogen car filling station can be used as the basic data for the policy decision when the central government or Korea Highway Corporation. I hope that this study will be the basis for the effective utilization of idle land on the expressway due to the introduction of Smart Tolling System.","[표지]
[서문]
[차례]
   표차례
   그림차례
[요약]
   1. 서론
   2. 고속도로 여유공간 활용 사례
   3. 고속도로 영업소 유휴부지 현황 조사
   4. 고속도로 영업소 유휴부지 활용 대안 도출 및 평가
   5. 대중교통 환승시설로의 활용 방안
   6. 융 · 복합충전소로의 활용 방안
   7. 결론 및 정책제언
[제1장 서론]
   제1절 연구의 배경 및 필요성
   제2절 연구의 목적 및 방법
   제3절 기존 및 타 연구와의 차별성
[제2장 고속도로 여유공간 활용 사례]
   제1절 물류기능 활용 사례
   제2절 환승기능 활용 사례
   제3절 상업 · 관광기능 활용 사례
[제3장 고속도로 영업소 유휴부지 현황 조사]
   제1절 조사 방법
   제2절 유휴부지 산정 기준
   제3절 영업소의 도로 기하구조 유형 분류
   제4절 고속도로 영업소 유휴부지 현황 조사 결과
[제4장 고속도로 영업소 유휴부지 활용 대안 도출 및 평가]
   제1절 도로 기하구조에 따른 유휴부지 특성분석
   제2절 고속도로 영업소 유휴부지 활용 대안 도출
   제3절 유휴부지 활용 대안 평가
   제4절 연결로 시설개선에 따른 유휴부지 확대 효과 검토
[제5장 대중교통 환승시설로의 활용 방안]
   제1절 고속도로 대중교통 환승시설의 개요
   제2절 고속도로 영업소 대중교통 환승시설 후보지 선정
   제3절 고속도로 영업소 대중교통 환승시설 구축 방안
   제4절 신탄진 IC 대중교통 환승시설 설치 효과 분석
[제6장 융 · 복합충전소로의 활용 방안]
   제1절 융 · 복합충전소로의 활용 전략
   제2절 수소충전소 최적입지 선정의 영향요인
   제3절 고속도로 영업소를 활용한 수소충전소 최적 입지 선정
   제4절 수소충전소 구축 전략
[제7장 결론 및 정책제언]
   제1절 연구결과
   제2절 연구결과의 활용방안
   제3절 정책제언
[참고문헌]
[부록]
[Abstract]
"
스마트폰 외식정보서비스의 구전정보 특성에 따른 신뢰형성이 행동의도에 미치는 영향에 관한 연구 = Application 외식정보서비스 사용자들을 대상으로,"김형준(Hyung Joon Kim),김용일(Yong Il Kim)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.23No.1[2014]
",2014,Korean,"외식정보서비스,신뢰형성,구전정보 특성,food information service,e-WOM characteristics,trust building",,KCI등재,"학술저널
",http://www.kasha.or.kr,45-64,,,, DBpia,,"오늘날 외식산업에서 구전정보는 소비자들의 구매의사결정을 판단하는데 가장 중요한 정보원천이다. 이에 본 연구에서는 다양한 외식상품 및 업체가 등록되어있는 애플리케이션 사용자들을 대상으로 외식상품 구매 및 외식업체 방문에 대한 호의적인 태도와 실제적인 행동의사에 영향을 미칠 수 있는 구전정보 신뢰형성의 결정요인을 파악하고자 한다. 이 같은 연구목적을 달성하기 위해 스마트폰 외식정보 서비스 내의 사용후기나 평가 등의 구전정보를 수용한 후 외식상품을 구매하거나 외식업체를 방문한 소비자들을 대상으로 2013년 3월 1일부터 2013년 4월 1일까지 약 한 달간에 걸쳐 설문조사를 실시하였다. 총 293부의 설문지를 회수하여 이중 연구목적과 부합되지 않거나 다수의 결측값 및 설문태도가 불성실한 33부를 제외한 247부를 분석자료로 활용하였다. 실증분석 결과는 다음과 같다. 첫째, 스마트폰 외식정보서비스 구전정보 특성 중 생생함, 동의성, 상호작용성 등의 순으로 유용성에 유의한 정(+)의 영향을 미치는 것으로 나타났다. 둘째, 스마트폰 외식정보서비스 특성 중 유용성, 동의성, 생생함, 상호작용성 등의 순으로 구전신뢰에 유의한 정(+)의 영향을 미치는 것으로 나타났다. 셋째, 스마트폰 외식정보서비스의 유용성은 행동의도에 유의한 영향을 미치지 않으나 구전신뢰는 행동의도에 유의한 정(+)의 영향을 미치는 것으로 나타났다. 본 연구는 앱을 기반으로 한 가상공간에서 구전정보 신뢰형성에 영향을 미치는 결정요인을 파악하고 소비자들의 행동의사를 예측했다는데 그 의의가 있다.","Interpersonal influence and word-of-mouth (WOM) are ranked the most important information source when a consumer is making a purchase decision. The purpose of this study was to investigate the effect of trust building in electronic word-of-mouth (e-WOM) communication on consumer behavior in the context of smartphone application of food service information. A survey was conducted from March 1 to April 1, 2013. A total of 293 questionnaires were collected. Excluding missing questionnaires, 247 usable questionnaires were analyzed. The results of the study were as follows. First, the characteristics of e-WOM were divided into five factors including vividness, consensus, recentness, interactivity, and usefulness. And trust of e-WOM and consumers ``behavior intention were composed of single dimension. Second, e-WOM characteristics excepting recentness, vividness had the most significant impact on usefulness followed by consensus and activity. Third, e-WOM characteristics excepting recentness, usefulness had the most significant impact on trust of e-WOM followed by consensus, vividness, and interactivity. Finally, trust of e-WOM had a direct effect on consumers ``behavior intention in a positive way, while usefulness didn`t affect behavior intention. The result of this study suggests that trust of e-WOM is the most important factor that enhances behavior intention by improving vividness, consensus, interactivity and usefulness.",
확장된 기술수용 모델을 적용한 스마트폰 외식정보 서비스 사용자의 수용태도에 관한 연구,"김용일(Kim, Yong-Il),임재문(Lim, Jae-Moon)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.23No.5[2014]
",2014,Korean,"smart phone food information service,information quality,system quality,innovation,self efficacy,social influence,perceived usefulness,perceived easy of use,스마트폰 외식정보서비스,정보 품질,시스템 품질,혁신성,자기효능감,사회적 영향,지각된 유용성,지각된 사용의 용이성",,KCI등재,"학술저널
",http://www.kasha.or.kr,275-289,38.0,,, DBpia,,,"The Purpose of this study was to identify the effects of smart phone food information service on the user""s acceptance attitude based on an extended TAM (Technology Acceptance Model) through SEM (Structured Equation Model). A survey was conducted from June 1 to August 31, 2012. A total of 326 questionnaires were collected and 255 questionnaires were used. The results of this study are as follows: Firstly, it was found that information quality and system quality had positively significant influences on perceived usefulness and perceived easy of use. Secondly, innovation had a statistically positive effect on perceived usefulness and perceived easy of use, and self efficacy had a positively significant influence on perceived usefulness only. Third, it was found that social influence had a positively significant influence on intention to use, but not on perceived usefulness. Lastly, perceived usefulness and perceived easy of use had statistically positive effects on intention to use.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구설계
Ⅳ. 실증연구
Ⅴ. 결론
참고문헌
국문초록
"
스마트폰을 이용한 여행지 맛집 검색 앱 활용에 관한 연구 = Study on the utilization of Travel site Matjip (Reputable Restaurant) search application(APP) using Smart Phone.,"윤경배,송승헌",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.11No.10[2013]
",2013,Korean,"스마트폰,맛집,여행지,검색 앱,활용도,Smart Phone,Reputable Restaurant,Travel site,Search Application(APP),Utilization",326.41,KCI등재,"학술저널
",http://www.policy.or.kr,437-443,2.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"본 논문은 여행지에서 스마트폰을 이용해 맛집을 검색하여 방문하는 앱을 수행해 봄으로써 스마트폰의 활 용도를 높였다. 구현된 앱을 가지고 맛집을 검색하면 최적의 맛집을 선택할 수 있다. 특히 본 앱은 각 지역별로 적 합한 메뉴, 식당의 스타일 및 디자인, 가격의 합리성, 종업원의 인적서비스 및 위생 관리 등의 활용도 및 만족도를 통하여 평가되고 입력된 정보를 미리 DB에 등록해 두고 개인적인 취향을 기록해 두기 위해 평점을 분류해서 입력하 도록 배치하였으며, 본인의 추억을 기록할 입력란을 추가해 두었다. 더불어 교통편에 대한 정보 필드도 설계하여 여 행의 접근성도 높였으며, 향후 여행지 맛집은 물론 유명 관광지, 지인의 집 정보 입력 등으로 DB를 확장해서 활용 가능하다.",,"요약
 Abstract
 1. 서론
 2. 관련 연구
  2.1 오푸드
  2.2 현대카드 MY MENU
  2.3 블루리본 서베이
 3. 앱 설계 및 구현
  3.1 시스템 설계
  3.2 DB 설계
  3.3 화면 구현
 4. 실행 결과 및 평가
 5. 결론
 REFERENCES"
"외식업체의 스마트폰 기반 소셜네트워크서비스(SNS) 품질이 이용자 만족, 이용의도 및 구매의도에 미치는 영향","이혜성(Hye Sung Lee),남궁영(Young Nam Kung)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.23No.1[2014]
",2014,Korean,"SNS 품질,스마트폰,만족도,이용의도,구매의도,외식업체,SNS quality,smartphone,satisfaction,intention to use,future purchase intention,foodservice industry",,KCI등재,"학술저널
",http://www.kasha.or.kr,145-163,42.0,,," KCI, &nbsp;&nbsp; DBpia",,"본 연구는 목적은 외식기업의 스마트폰 기반 SNS의 품질을 실용적 측면과 경험적 측면을 종합적으로 고려하여 평가하고, SNS품질이 이용자의 SNS 만족도에 영향을 주는 지 알아보고 SNS 만족도가 지속적 SNS 이용의도에 미치는 영향, 궁극적으로 지속적 이용의도가 실제 외식업체에서의 구매의도에 미치는 영향에 대해 조사하고자 하였다. 스마트폰을 이용하여 외식업체의 SNS를 이용해 본 경험이 있는 소비자들을 대상으로 설문조사 하였으며, 총 525부가 최종분석에 사용되었다. 본 연구의 결과는 다음과 같다. 첫째, 외식업체의 스마트폰 기반 SNS의 품질이 미적, 정보, 오락, 시스템의 4개의 요인으로 추출되었으며, 이들 품질 요인 모두 이용자 만족도에 유의적인 정(+)의 영향을 미치는 것으로 나타났으며 상대적으로 정보, 미적, 오락, 시스템품질의 순서로 영향을 주는 것으로 나타났다. 둘째, SNS의 이용만족도가 지속적 이용의도에 유의적인 정(+)의 영향을 주는 것으로 나타나 SNS 품질에 대한 만족도가 높을수록 지속적으로 이용하려는 의도가 높아지는 것이 확인되었다. 셋째, SNS의 지속적 이용의도가 실제 외식업체에서의 구매의도에 유의적인 정(+)의 영향을 주는 것으로 밝혀져 외식업체의 SNS를 지속적으로 이용할수록 실제 외식업체에서 구매할 의도가 높아지는 것이 확인되었다. 결과를 바탕으로 외식업체의 SNS 마케팅 실무자들을 위한 이론적·실무적 시사점이 제시되었다.","SNS marketing has become an important part of the foodservice industry. This study aims to 1) examine the effects of perceived quality of smartphone based SNS on user satisfaction, 2) investigate the effects of SNS user satisfaction and intention to use SNS, and 3) assess the effects of intention to use SNS and intention to future purchase in the foodservice industry. A total of 525 samples who had experienced smartphone based SNS in relation to the foodservce industry participated in this study. The results were as follow: First, factor analysis identified four smartphone based SNS quality dimensions: information, system, aesthetic and entertainment. Second, regression analysis was performed to examine the effects of four SNS quality dimensions and SNS user satisfaction. The results showed that all of the four factors (information, system, aesthetic, and entertainment) had significantly affected SNS user satisfaction. Third, SNS user satisfaction had a positive significant effect on his/her intention to use SNS. Fourth, intention to use SNS had a positive significant effect on future purchase intention in the foodservice industry. These findings provide managers in the foodservice industry with knowledges for the association between intention to use SNS and actual future purchase in the foodservice industry. Implications and future research were also discussed.",
회원 특별기고 : 스마트폰을 이용한 한방 의료 시스템,홍유식,한국과학기술개발원,과학기술정보(Information magazine of science & technology),"Vol.10No.-[2013]
",2013,Korean,,,,"학술저널
",,21-39,,,, KISS,,"2018년도 평창 올림픽은 유비쿼터스 기술을 이용해서 동계 올림픽 관광객 들 에게 실시간 통역서비스 및 스키장에 RFID 태그및 동작 감지 센서를 설치해서 구간별, 위치별측정 기록을 선수 및 경기장 심판에게 언제 어디서나 유무선 통신 장치로 실시간으로 제공 할 예정이다. 본 논문에서는 올림픽기간에 관람객이 누구나 간단하게 언제, 어디서나, 스마트폰을 이용한 의료 시스템 지원을 받을 수 있도록 원격으로 맥진을 할 수 있는 알고리즘 및 실시간으로 원거리에서 환자의 맥파 파형을 수신해서 실시간 건강 상태를 판단 하는 시스템 및 유비쿼터스 기술을 이용한 지능형 평창 올림픽 시스템을 제안하고자 한다.",,
