스마트 관광 비즈니스 확장을 위한 여행플랫폼 모델의 탐색적 연구 = An Exploratory Study of the Travel Platform Model for the Expansion of the Smart Tourism Business,최재우,관광경영학회,관광경영연구(Journal of Tourism Management Research),"Vol.87No.-[2019]
",2019,Korean,Travel Platform Model. Smart Tourism Business. O2O. OTA,,KCI등재,"학술저널
",http://www.tmro.or.kr/ ,587-604,2.0,,," KCI, &nbsp;&nbsp; eArticle",,,"As an exploratory research on the travel platform model for the expansion of the smart tourism business, with the Team Heads and the Heads of the Business Departments in the travel business field as the subjects and as the interviewees of this research, by selecting the subjects who are scheduled to push ahead and plan regarding the travel platform as the interviewees, the expert interviews had been proceeded with the related items, including the following: Firstly, the direction of the travel platform: Secondly, the structure of the travel platform model; Thirdly, the constituent elements of the travel platform; Fourthly, the important matters when designing a travel platform; Etc.  As a result of the research, in order to strengthen the competitiveness of a platform in the travel industry, the introduction, and the possibility of the utilization, of a cutting-edge technology regarding the travel information and the travel products and services are the very important elements. And, according to the expansions of the B2C, O2O, and OTA business models in the travel market, the preparation and the establishment of a customized-type, travel platform business model with the foreign tourists as the subjects are needed. And a standardization strategy regarding the process of the expansion of the travel platform business for drawing the agreement between the persons interested must be formulated. It is judged that, in the researches in the future, the specific, additional researches regarding the convenience of the travel platform users and regarding the commercialization of the platforms are needed.",
일반세션 : 일반연구논문: 문화관광 1 ; 스마트 관광 생태계의 개념화,"구철모,김정현,전유희,정남호",한국관광학회,한국관광학회 국제학술발표대회,"Vol.75No.2[2014]
",2014,Korean,,,,"학술저널
",,283-290,,,, KISS,,,,
스마트 관광을 통한 창조 경제 활성화,구철모,한국관광학회,한국관광학회 국제학술발표대회,"Vol.76No.1[2014]
",2014,Korean,,,,"학술저널
",,113-141,,,, KISS,,,,
스마트 시티 울산의 관광 개발,노형남,한국관광학회,한국관광학회 국제학술발표대회,"Vol.82No.-[2017]
",2017,Korean,,,,"학술저널
",,416-423,,,, KISS,,,,
스마트관광의 열쇠는 DTI 표준화 구축에서 시작된다,고길준,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.55[2014]
",2014,Korean,,505.0,,"학술저널
",,67-78,,,, DBpia,동국대학교 중앙도서관,,,
일반세션 : 일반연구논문: e-tourism ; 관광객 행동 패턴 분석을 위한 GPS 기반의 스마트폰 애플리케이션 활용,"장준호,이광호",한국관광학회,한국관광학회 국제학술발표대회,"Vol.75No.2[2014]
",2014,Korean,,,,"학술저널
",,557-564,,,, KISS,,,,
스마트폰과 관광,변정우,한국관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.41[2010]
",2010,Korean,,505.0,,"학술저널
",,73-76,,,, DBpia,,,,
스마트폰 어플리케이션을 통한 DMZ 관광 활성화,"나현영,권예리,김미라",한국관광레저학회,한국관광레저학회 학술발표대회,"Vol.2018No.12[2018]
",2018,Korean,,,,"학술저널
",,283-293,,,, DBpia,,,,
스마트 관광을 통한 창조 경제 활성화,구철모,한국관광학회,한국관광학회 국제학술발표대회,"Vol.76No.3[2014]
",2014,Korean,,,,"학술저널
",,113-141,,,, KISS,,,,
관광정보 스마트폰 어플리케이션의 정보행동 연구,"조미혜, 순치엔롱",한국관광학회,한국관광학회 국제학술발표대회,"Vol.81No.-[2017]
",2017,Korean,,,,"학술저널
",,16-20,,,, KISS,,,,
스마트폰 어플리케이션 이용자가 인식하는 관광 정보의 가치 및 e-커뮤니케이션의 역할,( Qian Rong Sun ),한국관광학회,한국관광학회 국제학술발표대회,"Vol.74No.1[2013]
",2013,Korean,,326.39,,"학술저널
",,205-223,,,, KISS,,,,
