"외국인, 제주관광 어렵지 않아요! `제주관광통역비서` 스마트폰 앱(App) 출시 = 내 손안의 `제주관광통역비서`로 스마트하게 소통 하세요!",양시연,한국지역정보화학회,한국지역정보화학회 학술발표대회 논문집,"Vol.2013No.6[2013]
",2013,Korean,,,,"학술저널
",http://www.karis21.or.kr,61-66,,,, DBpia,,,,"Ⅰ. 추진배경
Ⅱ. 제주관광통역비서 앱(App) 소개
Ⅲ. 그간 추진성과
Ⅳ. 기대효과
Ⅴ. 앞으로 계획
"
스마트 관광 생태계의 이론화와 활용,"구철모,김정현,정남호",한국경영정보학회,Information systems review,"Vol.16No.3[2014]
",2014,Korean," 스마트관광, 스마트관광생태계, 공유가치창출, 이론화, Smart Tourism, Smart Tourism Ecosystems, Creating Shared Value, Theorization",,KCI등재,"학술저널
",http://www.kmis.or.kr,69-87,17.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",영남대학교 중앙도서관,"관광과 정보통신기술(Tourism and Information Communication Technology: ICT)의 결합은 관광산업 전체에 있어서도 ICT의 획기적인 변화를 야기하고 있다. e-관광(eTourism), 가상 관광(Virtual Tourism), 스마트 관광(Smart Tourism) 등의 다양한 용어들이 지난 10여 년간 등장하였지만, 스마트폰의 등장으로 인한 관광에서의 새로운 패러다임은 관광산업과 학계를 통틀어 충분히 논의된바 없다. 관광에서 ICT의 역할에 대한 기존문헌을 살펴보면 사용자 관점에서 관광객의 행동, 커뮤니티, 멀티미디어와 웹, 지능형 시스템, 스마트 관광의 5가지 주요흐름이 있는 것을 알 수 있다. 이에 본 연구는 스마트 관광의 개념을 기반으로 하여 스마트 관광 생태계에 대해 살펴보려고 한다. 본 연구에서 제시하는 스마트 관광 생태계 (Smart Tourism Ecosystems)는 관광객, 유통채널, 공급채널, 정보, 지자체 등의 이해관계자들이 가치를 창출하는 개념이다. 이에 본 연구에서는 “공유가치 창출(Creating Shared Value)”이라는 관점에서 스마 트 관광 생태계를 조망하고자 한다.","The integration of Tourism and Information Communication Technology (ICT) has been continued based on a drastic progress of ICT in the entire sectors of tourism industry. A variety of terminologies such as eTourism, Virtual Tourism, Smart Tourism have appeared during the last decades, however, tourism with Smartphones created a new paradigm has not discussed yet in tourism industry and academia. By investigating on the previous literature in the role of ICT in tourism, we have classified five major streams in the past such as end user perspective (tourist behaviour), Community, Multimedia and Web, Intelligent System, and Smart Tourism. At a result, we investigated the concept of smart tourism and extended to research on Smart Tourism Ecosystems. We suggest the concept of smart tourism  ecosystems, which may create values by interacting among tourism players (tourist, distribution channel, supply channel, government, and local community). We propose the discussion of meaning of ‘creating shared value’ through ‘Smart Tourism Ecosystems’.","요약
 Ⅰ. 서론
 Ⅱ. 연구의 프레임워크
  2.1 개념적 이론화 과정
  2.2 스마트 관광 생태계의 개념화 과정 설계
 Ⅲ. 문헌 연구
  3.1 스마트 관광
  3.2 스마트 관광 생태계
  3.3 공유 가치 창출
 Ⅳ. 공유가치 창출을 위한 스마트 관광생태계의 영역 및 활용
 Ⅴ. 결론
 참고문헌
 Abstract"
4차 산업혁명 신기술을 기반으로 한 융복합 스마트관광 서비스브랜드 = Mixed-use Smart Tourism Service Brand based on New Technology of the Fourth Industrial Revolution,"강형철,오명선",사단법인 한국브랜드디자인학회,브랜드디자인학연구,"Vol.18No.3[2020]
",2020,Korean,"스마트관광,4차 산업혁명,서비스브랜드,Smart Tourism,Fourth Industrial Revolution,Service Brand",,KCI등재,"학술저널
",,267-276,0.0,,," KCI, &nbsp;&nbsp; eArticle",,"본 연구는 스마트관광으로 발전하는 과정에서 서비스브랜드가 어떠한 방식으로 구현되고 있는지 살펴보고 스마트 관광자원을 육성 시킬 수 있는 방안을 모색하고자 한다. 연구방법은 선행 문헌 고찰, 보도자료, 영상, 출판물 등의 분석으로 스마트관광 서비스브랜드 구현 현황을 분석하고, 중국의 스마트관광과 같은 맥락으로 선진적인 스마트 도시인프라 구축 8개 도시 사례를 통하여 스마트관광 도시 활성화를 위한 방안을 조사하였다. 연구 결과 스마트관광 서비스브랜드 현황은 인공지능(AI)이 제안하는 여행 일정 큐레이션, 빅데이터를 기반 인공지능 호텔 구축, 인공지능 로봇의 새로운 경험 및 홍보 마케팅, 스마트 모빌리티 지능화된 교통 서비스로 조사되었다.중국은 국가주도로 관광지 내 VR콘텐츠, VR 영상 서비스, 디지털 박물관, 자율주행, 빅데이터와 AI기술을 활용하는 관광 루트, 스마트화장실 등의 형태로 나타났고, 세계 8대 스마트도시는 라스 베이거스의 실시간 데이터, 서울의 스마트 폐기물 솔루션, 암스테르담의 3D 인쇄 스마트 브리지, 샌프란시스코의 스마트 사이클, 온타리오 스트랫 퍼드의 완벽한 주차, 헤이그의 거리 조명, 코펜하겐의 에너지 절약, 브뤼셀의 스마트 교통 기술 등으로 나타났다. 결론적으로 스마트관광 도시 활성화를 위한 방안으로 여행스타일을 분석한 맞춤형 인공지능 탑재 비대면 관광안내시스템, 관광의 정체성을 제공하는 도시콘텐츠 공공미디어 방법론, 소규모 비대면 관광 중심 포스트 코로나19 시대 모바일 중심 스마트관광 플랫폼을 구축 관광서비스 등을 제안하였다.","This study aims to examine how service brands are being implemented in the process of developing into smart tourism and to find ways to foster smart tourism resources. The research method analyzed the status of smart tourism service brand implementation through the analysis of prior literature, press release, video and publication, and analyzed smart city construction through advanced smart 8 cities in the same context as smart tourism in China, and drew up a plan to revitalize smart tourism city. The study found that the travel schedule curation proposed by artificial intelligence (AI), the establishment of an artificial intelligence hotel based on big data, new experience and promotion marketing of artificial intelligence robots, and smart mobility intelligent transportation services. China appeared in the form of VR content, VR video service, digital museum, self-driving, tourism routes utilizing big data and AI technology, and smart toilets in the eight major smart cities in the world were real-time data from Las Vegas, smart waste solutions from Seoul, 3D printed smart bridges from Amsterdam, complete parking of San Francisco, street lighting in Hague, energy saving in Copenhagen, and smart transportation in Brussels. In conclusion, the measures to revitalize smart tourism city can present non-face-to-face tourism guidance system equipped with artificial intelligence, public media methodology, and post-corona19 era tourism service.",
증강현실 기반 스마트관광 앱의 사용자 경험 사례 연구 = A Case Study on the User Experience of Augmented Reality-Based Smart Tour App,김은영,한국상품문화디자인학회,상품문화디자인학연구(Journal of Cultural Product & Design),"Vol.59No.-[2019]
",2019,Korean,"Augmented Reality,User Experience,UX evaluation,Smart Tourism,AMTG,Gamification,증강현실,사용자 경험,사용자경험 평가,스마트관광,AR기반 관광앱,AMTG,게이미피케이션",,KCI등재,"학술저널
",http://www.pdik.or.kr/,137-147,0.0,,," 코리아스칼라, &nbsp;&nbsp; KISS",남서울대학교 성암기념중앙도서관,"인터넷과 스마트폰의 혁신적인 발전은 관광산업에도 큰 영향을 미치고 있다. 국내외 관광객 대부분이 스마트폰을 휴대하고 있으며, 스마트폰을 이용하여 관광 정보 및 길 안내 정보를 제공 받아 관광에 활용하고 있다. 또한, 증강현실 기술의 발전 은 관광안내책자 등의 인쇄물과 유적지 앞의 안내판을 대신하는 등 관광 안내에 있어서도 증강현실 기반의 스마트 관광으 로의 변화를 유도하고 있다. 이러한 추세를 따라 각 유적지와 관광지에서는 단순한 정보 제공을 넘어선 다양한 기능을 통 해 사람들의 흥미를 유발하고 관광지로써의 매력을 부각할 수 있도록 다양한 증강현실 기반의 앱들을 활용한 지역관광 활 성화 방안을 실시하고 있다. 그러나 현재 여러 지자체에서 시도하고 있는 다양한 형태의 증강현실 기반의 스마트 관광 플 랫폼 구축에 있어서 아직까지 사용자 경험에 대한 연구는 미흡한 실정이다. 또한 한국이 첨단 ICT 개발영역에 있어서 2위 를 차지하고 있는 강국임에도 불구하고 이러한 기술을 관광 산업에 제대로 활용한 사례는 드물다. 이에 본 연구에서는 증 강현실 기반 관광 앱의 사용자 경험 사례 연구를 통하여 스마트 관광의 방향을 제시해 보고자 한다. 사용자경험 관점에서 본 증강현실 스마트관광 앱의 사용성 평가를 위하여 서울시 중구의 증강현실 기반 ‘중구관광 AR엽서북’과 ‘스토리 안내판’ 과 서초구의 ‘서리PULAY: 독립의 시간’에 관한 설문 조사를 진행하여 사용자 경험 사례 연구를 진행하였다. 한국의 첨단 ICT기술을 적극 활용한 스마트관광 생태계 구축은 관광선진국이 되는 첫걸음이 될 것이다.","Innovative developments in the Internet and smartphones are also having a huge impact on the tourism industry. Most domestic and foreign tourists carry smartphones and use them for tourism by receiving information on tourism. In addition, the development of augmented reality technology has induced a shift to augmented reality-based smart tourism in tourism guidance, replacing printed materials such as tour guidebooks and signboards in front of historical sites. Following the trend, each historical site and tourist destination is implementing measures to boost local tourism using  various  augmented  reality-based  apps  to  generate  interest  and  highlight  its  appeal  as  a  tourist  destination through various functions beyond just providing information. However, research on user experience is still insufficient in the construction of various types of augmented reality-based smart tourism platforms currently being attempted by various local governments. It is also rare to make a proper use of such technology in the tourism industry, even though Korea is a strong country that ranks second in high-tech ICT development areas. In this study, the direction of smart tourism is presented through the user experience case study of augmented reality-based tourism apps. To evaluate  the  usability  of  augmented  reality  smart  tourism  app  from the  perspective  of user  experience, the  user experience case study was implemented by conducting surveys on the augmented reality-based 'AR postcard' and the 'Story Guide Board' in Junggu, and 'Seoripulay: time of independence' in Seocho-gu, Seoul. Building a smart tourism ecosystem that actively utilizes Korea's advanced ICT technologies will be the first step toward becoming a tourism advanced country.",
스마트 관광 발전을 위한 사례 분석 연구 = Analysis of Case Study for Smart Tourism Development : Korea Tourism Organization’s Smart Tourism Case,"구철모(Chulmo Koo),신승훈(Seung-Hun Shin),김기헌(Kee-Hun Kim),정남호(Namho Chung)",한국콘텐츠학회,한국콘텐츠학회논문지,"Vol.15No.8[2015]
",2015,Korean,"관광,정보 기술,인터넷,스마트폰,소셜 네트워크 서비스,스마트 관광,한국관광공사,Tourism,Information Technology,Internet,Smartphone,Social Network Service,Smart Tourism,Korea Tourism Organization",,KCI등재,"학술저널
",http://www.koreacontents.or.kr,519-531,,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,"정보 기술은 관광 산업에 있어 중요한 역할로서 적지 않은 영향을 끼치기 때문에 관광 산업은 항상 정보기술과의 융합을 실천해왔다. 이는 인터넷의 등장으로 인해 정보원의 규모가 확장되면서 가속화되었다. 특히, 스마트폰과 소셜 네트워크 서비스(SNS: Social Network Service)의 등장은 이러한 흐름의 주요한 사례로 볼 수 있다. 한국관광공사는 이러한 상황에 발맞춰 인터넷, 스마트폰 그리고 SNS를 토대로 스마트 관광 시스템을 구축하고 있다. 본 연구에서는 이러한 한국관광공사의 스마트 관광 시스템의 각 플랫폼들을 분석하고 이들 사이의 연관성을 설명하는데 그 목적을 두고 있다.","For tourism, Information Technology (IT) is the one of the most important factors, therefore, tourism has been open to IT. Through internet, the sources of information became extensive. Smartphone and Social Network Service (SNS) make huge changes in tourism. In line with this, Korea Tourism Organization (KTO) is developing the smart tourism system, composed of internet, smartphone, SNS, as representative of Korea tourism. In this research, KTO’s main channels, internet, smartphone, SNS, of smart tourism system will be analyzed as well as the connectivity between the channels.","요약 
Abstract
I. 서론
II. 이론적 배경
III. 한국관광공사 스마트 관광 분석
IV. 한국관광공사 스마트 관광 발전방향
참고문헌
"
"스마트폰 관광정보 이용에 대한 관광성과 및 후속태도 = A Study of Service Attributes of Smart-phone Travel Information which Influence Travel Satisfaction, Credibility and Behavior Intention","유예경,윤유식",한국자료분석학회,Journal of the Korean Data Analysis Society,"Vol.14No.4[2012]
",2012,Korean,"관광정보,스마트폰,만족도,후속태도.,Tourism Information,Smart-phone,Travel Satisfaction,Behavior Intention.",,KCI등재,"학술저널
",,2245-2254,6.0,,," KCI, &nbsp;&nbsp; 스콜라",,"본 연구는 스마트폰 관광정보 제공 속성에 따라 관광성과 및 후속태도에 어떠한 영향을 미치며 스마트 폰 관광정보의 어떠한 속성이 영향을 미치는가를 살펴보고자 하였다. 최근 온라인보다는 이동하면서 관광정보를 얻는 스마트폰의 활용도가 급격히 증가함에 따라 다양한 서비스 속성이 제시되고 있고 효과적인 관광정보를 제공하는 연구가 진행되고 있어 스마트폰 활용관광정보에 대한 다양한 각도의 연구가 필요한 시점이라고 할 수 있다. 선행연구와 현장검토를 통해 설정된 스마트 폰 관광정보 서비스 속성을 도출하고 최근 스마트폰을 통한 관광을 한 경험을 한 사람들을 대상으로 설문조사를 실시하고 수집된 자료를 요인분석과 다중회귀분석을 통해 결과를 도출하였다. 요인분석을 통해 이용편리성, 상호작용성, 위치확인성, 용이성 등이 도출되었으며 관광만족도 및 후속태도와의 영향관계를 설명하였다.","This study was to investigate service attribute of smart-phone travel information which influence travel satisfaction, credibility and travel behavior intention. Recently many tourists get the travel information through smart-phone, but little research has been conducted to identify which service attributes are important and influence to travel satisfaction and behavior intention. Based on the literature review, the service attribute of smart-phone attributes were identified and developed. Target sample of this study is people who recently traveled and collected travel information by using smart-phone. A total of 263 useful sample were collected from street survey in Seoul 2011. Factor analysis provided that there are five underlying dimensions of smart-phone travel information services. The results of multiple regression showed that smart-phone service attributes influence travel satisfaction, credibility and behavior intention. More details discussion provided in conclusion section.",
스마트관광: 철학적 사유와 학문 정체성,"구철모(Chulmo Koo),함주연(Juyeon Ham),노성결(Shengjie Lu),정남호(Namho Chung)",한국경영학회,한국경영학회 통합학술발표논문집,"Vol.2020No.8[2020]
",2020,Korean,,,,"학술저널
",,211-223,,,, DBpia,,"여행의 변화된 패러다임과 스마트폰 사용에 익숙한 관광객의 요구사항은 점차 다양해지고 있다. 이처럼 변화하는 관광객의 요구에 부합하기 위해 등장한 개념이 스마트관광이다. 그러나 스마트관광에 대한 개념과 정의는 연구자의 관점에 따라 다르게 설명되고 있으며, 연구 주제와 분야에 대한 종합적이고 포괄적인 이해가 부족한 상황이다. 따라서 본 연구에서는 스마트관광의 철학적 고찰과 학문적 정체성에 대한 이해를 바탕으로 스마트관광에 대한 개념을 정리하고, 기존 연구동향을 파악함으로써 향후 스마트관광의 전망과 연구방향을 제시하고자 한다.",,"초록
1. 서론
2. 스마트관광의 철학적 사유와 학문 정체성
3. 스마트관광의 개념
4. 스마트관광에 대한 기존연구
5. 결론
참고문헌
"
ICT 신기술을 활용한 스마트관광의 추진사례 분석 및 활성화 방안 연구 = A study on how to Promote Smart Tourism through Case Analysis of Smart Tourism Utilizing New ICT Technologies,정병옥(Byeong-Ok Jeong),한국콘텐츠학회,한국콘텐츠학회논문지,"Vol.15No.11[2015]
",2015,Korean,"스마트관광,정보통신기술(ICT),콘텐츠,빅데이터,Smart Tourism,Information and Communications Technology,Contents,Big Data",,KCI등재,"학술저널
",http://www.koreacontents.or.kr,509-523,15.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,"세계 관광트렌드는 스마트 기기라는 새로운 정보유통채널의 출현으로 기존의 대량관광, 단체관광 중심에서 개별관광 중심으로 관광의 패러다임이 급속히 재편되고 있다. 따라서 이러한 변화에 선제적으로 대응하고 관광선진국으로 진입하기 위해서는 첨단 ICT기술을 적극 활용하여 선진화된 스마트관광 환경을 구축하는 것이 시급한 과제가 되고 있다. 이에 본 연구에서는 스마트관광 발전현황 및 국내외 사례 분석을 통해 문제점을 도출해보고 이에 부응하는 정책적 대안을 분야별로 제시하였다. 첫째, 인프라 구축에서는 스마트관광 유통플랫폼 및 빅데이터 분석시스템 구축을 제시하였다. 둘째, 수요자 맞춤형 관광콘텐츠 개발부문에서는 융복합 관광콘텐츠 및 사용자경험(UX) 기반 콘텐츠 개발 등을 주문하였다. 셋째, 거버넌스에서는 스마트관광 민관협의체 구성 및 창조관광기업 육성 등을 제안하였다. 본 연구결과는 향후 관련 실무자에게 스마트관광 활성화 관련 사업전략을 수립하는데 유용한 참고자료가 될 것으로 기대된다.","With the introduction of smart devices as a new channel of information distribution, the mass tourism that has been dominating the travel scene is being transformed into individual tourism. Therefore, it is more than important to establish an advanced smart tourism environment using cutting-edge ICT technologies in order to go into one of tourism developed countries. In line with that, this study draws both local and international cases to show where smart tourism stands now by mapping out problems and solutions by category. Firstly, in terms of infrastructure, establishing distribution platform and big data analyzing systems were suggested. Secondly, to fit the needs of consumers, converged tourism content and user experience based content development are in need. Lastly, in terms of governance forming public-private consultative body and incubating creative tourism companies are suggested. The study results will serve as a fruitful reference to those who want to establish business strategy related to smart tourism.","요약
Abstract
I. 서론
II. 정보통신기술(ICT) 발전현황
III. 스마트관광의 개념 및 추진현황
IV. 국내외 스마트관광 추진사례
V. 스마트관광의 문제점
VI. 스마트관광 활성화를 위한 정책제언
VII. 결론
참고문헌
"
유비쿼터스 환경에서 효율적인 u-스마트 관광정보시스템 제안 = Propose of Efficient u-smart tourist information system in Ubiquitous Environment,선수균,한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.11No.3[2013]
",2013,Korean,"유비쿼터스,u-스마트관광정보 시스템,스마트 관광정보,관광 메타모델 클래스,스마트 앱,메타데이터베이스,Ubiquitous,u-smart tourism information system,smart Tourist information,Metadata Model class,smart App,Metadatabase",326.41,KCI등재,"학술저널
",http://www.policy.or.kr,407-413,9.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"유비쿼터스를 위해 u-관광정보 시스템이 연구되고 있다. 최근에는 IT와 관광을 융합하는 IT관광 융합학문이 미래학문으로 떠오르고 있다. 관광정보는 관광상품에 대한 정보로서 관광객이 관광의사결정을 하는데 필요한 정보를 말한다. 이러한 정보가 밀착형 미디어인 모바일을 이용하여 언제 어디서나 정보를 제시하고 스마트 앱을 활용한 콘텐츠를 생성하고 효율적인 관광정보 콘텐츠를 저장하는 데이터베이스가 필요하다. 본 논문은 스마트 앱을 활용하여 관광정보 콘텐츠를 생성하고 스마트 관광정보 조회,검색, 관광정보 콘텐츠 수정, 관광정책 및 관광객의 성향과 평점을 분석할 수 있으며 이러한 효율적인 관광정보 콘텐츠를 저장 및 활용할 수 있는 모델을 제안한다. 이것이 u-스마트 관광정보 시스템이다. 가장 큰 장점은 기존의 관광정보와 관광객의 성향과 관광 평점을 스마트앱을 활용하여 실시간으로 메타 모델화하여 메타데이터베이스를 구축한 것이다. 관광정보 콘텐츠를 패턴화함으로 관광디지털정책을 생성하는데 도움을 준다.",,"요약
 Abstract
 1. 서론
 2. 관련연구
 2.1 유비쿼터스
 2.2 유비쿼터스 관광정보서비스의 개념
 2.3 XMI 기반 패턴모델
 3. u-스마트 관광정보 시스템 제안
 4. 결론
 참고문헌"
4차 산업혁명시대의 스마트관광 생태계 고찰 - 제주특별자치도 사례를 중심으로 - = The Study of Smart Tourism Ecosystem in the Era of the 4th Industrial Revolution,"신선진,김성현,노희섭,구철모",한국기업경영학회,기업경영연구,"Vol.25No.6[2018]
",2018,Korean,"4차 산업혁명,스마트관광,스마트관광 생태계,공유가치창출,제주특별자치도,4th industrial revolution,Smart tourism,Smart tourism ecosystmem,Sharing value creation,Jeju Province",,KCI등재,"학술저널
",http://www.kocoma.or.kr,1-18,2.0,,," KCI, &nbsp;&nbsp; eArticle",,"콘텐츠의 생산과 소비, 정보 공유 측면에서 모바일 기반의 플랫폼 경제로 전환이 가속화되는 4차 산업혁명시대에는 사물인터넷, 빅데이터 기반 기술변화의 파급력이 타 분야보다 관광산업 분야에서 클 것으로 예상된다. 관광산업이 새로운 가치를 창출하기 위해서는 관광객의 다양한 요구를 분석해서 제공해야 한다. 4차 산업혁명으로 활성화될 스마트관광 생태계가 우리 경제에서 지속가능성을 갖고, 그 역할을 하기 위해서는 생태계 전체 이해관계자들이 자생적으로 가치를 창출하고 이를 공유하여 생태계 자체가 경쟁력을 확보할 수 있어야 한다. 공공 영역에서는 스마트관광 생태계를 구성하는 기업, 지역사회 등 주요 이해관계자간 협업체계 구성을 위한 기반을 마련하고 생태계의 공진화 및 상생을 위한 정책 수단을 발굴해야 한다. 관광산업의 바람직한 생태계 구축을 위해서는 생태계를 구성하는 이해관계자간 공생에 관한 인식 형성이 전제되어야 하며, 협업과 협력을 위한 산업 환경 조성이 요구된다. 기업경영에서는 고객의 이동경로, 소비행태 등의 빅데이터를 활용하여, 신규 비즈니스모델을 창출할 수 있는 방안을 모색할 필요가 있다.
이에 본 연구에서는 생태계와 스마트관광에 대한 기존 문헌들을 토대로 스마트관광 생태계를 정의하고자 하며, 스마트관광 생태계를 구성하는 이해관계자를 핵심산업, 연관산업, 유관기관, 외부환경의 네 영역으로 간주하여 이들의 역할과 구성요소에 대해 파악한다. 또한 선도적으로 스마트관광 생태계에 관심을 갖고 추진 중인 제주특별자치도의 스마트관광 생태계 사례를 살펴보고자 한다.","In the era of the fourth industrial revolution which is accelerated into mobile-based platform economy in terms of content production, consumption, and information sharing, it is expected that the impact of changes in technologies based on the Internet of Things and Big data is greater in the tourism industry than in other fields. In order for the tourism industry to create new value, it must analyze and provide various needs of tourists. All stakeholders in the smart tourism ecosystem themselves should create value and make the ecosystem have competitive power itself through sharing the value in order that the ecosystem activated by the 4th industrial revolution has sustainability and performs the role in Korea economy. In the public area, it is necessary to establish a basis for the formation of a collaborative system among key stakeholders such as companies and local communities that organize asmart tourism ecosystem, and to find out policy measures for ecosystem coevolution and win-win. In order to build a desirable ecosystem in the tourism industry, it is necessary to establish awareness about the symbiosis between stakeholders that consist of the ecosystem, and to create an industrial environment for collaboration and cooperation. In terms of business management, it is necessary to search for ways to create new business models by using big data such as customer’s route and consumption behavior. Therefore, this study defines “smart tourism ecosystem” based on literature of ecosystem and smart tourism and figure out stakeholders regarding as four parts of key industry, related industry, related organization and external environment consisting of smart tourism ecosystem.Also, we look at the case of the smart tourism ecosystem of Jeju Province which is interested in and leading smart tourism ecosystem.",
스마트관광 산업이 한국경제에 미치는 효과에 관한 연구 = A Study on the Impact of the Smart Tourism Industry on the Korean Economy,"신용재(Yong Jae Shin),서우종(Woojong Suh)",국제e-비즈니스학회,e-비즈니스 연구(The e-business studies),"Vol.18No.1[2017]
",2017,Korean,"스마트관광 산업,생산유발효과,부가가치유발효과,공급지장효과,산업연쇄효과",,KCI등재,"학술저널
",,291-307,1.0,,, DBpia,,"스마트관광 산업은 다양한 산업에 속한 이해관계자들이 서로 복잡한 관계를 가지는 융합 산업의 특성을 가지고 있다. 본 연구는 이러한 스마트관광 산업이 한국 경제에 얼마만큼의 영향을 미치는지를 알아보기 위하여, 스마트관광 산업이 한국경제에 미치는 여러 가지 파급효과들을 분석하였다. 그 결과, 스마트관광산업에서 1원이 산출될 때, 생산유발효과는 0.892원, 부가가치유발효과는 0.293원, 보수유발효과는 0.120원, 공급지장효과는 0.993원이 발생하는 것으로 나타났다. 이와 같은 각각의 유발효과들이 발생되는 주요 업종들을 보면, 생산유발효과의 경우에는 광물, 석탄과 석유제품, 그리고 화학제품 중심의 제조업에서 발생했고, 부가가치유발효과의 경우에는 광물, 금융 및 보험, 부동산 및 임대서비스 업종에서 발생하는 것으로 나타났다. 보수유발효과의 경우에는 공공, 교육, 보건 등과 같은 공공 서비스 부문을 제외한 지식기반의 비즈니스 관련 서비스 부문에서 발생하는 것으로 나타났으며, 공급지장효과의 경우에는 기초금속, 운송장비, 건설과 같은 분야에서 주로 발생하는 것으로 나타났다. 또한, 스마트관광 산업의 산업연쇄효과는 전방연쇄효과가 3.513으로 가장 높게 나타났으며, 후방연쇄효과는 0.974로 전체 26개 부문 중 15번째이고 평균값 1보다 낮게 나타나고 있어 중간수요적 산업으로 나타났다. 본 연구의 결과는 향후 스마트관광 산업의 발전이 국가 경제에 미치는 긍정적인 영향을 극대화시킬 수 있도록 관련 정책을 개발하는 데 유용한 기초 정보로 활용될 수 있을 것으로 기대된다.",,"Ⅰ. Introduction
Ⅱ. Literature Review
Ⅲ. Research Methodology
Ⅳ. Smart Tourism Industry Classification
Ⅴ. Research Results
Ⅵ. Conclusion
References
국문초록
"
