위치 기반 서비스를 이용한 스마트폰 관광 정보 시스템 = A Tour Information System on Smart Phone using Location Based Service,"김석현,김지욱,김현정,박동규",한국멀티미디어학회,멀티미디어학회논문지,"Vol.15No.5[2012]
",2012,Korean,"Location Based Service(위치 기반 서비스),Tour Information system(관광 정보 서비스),SmartPhone(스마트폰)",4.0,KCI등재,"학술저널
",http://www.kmms.or.kr,677-691,25.0,,," NDSL, &nbsp;&nbsp; DBpia",,"스마트폰의 위성항법장치(GPS) 수신기능과 이동식 네트워크 기능을 응용한 위치기반 서비스는 다양한 형태의 서비스와 이를 활용한 비즈니스 모델을 제공한다. 현재 많이 활용되고 있는 위치기반의 상황인지 모델을 통한 스마트폰 응용 소프트웨어는 사용자의 위치정보나 이 위치정보와 P이간 거리를 이용한 정적인 정보만을 주로 제공하고 있다. 본 논문에서는 실시간으로 사용자의 위치와 모이와의 거리를 인식하여 해당 관광지 전문해설사의 음성과 이미지와 같은 멀티미디어 콘텐츠를 제공하는 동적인 관광해설 스마트폰 응용 소프트웨어를 제안하고 구현하였다. 또한, 사용자가 관광지에서 느낀 점을 텍스트 형식과 함께 동영상이나 사진의 형태로 업로드하여 사용자 간에 정보를 공유하는 방안을 제시하고 구현하였다.","Location Based Services using GPS receiver with network enabled smart phone provides various services and many business models. Currently, many context awareness models on smart phone applications are under developing. But most of the services are based on current user position and Point of Interest(POI)s, which are very static. In this paper, we proposed and implemented multimedia tourist guide system using smart phone, which are very dynamic and provides tour guide's voice and audio service on the spot. Also we provides tour experience sharing method which can easily share the videos and pictures for each users.","요약
ABSTRACT
1. 서론
2. 관련연구
3. 시스템 설계와 Open API
4. 구현
5. 결론 및 향후 연구 과제
참고문헌"
스마트폰을 이용한 QR코드 관광전략,김한도,경남발전연구원,경남정책 Brief,"Vol.-No.-[2011]
",2011,Korean,,,,"학술저널
",,1-8,,,, DBpia,,,,"[표지 및 목차]
1. 스마트폰과 관련한 관광정책의 필요성
2. 스마트폰 시장 변화와 관련 정책
3. QR코드 개념 및 지자체의 활용 현황
4. 관광분야 스마트폰 활용 사례
5. 스마트폰을 이용한 경남관광 QR코드 정책방안
"
메타분석을 적용한 스마트관광정보의 특성과 관광객 행동의도 관계 검토 = Review of the Relationship between Characteristics of Smart Tourism Information and Tourist Behavioral Intentions Using Meta-analysis,"허유순,장모나,최용복",제주대학교 관광과경영경제연구소,産經論集,"Vol.39No.3[2019]
",2019,Korean,"Smart Tourism Information,Behavior Intention,Ubiquitous Environment,Decision-Making,Meta-Analysis",,KCI등재후보,"학술저널
",,13-22,0.0,,, KCI,,,"Purpose – This study aims to improve the understanding of the analytical method by examining the methodology of meta- analysis. It is aimed to apply and interpret the meta-analysis that can be validated and deemed reliable. In addition, we intend to grasp the characteristics of smart tourism information by exploring the relationship between ubiquitous environment represented by STE (Smart Tourism Environment) and TDMS (Tourism Decision-Making System) which are expected to be continued. In addition, the results of the empirical study on the relationship between the characteristics of smart tourism information and the behavioral intentions of tourists will be sought in the follow-up research.
Research design, data, and methodology - In order to verify the three research hypotheses according to the problems of this study, 580 papers was researched on the subject of 'smart tourism' from domestic academic DBs. We collected 59 research papers by classifying the researches on which the empirical research was conducted. The data suitable for the study were selected and finally the 17 research subjects were carefully chosen. Then, meta-analysis was performed using R 3.5.1. and Stata 15.0 programs as a tool.
Results – A total of 31 statistics were identified from the review of 17 previous studies on the relationship between the characteristics of smart tourism information and tourists' behavioral intentions. First, the effect size of the characteristics of smart tourism information on the behavioral intentions of tourists was r=.547(Usefulness r=.579, ease of Use r=.511). Second, the usefulness and ease of use of smart tourism information characteristics that affect tourists' behavioral intention in preliminary studies were 253.68(df=15, p<.0001), 244.47(df=14, p<.0001), the effect sizes are heterogeneous, and I2 value 94% is very heterogeneous. Third, the results of examining funnel plots of all the researches to diagnose the publication bias of the relevant researches are broadly symmetrical in general, but Egger verification did not show the publication bias in the study.
Conclusions - It provides practical implications in that it has explored and analyzed empirically the factors affecting the decision making of tourists in the absence of clear definition and substance about ubiquitous environment in smart tourism up to now.",
[4차 산업혁명과 부산의 관광산업] 스마트 인프라 구축 등 문화관광자원 확충해 4차 산업혁명 시대 부산관광산업 경쟁력 제고,우석봉,부산발전연구원,부산발전포럼,"Vol.-No.164[2017]
",2017,Korean,,,,"학술저널
",,36-47,,,, DBpia,,,,"1. 4차 산업혁명 관련 관광분야 민간부문 대응
2. 4차 산업혁명 관련 관광분야 공공부문(국내외 주요 도시)의 대응
3. 4차 산업혁명 관련 관광분야 부산의 대응
4. 향후 과제
참고문헌
"
스마트관광 생태계 구현을 위한 사회관계망분석을 활용한 국내 관광객 이동 패턴에 대한 탐색적 연구 = Explorative Study on Movement Patterns of Korean Domestic Tourists Using Social Networking Analysis for Implementation of Smart Tourism Ecosystem,"이현애,정남호",한국서비스경영학회,서비스경영학회지(Journal of the Korea Service Management Society),"Vol.18No.4[2017]
",2017,Korean,"Social Network Analysis,Korean Domestic Tourist,Movement pattern,Smart tourism ecosystem",,KCI등재,"학술저널
",http://www.koreaservice.or.kr,57-74,8.0,,," KCI, &nbsp;&nbsp; DBpia",,,"After the deployment of THAAD (Terminal High Altitude Area Defense Missile) in South Korea, China began to strongly discourage Chinese tourists to visit Korea as one of the various economic sanctions. As a result, it has been argued that South Korea should improve the constitution of the tourism industry by revitalizing domestic tourism. To do this, the first step should be exploring the domestic tourists’ movement patterns as basic data. Thus, this study tries to find out how domestic tourists movement patterns are formed and have been changed in recent five years by using social networking analysis. This research is expected not only to provide useful basic data for establishing tourism policy and marketing strategy, but also to help having insights that can promote healthy development of a tourist sites ecosystem.",
스마트관광 IT서비스의 중요도와 만족도에 대한 관광생명주기 단계별 차이 분석 = Analysis of differences of Importance and Satisfaction of Smart tourism IT Services among steps of Tourism life cycle,"정병희,김근형",한국인터넷전자상거래학회,인터넷전자상거래연구,"Vol.19No.1[2019]
",2019,Korean,"Tourism life cycle,Importance,Satisfaction,Pre-trip,During-trip,Post-trip,IT services",,KCI등재,"학술저널
",,289-306,1.0,,, DBpia,,,"In this paper, we measured and analyzed the importance and satisfaction about IT services for Smart tourism in the viewpoint of Tourism life cycle so that we presented strategies of providing the IT services for progressing the Smart tourism. The IT services would be divided into three domain which would be pre-tourism, during-tourism and post-tourism. Tourism information search service, Price comparison service, Online reservation service, Online payment service, Payment service based on Smart phone and Entertainment service for pre-experience in tourism belong to IT services for the pre-tourism. Tourism information search service, Context-awareness service, Internet of Things service, Navigation service, Entertainments service during tourism, and Dronography service belong to IT services for the during-tourism. Interactive sharing service and Tagging service belong to IT services for the post-tourism. Importance and satisfaction about the IT services were measured by five-point Likert scale.
There was the significant difference between Importance and Satisfaction of IT Services in Pre-trip of Tourism life cycle. There was also the significant difference between Importance and Satisfaction of IT Services in During-trip of Tourism life cycle. The Importances of It services in each steps of the Tourism life cycle appeared decreasingly in orders of Pre-trip, Post-trip and During-Trip. The Satisfaction of It services in each steps of the Tourism life cycle also appeared decreasingly in orders of Pre-trip, Post-trip and During-Trip.",
스마트 전시환경에서 기술-조직-환경 요인과 성과 간의 관계 연구 -협업 활동의 매개효과- = An Examination of the Relationship between Technology-Organization-Environment Factors and their Performance at a Smart Exhibition: Mediating Effects of Collaboration Activities,"이선영 ( Sun Young Lee ), 이지민 ( Ji Min Lee ), 정남호 ( Nam Ho Chung ), 구철모 ( Chul Mo Koo )",한국관광학회,관광학연구,"Vol.40No.1[2016]
",2016,Korean,"스마트 전시회, 전시회 성과, 협업 활동, 공급사슬관리, 기술-조직-환경, TOE, 프레임워크, Smart exhibition, Exhibition performance, Collaborative activities, Supply chain, TOE framework",,KCI등재,"학술저널
",http://www.tosok.org/,29-50,3.0,,," KCI, &nbsp;&nbsp; KISS",,"본 연구에서는 정보기술을 포함하는 스마트 전시회 환경에서 구매-공급기업 간 협업 활동의 영향요인을 규명하고 영향요인과 협업 활동이 전시성과에 미치는 영향관계를 살펴보고자 한다. 또 참가기업의 협업적 전시 프레임워크를 제시하고 이러한 모델을 근거로 협업의 매개효과를 검증하였다. 연구목적을 달성하기 위해 기술-조직-환경프레임워크를 적용하여 정보기술 활용, 고객지향, 고객의존, 부스위치, 환경 불확실성을 영향요인으로 설정하였고, 협업 활동과 성과에 미치는 영향을 실증적으로 분석하였다. 연구를 위해 국제의료기기&병원설비 전시회(KIMES; Korea international medical & hospital equipment show)의 참가기업으로부터 96개의 데이터를 얻어 구조방정식 분석을 실시했다. 연구결과, IT 활용과 고객지향, 부스위치는 협업 활동과 성과에 중요한 영향요인이며, 협업 활동은 전시성과와 관계에서 IT 활용, 고객지향, 부스위치 만족을 매개 하는 것으로 나타났다. 본 연구를 통해 무역전시회에서 전시기업의 협업 활동에 대한 이론적 시사점과 실무적 시사점을 제시하였다.","This study analyzed the influential factors of collaborative activities and the relationship between collaborative activities and exhibition performance in the smart exhibition environment including the usage of information technology(IT). The usage of IT, customer orientation, customer dependence, booth location and environmental uncertainty was suggested for the impacts of these factors on collaborative activities, selling and non-selling performance were analyzed empirically. For this study, data were collected from 96 exhibitors from the KIMES(Korea International Medical & Hospital Equipment Show). The results showed a strong support for the direct impacts of usage of IT, customer orientation, and booth factor on collaboration. These three factors were mediated by the collaborative activities. Based on these results, this study suggests the theoretical and practical implications regarding collaborative activities of exhibitors in a trade exhibition.",
"빅데이터 기반 스마트 폰 맛집 앱의 서비스품질이 지각된 유용성과 이용만족, 행동의도에 미치는 영향","김민정(Kim Min-jung),전현모(Jeon Hyeon-mo)",한국호텔관광학회,호텔관광연구(Journal of Hospitality and Tourism Studies),"Vol.18No.2[2016]
",2016,Korean,"맛집 앱,빅데이터,서비스품질,스마트폰,이용만족,지각된 유용성,행동의도,Behavior Intention,Big data,Majib App,Perceived Usefulness,Service Quality,Smart Phone,Use Satisfaction",,KCI등재,"학술저널
",,198-219,,,," KCI, &nbsp;&nbsp; DBpia",,,"The study analyzed satisfaction and behavioral intention of consumers about service quality for Majib app based on objective figures using big data so that the study is differentiated from existing studies. Based on study results, the study explored behavior of consumers about service quality for Majib app. So the author intended to suggest practical implications helpful for food service information service business for app operator or marketer. To this end, questionnaire survey was conducted on food service consumers who visited restaurants searched through Majib app such as Mango plate, Dining code, Hot place based on big data for recent three months. As the study results, it was found that mobility, reliability, and system ability of Majib app service quality gave positive influences on perceived usefulness. Information, reliability, and system ability gave positive influences on use satisfaction. In the relationship between app service quality and behavioral intention, system ability only gave positive influences on behavioral intention. The study suggested that to make food service consumers use Majib app continuously and to lure favorable word-of- mouth behavior, use satisfaction is a very important factor.",
부산 관광콘텐츠를 활용한 여행 앱북 <레인보우 부산> 개발 = The Development of A Tour Application Book <Rainbow Busan> Using Contents Concerned with Busan Tour,"장은진,윤태수,Chang, Eun Jin,Yun, Tae Soo",한국스마트미디어학회,스마트미디어저널(Smart media journal.),"Vol.4No.4[2015]
",2015,Korean,"여행 앱북,부산관광콘텐츠,지역기반콘텐츠",,KCI등재후보,"학술저널
",,93-100,1.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; 스콜라",,현재 국내 출판계의 전자책과 앱북 시장은 장르문학인 소설과 웹툰 분야의 매출이 전체의 80%에 이르는 특정분야 매출 편중 현상이 두드러지게 나타나는 상황이다. E-book에서 진화한 앱북은 오프라인에서 주로 판매되는 종이책과는 달리 가독성과 구매의 편리함이 강점이지만 일반화되기에는 대중적 전파력에 있어 시일이 걸린다는 점이 단점으로 작용하기도 한다. 그러한 상황 속에서도 국내 전자책 시장의 매출은 가파르게 성장하고 있으며 현재는 장르문학에 국한되지 않고 출판콘텐츠 분야에서 다양한 실험적 도전이 시행되고 있는 단계라고 할 수 있다. 본 연구는 부산관광콘텐츠를 기반으로 한 최초의 지역콘텐츠 소재 앱북의 기획과 개발과정을 통해 향후 웹 모바일 플랫폼으로서 관광 앱북을 개발하고 기존의 단순한 정보만을 제공하는 앱북의 단점들을 보완하여 유료다운로드를 통한 구매로 이어지는 지속적 사용이 가능한 여행 앱북의 활용 전략을 제안하고자 한다.,"Markets of e-book and app book in Korea see novel as genre literature and webtoon account for 80 percents in sales so that market share is too based towards some specific fields. In readiblily and easy-to-buy convenience, different from paper books mostly sold off-line, app books are more advantageous but it works as a weak point to take long to publicly spread them before they are generally accepted. Meanwhile, the sales of the e-book market in Korea has been steeply risen. Further, the market is not only restricted to genre literature but also has come into the stage that various experimental challenges are issued in the field of publication contents. This study is aimed at developing the sightseeing app book as a future web-mobile platform with planning and develping the first app book dealing with localized contents based on Busan tour contents, making up for its defect that it offers only current simple information and then suggesting a strategy that the travelers' app book should be available for constant utilization connected to purchase by charged download.",
지속 가능한 스마트관광도시에 대한 거주민과 관광객의 관점 비교,"함주연,구철모,정남호,이선영",한국지능정보시스템학회,한국지능정보시스템학회 학술대회논문집,"Vol.2019No.6[2019]
",2019,Korean,"스마트관광도시,거주민,관광객,퍼지셋 질적 비교 분석(fsQCA)",,,"학술저널
",http://kiiss.or.kr/,82-83,,,, DBpia,,,,
여행목적 스마트폰 수용 집단별 수용 의사결정의 영향요인 차이연구 = Group Differences in Factors Influencing the Adoption of Smartphone use while Traveling,"김민형 ( Min Hyung Kim ),맹파 ( Bo Meng ),황영현 ( Yeong Hyeon Hwang )",한국관광학회,관광학연구,"Vol.36No.7[2012]
",2012,Korean,"스마트폰,Smartphone,수용,Adoption,여행,Traveling,정보기술 수용,Information technology acceptance",300.0,KCI등재,"학술저널
",http://www.tosok.org/,139-156,3.0,,, KISS,영남대학교 중앙도서관,,,
