"LAN 관리자, -管理子, LAN manager",,"미국 마이크로소프트사에서 개발한 망 운영 체계. 구내 정보 통신망(LAN)을 구축하기 위한 기본 소프트웨어이다. LAN 관리자는 MS-DOS, OS/2, 유닉스(UNIX) 운영 체계를 동작시키는 컴퓨터를 연결하여 이용자가 파일과 하드 디스크나 프린터와 같은 자원을 공유하고 클라이언트/서버 구조를 사용하여 분산 애플리케이션 실행을 할 수 있게 한다. 또한 파일 장치의 이중화나 무정전(無停電) 전원 장치(UPS)의 대응에 의한 보안 관리, 프로세스 간 통신 등의 기능을 수행한다."
"LAN 분석자, -分析子, LAN analyzer",,"구내 정보 통신망(LAN)의 고장 진단, 감시, 문제 해결 등에 사용되는 기기나 소프트웨어. 제조업체의 독자적인 하드웨어에 전용 소프트웨어를 탑재한 형과 범용 PC에 LAN 분석자용 소프트웨어와 LAN 접속 보드를 장착한 형이 있다. 또한 LAN에 연결된 PC의 윈도상에서 가동하는 LAN 분석자 소프트웨어도 판매된다."
"LAN 서버, LAN server",,"구내 정보 통신망(LAN)상의 다른 데이터국들에 특정한 서비스를 제공하는 데이터국. 예를 들면 하드 디스크 등 각종 기억 장치를 공유할 수 있도록 하는 파일 서버, 프린터를 공유하기 위한 프린터 서버, 데이터 베이스를 보유한 클라이언트로부터의 검색이나 갱신 의뢰를 접수한 데이터베이스 서버, 전자 메일 기능을 제공하는 전자 우편 서버, 인트라넷 환경을 실현하는 월드 와이드 웹(WWW) 서버 등이 있다."
"LAN 스위치, LAN switch",,"데이터 링크 세그먼트 사이에서 패킷을 포워딩하는 고속 스위치. 대부분의 LAN 스위치들은 MAC(Media Access Control) 주소를 기초로 트래픽을 포워딩한다. 이런 다양한 LAN 스위치들을 총칭해 때때로 프레임 스위치라고도 한다. LAN 스위치들은 종종 트래픽을 포워딩하는 데 사용하는 방식에 따라, 컷스루 패킷 스위칭이나 축적 전송(store-and-forewar) 패킷 스위칭으로 분류된다. 멀티레이어 스위치는 LAN 스위치의 지능형 서브셋이다."
"LAN 접속 보드, -接續-, LAN interface board",,개인용 컴퓨터(PC) 등에 장착하여 구내 정보 통신망(LAN)의 전송 매체인 케이블과 접속하는 데 사용되는 보드. LAN 어댑터라고도 한다.
"LAN 정보 보호 표준, -情報保護標準, Standard for Interoperable LAN Security, SILS",,구내 정보 통신망(LAN) 환경에서 정보 보호를 위해 IEEE 802.10 위원회에서 작성한 표준.
"LCD 구동 칩, -驅動-, LCD Driver IC, LDI",,"액정 표시 장치(LCD) 화면에 글자나 영상이미지 등이 표시되도록 픽셀을 작동시키는 집적회로(IC) 부품. 각종 전자부품들과 함께 인쇄회로기판(PCB) 상에 장착돼 LCD를 작동시키는데 LCD의 크기나 처리하고자 하는 색상의 수에 따라 그만큼 분담하는 구동칩의 숫자도 늘어나 보통 1개에서 수십 개까지 부착된다. LCD 구동칩은 TN(Twisted Nematic), STN(Super Twisted Nematic), TFT(Thin Film Transistor) 등 패널의 종류에 따라 구성이 다르며, QQVGA(160×120), QCIF(176×144), QCIF+(176×200), QVGA(320×240), CIF(352×288), VGA(640×480), XGA(1,024×768) 등 해상도에 따라 규모와 복잡도가 다르다. 구동칩을 장착하는 기술에는 TCP(Tape Carrier Package), CoF(Chip on Film), CoG(Chip on Glass) 등이 있다."
"LCD 컬러 필터, LCD color filter",,"백색광에서 적색, 녹색, 청색 3가지 색을 추출하여 미세한 화소단위로 통과 및 차단 가능하게 하는 박막필름형 광학부품. 일반 LCD에서 한 화소의 크기는 수십에서 수백 마이크로 정도이다. 백라이트에서 발생된 백색광은 TFT와 LCD를 통과하는 동안 선택된 화소의 필터 색에 의해 눈에 보이게 된다. 컬러필터는 유리기판, 블랙매트릭스(BM), RED, GREEEN, BLUE, 보호층, ITO층으로 구성된다. "
"LD 직접 변조, -直接變調, laser diode direct modulation",,전기적인 펄스열(pulse string)로서 다중화된 신호를 레이저 다이오드(LD)의 구동부에 입력시켜 광신호로 변조하는 것. 이때의 변조된 광출력은 LD의 응답 특성에 따라 동작하게 되는데 비트열(bit string)에 따른 LD의 점멸로 광 펄스를 전송하게 된다. 이때의 광 펄스는 단극성 형태로 볼 수 있으며 디지털 변조인 경우 광 펄스 1과 0의 출력비는 통상 10:1 이상을 유지해야만 수신부에서 재생이 가능하다. 현재 대부분의 광전송 시스템은 디지털 변조 방식이 사용되나 TV 전송 장치인 광영상 전송 장치(OVID)에는 아날로그 변조 방식을 사용하고 있다. LD는 수십 MHz~수십 GHz 변조가 가능하다.
"LED 직접 변조, -直接變調, Light Emitting Diode direct modulation, LED direct modulation",,"레이저 다이오드(LD) 변조에 비해 회로 구성이 간단하고 바이어스 회로도 간단하게 구성된 변조. 스펙트럼 폭이 넓고 고출력을 낼 수 없기 때문에 장거리용이나 단일 모드에서는 사용하기가 어렵다. 발광 다이오드(LED)의 전류, 광출력 특성은 직선성이며 발광 영역의 캐리어 농도를 증가해서 응답 속도를 빠르게 할 수 있으나 발광 효율이 떨어진다. 짧은 전송 구간의 광전송 시스템에서는 가격이 저렴한 LED를 사용한다. 발광 다이오드(LED)의 변조는 최대 100MHz 정도이다."
