"가간섭성, 可干涉性, coherence, coherency",,"①전자파(電磁波)가 파장이 같은 가지런한 정현파의 집합인 상태. 통신에 이용하는 전파는 모두 가간섭성 파이지만, 일반의 빛은 그렇지 않다. 특별히 가간섭성 광을 발생시켜 이용하는 것으로는 레이저나 홀로그래피(holography)가 있다. ②시간적으로나 공간적으로 또는 시간적/공간적 양쪽으로 분리된 점에서의 전자계(電磁界) 간의 상관관계."
"가간섭성 광, 可干涉性光, coherent ray",동의어 : 코히런트 광통신,복수 광파(光波)의 위상과 주파수가 같아서 공간적으로나 시간적으로 일치할 때의 광파. 통신에 이용되는 광은 가간섭성 광이어야 하나 일반 광은 그렇지 않다. 가간섭성의 발진기를 사용하여 특별히 가간섭성 광을 생성시켜 이용하는 것이 레이저나 홀로그래피(holography)이다.
"가간섭성 광통신, 可干涉性光通信, coherent optical communication",동의어 : 코히런트 광통신,"빛의 위상 정보를 이용하여 신호를 전송하는 통신 방식. 가간섭성(coherent)이란 단일 주파수 스펙트럼을 가지며, 위상이 동기된 균일한 정현파를 말한다. 초고속이고 대용량인 기가비트 전송에 주로 이용된다."
"가간섭성 광파 전송, 可干涉性光波傳送, coherent light wave transmission",동의어 : 코히런트 광파 전송,"전자파와 마찬가지로 광파의 가간섭성을 이용하여 빛의 주파수나 위상에 신호를 실어서 전송하는 방식. 이 경우에 가간섭성(코히런트)이란 주파수가 일정하여 위상이 시간적, 공간적으로 일정한 빛의 파, 즉 가간섭성 광파를 정보를 싣는 파로 이용한다는 의미이다. 빛의 강약에 따른 종래의 강도 변조 광섬유 전송 방식보다 고속, 대용량 전송이 가능하다. 광대역 종합 정보 통신망(B-ISDN)이나 가입자의 가정까지 광섬유를 포설하는 광가입자계 시스템인 파이버 투 더 홈(FTTH)의 중요한 기술의 하나이다."
"가간섭성 길이, 可干涉性-, coherence length",,"광선이 가간섭성을 가진 상태로 전파되는 길이. 즉 광원의 스펙트럼선 폭이 Δλ이고 중심 파장이 λ0일 때, 굴절률 n의 매질 중에서 가간섭성 길이는 약 λ02/nΔλ이다."
"가간섭성 단속파, 可干涉性斷續波, coherent interrupted waves",,파의 위상이 연속되는 파열(波列) 중에서 유지되고 있는 파열에 생기는 단속 지속파.
"가간섭성도, 可干涉性度, degree of coherence",,"광원의 가간섭성 정도. 그 크기는 2개 광선의 간섭 실험에서 간섭 패턴(무늬)의 가시도(可視度) V와 같다.&nbsp;여기서 Imax는 간섭 패턴의 최대점에서의 세기(maximun intensity)이고, Imin은 최소점에서의 세기(minimum intensity)이다. 광은 가간섭성도가 0.88 이상이면 높은 가간섭성을 가지고 있고, 0.88 이하이면 부분적인 가간섭성을 가지고 있으며, 아주 작으면 가간섭성을 가지고 있지 않다고 말한다."
"가간섭성 면적, 可干涉性面積, coherence area",,전파(傳播) 방향에 수직인 평면상에서 빛이 충분히 가간섭성이라고 할 수 있는 면적. 일반적으로 가간섭성 공간은 가간섭성도가 0.88 이상인 공간을 말한다. 이 영역으로부터의 빛은(이 영역에 놓인 2개의 바늘 구멍을 통과하면) 간섭에 의한 명암(明暗)의 패턴(무늬 모양)을 만든다.
"가간섭성 반송파 회복, 可干涉性搬送波回復, coherent carrier recovery",동의어 : 코히런트 검출,"수신기의 국부 반송파와 수신된 신호의 반송파 사이의 주파수와 위상 차이를 보정하는 것. 코히런트 검출이라고도 한다. 단위 대역폭, 단위 시간당 비트 수를 높이도록 설계된 모뎀은 코히런트 검출을 사용할 때가 많다. 이 경우 수신 모뎀에서는 수신 신호에 대하여 정확한 위상 관계를 가지고 있는 기준 반송파를 발생시킬 필요가 있다(수신 신호는 전송 도중에 주파수의 오프셋을 할 가능성이 있다). AM계에서는 수신 측에서 변조로 사용한 반송파 일부를 전송하고 수신기가 이것을 협대역 필터 또는 위상 고정 루프(PLL)로 검출하는 것이 가장 보편적인 방법이다."
"가간섭성 발진기, -發振器, coherent oscillator",동의어 : 코히런트 발진기,중간 주파수(IF: intermediate frequency)에 고정되어 있는 안정적인 주파수 발진기. 레이더에서 이동 물체에 의한 반사파를 식별하기 위한 기준 위상을 제공하는데 사용한다.
"가간섭성 방사, 可干涉性放射, coherent radiation",동의어 : 코히런트 방사,"방사되는 광파가 공간적, 시간적으로 일정한 위상 관계가 있는 방사. 반도체 레이저에는 가간섭성 파(coherent wave)를 생성할 수 있는 발진기가 있어서 주파수와 파장이 일정하여 위상이 연속적인 광파를 방사한다. &nbsp;"
"가간섭성 방식, 可干涉性方式, coherent system",동의어 : 코히런트 방식,복조 신호로 송신 신호의 위상 정보를 인출하여 사용하는 방식. 송신 신호와 일정한 위상 관계에 있는 국부 발진 신호(local oscillation signal)를 수신 신호에 가해서 복조하면 복조 신호와 송신 신호 간에 일정한 위상 관계가 있다. 이를 이용하여 송신 신호의 위상 정보를 인출한다.
