"마그네틱 안전 전송, -安全轉送, Magnetic Secure Transmission, MST",,루프 안테나가 내장된 휴대폰을 마그네틱 결제 단말기에 근접시켜 신용카드 정보를 전송하는 기술. 마그네틱 신용카드를 마그네틱 결제 단말기에 접속시킬 때 발생되는 자기장과 동일한 자기장을 휴대폰에서 발생시켜 무선으로 신용카드 정보가 결제 단말기에 전달한다. 마그네틱 안전 전송(MST) 기술은 기존 마그네틱 결제 단말기를 교체할 필요 없이 편리하게 모바일 결제를 이용할 수 있다. 미국 루프페이(LoopPay)사가 개발한 기술이다. 
"마르코니 안테나, Marconi antenna",,"단파에 사용하는 지향성 안테나. 투사기와 반사기가 있으며 20m 이하의 파장에서는 투사기의 소자를 24줄, 20m 이상의 파장에서는 16줄 사용한다. 그리고 병렬로 급전되면 그림과 같이 정재파 전류가 흘러, 소자 전체에 걸쳐서 거의 한결같은 크기의 전류가 흐르는 것과 같은 모양이 된다. 반사기는 매우 근접한 2개(때로는 3개)의 평행 도선으로 그 길이는 2분의 1파장이며, 배열 밀도는 투사기의 2배다."
"마르코프 과정, -過程, Markov process",,"연속적인 시간의 함수로서, 어느 확률 변수(시간의 함수이므로, 이 집합을 확률 과정이라 한다)에 착안하였을 때, 시각 t에서의 확률 분포가 t보다 과거의 임의의 한 시각에서의 상태에만 관계하고, 그보다 과거의 상태에 무관할 때의 확률 과정."
"마르코프 정보원, -情報源, Markov information source",,"발생하는 통보가 마르코프 과정을 이루는 정보원. 즉, 어느 시점에서의 기호 또는 사상의 발생 확률이 과거의 일정 개수의 시점에서 발생한 기호, 또는 사상에만 의존하고 그 이전 시점에서의 기호 또는 사상에 의존하지 않는 형태로 나타낼 수 있는 것을 말한다."
"마름모꼴 안테나, rhombic antenna",,"한 변이 1 파장보다 긴 4개의 도선을 대지에 수평으로 마름모꼴로 배치한 안테나. 종단에 파동 임피던스와 같은 부하를 접속한 진행파형 안테나이며, 설계 주파수의 ±30% 범위 내에서 주파수 특성이 평탄하다. 각 변의 로브(lobe) 방향각의 2배를 열 수 있으며, 4변으로부터 로브가 합성되어 날카로운 지향성을 갖는다. 이 안테나는 단파용 고정 회선에 널리 이용되고 있다."
"마법사, 魔法師, wizard",,"①복잡한 응용 프로그램의 사용이나 설치를 초보자도 쉽게 할 수 있도록 도와주는 프로그램. 사용자와 대화하는 형식으로 구성되어 있으며, 마이크로소프트 엑셀의 그래픽 마법사, 윈도즈의 설치 마법사 등 다양하다. ②컴퓨터 전반에 관해 뛰어난 지식을 소유한 사람, 또는 솜씨가 뛰어난 해커. ③대화방의 시스템 관리자."
"마살라, Masala",,"2004년 IBM사가 출시한 차세대 데이터베이스 관리 시스템(DBMS)의 제품명. 사용자들이 데이터베이스, 애플리케이션, 웹 등에서 정보를 동시에 불러 들일 수 있는 검색 분야의 신기술을 적용한 것이 특징이다."
"마세진 표준, -標準, Matthiessen`s standard",,"동선 저항의 표준. 원형으로 균일한 단면적을 갖는 길이 1m, 지름 1mm의 것이 0℃에서 0.0203 국제 옴을 갖는 동선과, 질량 1g에서 균일한 단면적을 갖는 길이 1m의 것이 0℃에서 0.14173 국제 옴을 갖는 동선의 2종류가 있다. 전자를 미터/밀리미터 표준, 후자를 미터/그램 표준으로 구별한다."
"마션 주소, -住所, Martian address",,주소 위장으로 무효가 되었거나 구성이 잘못된 시스템에서 지정된 주소이기 때문에 경로 지정이 불가능한 IP 주소. 이들 주소에 관한 모든 경로 지정 정보는 무시된다.
"마스크, mask",,①누산기에 있는 내용의 일부를 특정 기억 장소나 레지스터에 있는 자료로 대치하는 것. ②1개의 단어나 일련의 단어에서 몇 개의 문자를 추출해 내는 과정. ③끼어들기를 막기 위한 내부 프로그램 제어 과정. ④회로 형태를 나타내는 판. 반도체 회로의 제조 공정 중 포토리토그래피 작업에서 사용한다.
"마스크 가능 인터럽트, -可能-, maskable interrupt",,"하드웨어 인터럽트의 일종으로, 프로그램이 마이크로프로세서의 주의를 100% 필요로 하는 동안 일시적으로 기능이 저지(mask)될 수 있는 것. 이와 반대로 우선 순위가 높아서 즉시 마이크로프로세서의 서비스를 받을 수 있는, 즉 기능이 저지될 수 없는 인터럽트를 마스크 불가능 인터럽트(NMI)라고 한다."
"마스크 단어, -單語, mask word",,식별자 단어와 논리곱(AND) 논리 연산에서 비교 검색을 하기 위해 호출되는 입력 단어를 모두 수정하는 단어.
"마스크 레지스터, mask register",,"끼어들기의 허용 또는 금지를 제어하는 레지스터. 각 비트는 마스크 비트라 불리며 개개의 끼어들기 요인에 대응한다. 끼어들기 요인 발생 시에 대응하는 마스크 비트가 ‘0’이면 끼어들기가 발생하고, ‘1’이면 끼어들기가 금지된다. 마스크 레지스터의 설정과 복귀는 명령이 프로그램적으로 행한다."
"마스크 롬, Mask ROM, MROM",,"제조 공정 중의 마스크에 내용을 기억시켜 놓아, 사용자가 그 내용을 변경할 수 없는 읽기용 기억 장치(ROM, 롬). 메모리 셀(memory cell)을 트랜지스터(transistor)로 제작할 수 있으므로 집적도가 높아 대용량의 칩을 생산할 수 있으며, 가격은 대량 생산일 때는 프로그램 가능 읽기용 기억 장치(PROM, 피롬)보다 저렴하다."
"마스크 불가능 인터럽트, -不可能-, Non-Maskable Interrupt, NMI",,"인터럽트 마스크(interrupt mask)에 영향을 받지 않는 가장 우선 순위가 높은 인터럽트. 하드웨어 인터럽트의 일종으로, 소프트웨어나 키보드 등 하드웨어 장치에 의해서 생성되는 인터럽트 요구를 우회하고 그것들보다 우선 순위를 갖기 때문에 마스크 불가능 인터럽트라고 부른다. 마스크 불가능 인터럽트는 다른 어떤 서비스 요구에 의해서도 저지(mask)되지 않는다. 심각한 기억 장치 오류나 정전 사태와 같은 급박한 상황에서만 마스크 불가능 인터럽트 요구가 마이크로프로세서에 하달된다."
"마스크 상태, -狀態, masked state",,"끼어들기가 발생한 후에 하드웨어에 의한 현행 프로그램의 중단. 중단 상태의 기억 장치로 대피 후에 끼어들기가 일어나는 프로그램 처리로 옮겨진다. 하드웨어에 의한 끼어들기 처리 중에는 새로운 모든 끼어들기 요인의 발생에 대하여 마스크 상태가 되며, 프로그램 처리 중에는 마스크 비트로 설정된 끼어들기 요인의 발생에 대하여 마스크 상태가 되어 그 끼어들기 요인에 대한 끼어들기는 모두 금지된다."
