"자가 건강 측정, 自家健剛測定, Quantified Self, QS",,"센서가 내장된 스마트폰이나 착용 컴퓨터(wearable computer)와 같은 기기에서 수집·분석된 자신의 라이프 로그(life log) 정보를 통해 건강을 관리하는 것. &nbsp;사용자는 스마트폰이나 착용 센서 기기에서 자신의 칼로리 소모량, 운동량, 심박 수 등과 같은 신체 정보뿐만 아니라 주변 환경, 다른 사람의 상태 정보도 정량화된 데이터로 얻을 수 있다. 이를 이용하여 사용자는 자가 건강 진단·관리를 할 수 있고, 생활의 질을 개선하는 데 활용할 수 있다.&nbsp;"
"자가 방어 네트워크, 自家防禦-, Self Defending Network, SDN",,"네트워크가 스스로 바이러스, DOS 공격, 웜 등 위협요소를 감지, 대응 및 제거할 수 있게 지원하는 통합 보안 네트워크.  네트워크상의 모든 서비스에 일관성을 갖고 전사적인 엔드 투 엔드 보안 솔루션을 제공하고, 네트워크의 능력 확장을 통해 잠재적인 보안 위험을 자동적으로 인지하고 침입을 방지하며, 새로운 환경에 지속적으로 적응시킨다는 시스코시스템즈사의 비전이자 전략이다."
"자가 전력, 自家電力, micropower, microgeneration",,"자기 소유 발전소에서 공급되는 전력. 발전은 처음에는 지역 소비자를 위해 소규모로 시작했으나 산업이 발전함에 따라 점차 대규모의 발전 시설과 전력망을 통해 전력이 공급되었다. 그러나 자가 전력 신기술 대두, 전력망 확장으로 인한 막대한 비용ㆍ전력 손실, 지역 붕괴, 자연 환경 보호 등의 이유로 또다시 소규모 송배전 시설에 대한 관심이 고조되고 있다. 대기업들은 자체 에너지 요구 증가와 전력원 감소에 따라 자체 전력원을 개발함으로써 거대한 데이터 센터의 효율적인 운용을 위해 양질의 전력을 지속적으로 공급할 수 있다."
"자격, 資格, capability",,"하나의 토큰으로서, 어떤 시스템의 사용자 또는 사용자가 시스템을 대표하는 객체의 시스템 내부 자원에 대한 접근 권한. 일반적으로 임의 변경이 불가능하고 재생만 가능하다."
"자격 관리 메시지, 資格管理-, Entitlement Management Message, EMM",,"유료 가입자 관리 장치인 카스(CAS) 구성의 한 요소로, 수신기별로 유료 방송 채널 중 수신 가능한 자격을 암호화하여 보내 주는 정보. CAS는 통상 2가지 메시지를 이용한다. 첫째, 자격 관리 메시지(EMM)를 이용하여 수신기별로 수신 가능한 자격을 암호화하여 보내 준다. 이 신호는 수신기 집적 회로(IC) 카드의 고유 번호와 일치할 때만 해독이 가능하여 중간 키를 구할 수 있는 방법이므로, 중앙 관리 센터에서 수신기별로 통제 가능하다. 둘째, ECM(entitlement control message)을 이용하여 제어 단어(CW)를 암호화하여 전 수신기에 전달한다. IC 카드에서는 EMM에서 전달받는 중간 키를 이용하여 ECM을 해독하여 CW를 구한다. 마지막으로 이 CW를 이용하여 암호화된 비트 스트림을 디스크램블러에서 역암호화하여 정상적인 비트 스트림 형태로 변환하여 수신할 수 있게 한다."
"자격 기반 주소 매김, 資格基盤住所-, capability based addressing",,시스템에서 기억 장치의 주소 매김 하드웨어에 자격 개념을 써서 주기억 장치를 참조할 때마다 자격을 사용하도록 하는 기법.
"자격 인증서, 資格認證書, qualified certificate",,"전자 서명의 법적 효력을 보장하기 위해 사용하는 인증서. 자격 인증서는 높은 보증 수준의 부인 방지 서비스를 제공하기 위해 사용할 수 있다. 인증 기관은 이러한 종류의 인증서 발행 시 이 인증서가 자격 인증서로 사용된다는 것을 반드시 인증서 내에 표시해야만 한다. 또한 인증서 내에는 실제 이름에 기반한 신분 정보가 포함되며, 인증서 소유자의 생체 정보 등이 포함될 수 있다."
"자계, 磁界, magnetic field",,"자석 또는 직류 전류 주변에 자기적인 힘이 존재하는 공간.자극의 N극에서 발생하여 S극에 이르는 자속선으로 이루어지는 것으로 이해되고 있다. 자석 위에 종이를 1장 얹어 놓고 그 위에 철분을 뿌리면 철분이 자석 선을 따라서 배열하고, 이것으로 자계를 눈으로 볼 수 있다. 어떤 장소의 자계 방향과 세기는 그곳에 둔 1wb(웨버)의 정자극(正磁極)에 작용하는 힘으로 표시하고, 그 힘의 크기가 1N(뉴턴)일 때를 자계의 세기 단위로 해서 1A/m로 정한다."
"자계 집속, 磁界集束, magnetic focusing",,"자계에 의한 전자 빔의 집속. 전자 빔의 통로에 전자 빔의 방향 또는 반대 방향으로 국부적인 자계를 가하여 목표상의 작은 점에 모으는 방법(브라운관 등)과, 전자 빔의 방향에 평행한 자계를 가하여 전자 빔을 단면적으로 작게 하는 방법이 있다."
"자계 편향, 磁界偏向, magnetic deflection",,자계를 사용한 전자 빔의 편향. 수상관(受像管)에서는 축이 서로 직교하는 2조의 편향 코일을 사용하여 전자 빔의 진행 방향에 직교하는 자계를 만들어 편향시키고 있다. 이것을 전자 편향이라 한다. →편향.
