year,title,keyword,abstract,가능,개발,결과,관련,기반,기술,기존,논문,대상,목적,발생,방법,변화,분석,사용,산업,시스템,연구,영향,이용,자동차,자율,적용,제시,제안,주행,중요,증가,진행,차량,최근,특성,필요,확인,환경,활용,효과
2018,[초청강연Ⅱ] 차세대 자동차를 위한 차체 경량화 기술 = Technology of Light Weight Vehicle for Next Generation Automobile,"Light Weight Vehicle(경량 자동차),Multi-Material Car body(다종소재 차체),Mechani cal Joining(기계적 접합),Hybrid Joining(복합 접합)","전세계적 환경오염에 대한 관심이 많아 지고 있으며, 이에 대하여 각국은 차량의 배기가스를 최소화 하기위한 다양한 규제들이 강화되고 있다. 이에 따라 하이브리드 자동차, 전기 자동차, 연료전지 자동차에 대한 공급이 진행되고 있으며, 이것은 새로운 자동차의 수요를 창출하고 있다. 이러한 자동차에 있어서 차체 경량화는 자동차의 고효율화를 위해 반드시 필요하다. 경량화 10%를 달성할 때 연비의 3.8% 향상 제동 거리의 단축, 배기가스 감축의 효과가 있으며 경량화를위한 전략으로는 알루미늄과 마그네슘과 같은 경량 금속의 채택, CFRP 와 같은 소재의 적용이 대표적인 예이다. 이러한 다종의 소재를 적용하는 방식을 Multi-Material 으로 표현되며, 많은 자동차회사에서 이를 적용하여 차체를 제작하거나 준비중에 있다.
  이러한 차체의 제작에 있어서 반드시 필요한 것 중에 하나는 자체의 접합 기술이다. 기존의 단일 소재를 용접하는 방법에서 이종소재의 접합과 용접이 채택될 수 밖에 없으며, 소재적 특성으로 인하여 용접이 불가능한 현상도 발생한다. 이를 극복할 수 있는 방법 중에 하나가 기계적 체결(mechanical joining) 방식의 예를 들 수 있다. 그러므로 본 연구에서는 기계적 접합 공정 중 Clinching, Self Piercing Riveting, Flow Drilling Screw (FDS), Friction Stir Spot Welding 공정을 소개하고, 각 프로세스의 원리, 장점 및 단점에 대하여 분석하고자 한다. 그리고 내구성 강화를 위하여 접착제를 활용한 용접본드와 기계적 접합을 동시에 적용한 하이브리드 접합법에 대한 내용 및 결과를 분석하고자 한다. 이를 통해 향후 국내 자동차 산업의 차세대 자동차에 맞는 차체 생산 기술 및 접합 기술에 대한 동향을 공유하고자 한다.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,미래형자동차 R&D 전문인력양성 = 현장실습 및 산업체 수요 중심으로,"Future Cars(미래형자동차),Human Resource Training(인력양성),Field Practice(현장실습),4&lt,SUP&gt,th&lt,/SUP&gt, Industrial Revolution(4차산업),Curriculum(교육과정)","미래형 자동차 관련 핵심기술은 단순히 전통적인 자동차 분야에서 벗어나 역할의 중요성과 기술면에서 각종 기간 산업의 핵심기술로서 이에 대한 고급 전문인력을 안정적으로 배출시킬 수 있는 교육 시스템이 시급하다. 이에 정부에서도 미래형 자동차를 4차 산업혁명 분야 중 하나로 선정하여 핵심기반 기술개발, 산업기반 조성 및 인재양성 지원 등을 정책적으로 육성하고 있다. 본 논문에서는 2017년부터 산업통상자원부의 미래형 자동차 R&D인력양성사업으로 선정된 충북대학교의 스마트카연구센터의 교육 시스템을 중심으로 산업체 고급 인력에 대한 수요지향적인 석박사 학위 과정의 교육목표, 교과과정 및 운영방향을 살펴본다.",1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,자율주행 자동차용 임베디드 소프트웨어,"Embedded Software(임베디드 소프트웨어),Autonomous Driving (자율주행),Smart Car Software Platform (스마트카소프트웨어플랫폼),Connected Car (커넥티드카),AI (인공지능)","자율주행 자동차는 인공지능에 의한 인지, 센서, 측위 그리고 제어의 융합인 자율주행 기술을 이용하여 이동수단 위주의 더욱 안전하고 편리한 자동차, 커넥티드 카, 그리고 사용자 서비스 지향 자동차로 거듭나고 있다. 점차 편리함와 안전 서비스를 제공하기 위한 미래형자동차는 자율주행을 위한 각종 센서와 제어기 및 구동장치로 이루어진 장치들이 보편화되고 있다. 또한 이러한 서비스는 전자제어장치들에 설계·설치되고, 차량 내부네트워크를 통한 상호 연동으로 이루어진다. 한편, ECU는 일종의 자율주행용 임베디드 시스템으로 컴퓨터 하드웨어와 소프트웨어가 조합되어 특정한 목적을 수행하는 컴퓨팅 장치를 의미한다. 또한 자율주행 차량용 임베디드 소프트웨어란 마이크로프로세서 및 비 휘발성 메모리에 내장되어 동작하는 운영체제, 미들웨어 및 응용 프로그램을 총칭한다. 본 논문에서는 자율주행 차량용 임베디드 소프트웨어에 대하여 살펴본다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,자동차 디자인 변화와 자동차산업의 지역 이동 비교 연구,"Design changing factors(디자인 변화 요인),Vehicle technology(차량 기술),Production technology(생산기술),Commercial factors(상업적 요인),Future directions(미래 방향)","Automobile designs have been changed by multifarious factors according to the times and regions, and the changes have become the reasons for today""s diverse automobile designs. However, further estimation for future automotive design changes could be acquired by analyzing the insights from the previous ones. This study aims to determine the implications for future design change of automobiles by observing the vehicle designs with technological and regional factors in order to clarify the design changing factors from a macroscopic view. The paper also reviewed the design changes of the typical types of automobiles so as to deduct the common factors, and the major automobiles were evaluated in a chronological order. It can be concluded that automotive design changing factors can be classified into European factors and American factors as vehicle technology and production technology. They can also be classified as commercial factors with Japanese cases. The automotive design changing factors for automobiles have been changed, thereby resulting in a geographical shift.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,저온 특성을 반영한 등가 회로 기반 48V 마일드 하이브리드 자동차 동적 배터리 모델 개발,"Electrification(전동화),Equivalent Circuit Model (등가 회로 모델),Mild HEV (마일드 하이브리드 자동차),Lithium Battery(리튬 배터리)","48V 마일드 하이브리드 자동차의 연비 및 동력 성능 개선을 위해 기존 기계부품의 전동화와 12V 전장 부품의 승압화에 대한 연구가 진행되고 있다. 하지만, 48V 전장 부품의 종류에 따라 순간 대 전력 사용 시 배터리의 전압 안정성 문제가 발생하게 된다. 따라서 전장 부품의 선정 시 배터리 전압 안정성에 대한 정확한 예측이 필요하다. 본 연구에서는 48V 마일드 하이브리드 자동차 전당 부품의 전력 사용에 따른 배터리 전압 거동을 예측하기 위해 48V 마일드 하이브리드 자동차용 배터리 팩 실험을 진행하였으며, 이를 기반으로 Equivalent Circuit Model(ECM)을 개발하였다. ECM은 First order RC Model 기반으로 개발되었으며, 온도 별 차량 전력 모사 실험을 통해 상온과 저온의 배터리 저항을 반영한 파라미터를 적용하였다. 특히 저온의 경우, 일정 온도 이하에서 배터리의 저항이 급격하게 증가하는 경향을 보이기 때문에 이를 반영한 모델을 구성하였다. 개발된 ECM은 연비 모드에서의 배터리 전압 검증을 위해 48V 마일드 하이브리드 중형 SUV 실차 실험에서 배터리의 충, 방전 전류에 따른 전압거동과 비교하였다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,최적화 해석기법을 적용한 자동차 제상성능 해석기술 개발,"Defrost Performance(제상성능),Windshield(자동차 전면유리),Automotive(자동차),CFD(전산유체역학),Optimization(최적화)","In this study, we developed the numerical analysis method to improve the defrost performance on the windshield using the multi-objective optimization method based on the CFD. The configurations of guide-vane and discharge angles in the center DEF duct section which are main design factors of the defrost performance were set to the design parameters for this study. And also, the discharge mass flow rate from the HVAC which is transferred to the windshield and the discharge areas in the center DEF duct were set to the objective functions to find the optimal design. In case of using these methods, it is possible to reduce the calculation time, and effectively analyze the results from it by controlling the design parameters systematically. These methods also make it possible to check the performance rapidly, and propose the optimal design through the analytical verifications on the initial design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,지능형자동차 인식기술개발 지원을 위한 공개용 DB를 활용한 도로대장통합시스템 적용 고찰,"Intelligent vehicle recognition techinique(지능형자동차 인식기술),Public database(공개용 DB),Road maintenance(도로관리),Road database(도로대장),Integrated road system(도로대장통합시스템)","According to Article 56 of the Road Act and Article 24 of the Enforcement Rules of the Road, Act, road register/database should be prepared and stored in accordance with the Form No. 22 of the Enforcement Rules of the Road Act. The database is constructed based on the law and is computerized and used for road maintenance. The road computerization project will efficiently manage the vast amount of road construction and other records that have been created and stored with conventional paper, prevent damage, loss, and damage to the data, and facilitate the search of necessary drawings and documents. The existing plans and documents have been computerized to facilitate smooth implementation and maintenance of road maintenance and investment plans. The computerized road data are prepared using the results of the completion work produced through the road construction site such as the quantity calculation sheet, the service report and the completed drawings at the construction stage. The computerized road data prepared by road construction result is widely used for road maintenance, occupancy management and road planning. In this paper, we propose a method to apply the integrated road system to support the development of intelligent automobile recognition technology that can efficiently recognize road facilities and vehicle information based on the public data constructed in the existing road database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CFD를 이용한 자동차 제상성능 평가 프로그램 개발,"Defrosting Performance (제상성능),Windshield (전면유리),CFD (전산유체역학),Evaluation Program (평가프로그램)","In this study, we developed an evaluation program of defrosting performance on the windshield using CFD analysis in full vehicle model. Especially, this study has focus on the quantitative evaluation of defrosting performance based on the steady-state analysis which saved calculating power and time. The key factors which can affect the performance were applied to temperature and wall-shear of various positions on windshield, and these results were quantified to evaluate the performance. The deducted results from the program were compared with experiment results, and the program was confirmed to be effective when evaluating defrosting performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,수소 연료전지 자동차용 초고속 동기전동기의 영구자석 오버행 결정,"Hydrogen fuel cell electric vehicle(수소 연료전기 자동차),Leakage flux(누설 자속),Overhang(오버행),SPMSM(표면부착형 영구자석 동기 전동기),Ultra-high-speed motor(초고속 전동기)","This study investigates overhang effect of ultra-high-speed motor for hydrogen fuel cell electric vehicle, and determines the final overhang length. The rotor shaft of ultra-high-speed motor is mainly made of stainless steel material which can be safe from high mechanical stress caused by high rotation speed. However, it is necessary to confirm characteristics of stainless material because it has different mechanical properties depending on the metal structure. In this paper, the rotor of the motor is surface permanent magnet synchronous motor (SPMSM) type, which is composed, of shaft which is solid shaft type, permanent magnet and can. Material of the shaft is determined by SUS630, which is safe from the target rotation speed. However, SUS630 has a relatively high magnetic permeability. Therefore, it causes axial direction leakage in the shaft structure of the target model in which the shaft and the PM is attached in the axial direction. To overcome this problem, permanent magnet overhang effect according to changing the overhang length is applied to minimize the decreasing performance caused by the leakage magnetic flux, and is determined to satisfy the output.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,기계적 응력을 고려한 수소 연료전지 자동차용 초고속 동기전동기의 회전자 설계,"Hydrogen fuel cell electric vehicle(수소 연료전지 자동차),Mechanical(기계적 응력),Rotor design(회전자 설계),Ultra-high-speed motor(초고속 전동기)","In this paper, the rotor design of ultra-high-speed synchronous motor for hydrogen fuel cell electric vehicle considering mechanical stress is carried out. The rotor consists of shaft, permanent magnet, and sleeve. Airgap magnetic flux density, which determines the electrical characteristics, is calculated using spatial harmonic analysis. The mechanical stress was estimated using the equations calculated from the equilibrium equations and the safety factor of permanent magnet and sleeve are calculated based on the von-Mises theory. The rotor is designed to have a safety factor of 1.1 or higher at a maximum speed of 110krpm and a driving remperature of 200℃, while satisfying the target airgap magnetic flux density. Then, airgap magmetic flux density and mechanical stress of the designed rotor were verified using finite element analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
